corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,gtopdb_ligand_id,gtopdb_name,gtopdb_inchikey,gtopdb_chembl_id,gtopdb_pubchem_cid,matched_on_source_name,normalised_name,ambiguous_pages_for_name,confirmation,interactions_pending
K1:6D848RA61B,Somatrogon,1,6D848RA61B,,12013,somatrogon,,,,somatrogon,somatrogon,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:6D848RA61B#ghla,Somatrogon-Ghla,2,6D848RA61B,,12013,somatrogon,,,,somatrogon,somatrogon,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:Q8A4U1Z9N2,ONTORPACEPT,3,Q8A4U1Z9N2,,12036,ontorpacept,,,,ontorpacept,ontorpacept,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:N95U3A7N57,Lunresertib,3,N95U3A7N57,ARBRHWRTXPWZGN-UHFFFAOYSA-N,12072,(S)-RP-6306,FGSLKGDMSYOTPS-MRVPVSSYSA-N,,165368929,RP6306,rp6306,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:WM18Z62RTI,Zigakibart,3,WM18Z62RTI,,12101,zigakibart,,,,zigakibart,zigakibart,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:GHX28QZ7DD,Sibeprenlimab,3,GHX28QZ7DD,,12102,sibeprenlimab,,,,sibeprenlimab,sibeprenlimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:GHX28QZ7DD#szsi,Sibeprenlimab-Szsi,2,GHX28QZ7DD,,12102,sibeprenlimab,,,,sibeprenlimab,sibeprenlimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:O84ZK2F68E,Perenostobart,3,O84ZK2F68E,,12103,perenostobart,,,,perenostobart,perenostobart,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:BCB1002X86,TAS-1553,3,BCB1002X86,,12113,TAS1553,DUYRWEBTZNUILI-DIFFPNOSSA-N,,132203319,TAS1553,tas1553,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:160R8ZBH0X,INCB-13739,3,160R8ZBH0X,,12121,INCB13739,BDQCDIWFPIDPQU-NDEPHWFRSA-N,,66662059,INCB13739,incb13739,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:5IB2J79MCX,Spesolimab,1,5IB2J79MCX,,12169,spesolimab,,,,spesolimab,spesolimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:5IB2J79MCX#sbzo,Spesolimab-Sbzo,2,5IB2J79MCX,,12169,spesolimab,,,,spesolimab,spesolimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:HO08KW5LSB,Varokibart,3,HO08KW5LSB,,12187,varokibart,,,,varokibart,varokibart,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:12PYH0FTU9,Lecanemab,1,12PYH0FTU9,,12202,lecanemab,,,,lecanemab,lecanemab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:12PYH0FTU9#irmb,Lecanemab-Irmb,2,12PYH0FTU9,,12202,lecanemab,,,,lecanemab,lecanemab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:NYZ11835VX,EFMARODOCOKIN ALFA,3,NYZ11835VX,,12212,efmarodocokin alfa,,,,efmarodocokin alfa,efmarodocokin alfa,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:4W3KFI3TN3,Talquetamab,2,4W3KFI3TN3,,12240,talquetamab,,,,talquetamab,talquetamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:4W3KFI3TN3#tgvs,Talquetamab-Tgvs,2,4W3KFI3TN3,,12240,talquetamab,,,,talquetamab,talquetamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:4MFH3B1EFU,Mirvetuximab,3,4MFH3B1EFU,,12250,mirvetuximab soravtansine,,,,mirvetuximab soravtansine,mirvetuximab soravtansine,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:98DE7VN88D,Mirvetuximab soravtansine,2,98DE7VN88D,,12250,mirvetuximab soravtansine,,,,mirvetuximab soravtansine,mirvetuximab soravtansine,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:98DE7VN88D#gynx,Mirvetuximab Soravtansine-Gynx,2,98DE7VN88D,,12250,mirvetuximab soravtansine,,,,mirvetuximab soravtansine,mirvetuximab soravtansine,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:S4M959U2IJ,Teplizumab,1,S4M959U2IJ,,12252,teplizumab,,,,teplizumab,teplizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:S4M959U2IJ#mzwv,Teplizumab-Mzwv,2,S4M959U2IJ,,12252,teplizumab,,,,teplizumab,teplizumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K2:ZPKHVQNRKMCYGL-AFAPVMNMSA-N,SRX246,3,,ZPKHVQNRKMCYGL-AFAPVMNMSA-N,12262,SRX246,HKPLAUMYFHPXIC-KRESLXGLSA-N,,165437864,SRX246,srx246,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:4H3BBE5WVK,Avizakimab,3,4H3BBE5WVK,,12270,avizakimab,,,,avizakimab,avizakimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:LDJ89SS0YG,Mosunetuzumab,2,LDJ89SS0YG,,12298,mosunetuzumab,,,,mosunetuzumab,mosunetuzumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:LDJ89SS0YG#axgb,Mosunetuzumab-Axgb,2,LDJ89SS0YG,,12298,mosunetuzumab,,,,mosunetuzumab,mosunetuzumab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:A6734I702L,Inclacumab,3,A6734I702L,,12312,inclacumab,,,,inclacumab,inclacumab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:90IQR2I6TR,Sugemalimab,2,90IQR2I6TR,,12342,sugemalimab,,,,sugemalimab,sugemalimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:IBS1BZ4E4I,Penpulimab,1,IBS1BZ4E4I,,12347,penpulimab,,,,penpulimab,penpulimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:IBS1BZ4E4I#kcqx,Penpulimab-Kcqx,2,IBS1BZ4E4I,,12347,penpulimab,,,,penpulimab,penpulimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:ZBL7O904IL,Zimberelimab,3,ZBL7O904IL,,12349,zimberelimab,,,,zimberelimab,zimberelimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:3L7R886Y06,Sabatolimab,3,3L7R886Y06,,12361,sabatolimab,,,,sabatolimab,sabatolimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:KX1N4TV7UY,Abelacimab,3,KX1N4TV7UY,,12417,abelacimab,,,,abelacimab,abelacimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K3:CHEMBL4301788,RM-2,3,,,12494,"[D-Phe6, Stat13, Leu14]Bn(6-14)",,,,RM-2,rm 2,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:TVT9XLV5MU,Volenrelaxin,3,TVT9XLV5MU,,12502,LY3540378,,,,LY3540378,ly3540378,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:KV2ZKH0NIM,Tafolecimab,3,KV2ZKH0NIM,,12517,tafolecimab,,,,tafolecimab,tafolecimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:CZ9KU41DVB,GDC-0334,3,CZ9KU41DVB,,12568,GDC-0334,RGXNECXVRZKGGH-UOXRKKOCSA-N,CHEMBL4865238,122490062,GDC-0334,gdc 0334,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:YE8XXF1SDZ,Obrindatamab,3,YE8XXF1SDZ,,12586,obrindatamab,,,,obrindatamab,obrindatamab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K3:CHEMBL4650289,KBP5209,3,,,12612,pirotinib,KJBZQIKLKWQVLL-UHFFFAOYSA-N,,56933206,KBP5209,kbp5209,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
