molecule_chembl_id,molecule_name,page_key,page_display_name,tier,confirmed_by_corpus_chembl_id
CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,K1:AA68LXK93C,THIAZOLIDINEDIONE,3,False
CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,K1:I320806BKW,THIAZOLIDINE,3,False
CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,K1:X4OV71U42S,Pioglitazone,1,True
CHEMBL1716,CYPROHEPTADINE HYDROCHLORIDE,K1:2YHB6175DO,Cyproheptadine,2,True
CHEMBL1716983,ENISAMIUM IODIDE,K1:99SS65Q7OY,Enisamium,3,True
CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,K1:A74586SNO7,Clopidogrel,2,False
CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,K1:OM90ZUW7M1,Ticlopidine,2,True
CHEMBL1718,NALOXONE HYDROCHLORIDE,K1:36B82AMQ7N,Naloxone,2,True
CHEMBL1722,METHYLPHENIDATE HYDROCHLORIDE,HOLD:existing:methylphenidate,Methylphenidate,1,False
CHEMBL1722,METHYLPHENIDATE HYDROCHLORIDE,K2:DUGOZIWVEXMGBE-UHFFFAOYSA-N,Methylphenidate,2,True
CHEMBL1723,ALFUZOSIN HYDROCHLORIDE,K1:90347YTW5F,Alfuzosin,2,True
CHEMBL1723,ALFUZOSIN HYDROCHLORIDE,K1:H9XPE51RF2,Alfuzosin,2,False
CHEMBL1723241,SULFACETAMIDE SODIUM,K1:4965G3J0F5,Sulfacetamide,2,True
CHEMBL1724,MEPENZOLATE BROMIDE,K1:4SK9J86AXT,"MEPENZOLATE, (R)-",1,False
CHEMBL1724,MEPENZOLATE BROMIDE,K1:ONW3LB39P7,Mepenzolate,1,True
CHEMBL1728,LOMEFLOXACIN HYDROCHLORIDE,K1:L6BR2WJD8V,Lomefloxacin,1,True
CHEMBL1733174,MOSAPRIDE CITRATE,K1:I8MFJ1C0BY,Mosapride,3,True
CHEMBL1737,SILDENAFIL CITRATE,K1:3M7OB98Y7H,Sildenafil,1,True
CHEMBL1737,SILDENAFIL CITRATE,K1:742SXX0ICT,Tadalafil,1,False
CHEMBL1742424,CELIPROLOL HYDROCHLORIDE,K1:DRB57K47QC,Celiprolol,2,True
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D,Aflibercept,2,True
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#abzv,Aflibercept-Abzv,2,False
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#ayyh,Aflibercept-Ayyh,2,False
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#boav,Aflibercept-Boav,2,False
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#jbvf,Aflibercept-Jbvf,2,False
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#mrbb,Aflibercept-Mrbb,2,False
CHEMBL1742982,AFLIBERCEPT,K1:15C2VL427D#yszy,Aflibercept-Yszy,2,False
CHEMBL1742990,BELATACEPT,K1:E3B2GI648A,Belatacept,1,True
CHEMBL1742991,BENRALIZUMAB,K1:71492GE1FX,Benralizumab,1,True
CHEMBL1742992,BLINATUMOMAB,K1:4FR53SIF3A,Blinatumomab,2,True
CHEMBL1742994,BRENTUXIMAB VEDOTIN,K1:7XL5ISS668,Brentuximab vedotin,2,True
CHEMBL1742994,BRENTUXIMAB VEDOTIN,K3:CHEMBL2109256,SGN-30,3,False
CHEMBL1742995,BRIAKINUMAB,K1:978I8M0P8X,Briakinumab,3,True
CHEMBL1742996,BRODALUMAB,K1:6ZA31Y954Z,Brodalumab,1,True
CHEMBL1743007,DARATUMUMAB,K1:4Z63YK6E0E,Daratumumab,2,True
CHEMBL1743007,DARATUMUMAB,K1:4Z63YK6E0E#fihj,Daratumumab and Hyaluronidase-Fihj,2,False
CHEMBL1743010,ELOTUZUMAB,K1:1351PE5UGS,Elotuzumab,2,True
CHEMBL1743029,IBALIZUMAB,K1:LT369U66CE,Ibalizumab,1,True
CHEMBL1743029,IBALIZUMAB,K1:LT369U66CE#uiyk,Ibalizumab-Uiyk,2,False
CHEMBL1743034,IXEKIZUMAB,K1:BTY153760O,Ixekizumab,1,True
CHEMBL1743035,LEBRIKIZUMAB,K1:U9JLP7V031,Lebrikizumab,1,True
CHEMBL1743035,LEBRIKIZUMAB,K1:U9JLP7V031#lbkz,Lebrikizumab-Lbkz,2,False
CHEMBL1743041,MOGAMULIZUMAB,K1:YI437801BE,Mogamulizumab,2,True
CHEMBL1743041,MOGAMULIZUMAB,K1:YI437801BE#kpkc,Mogamulizumab-Kpkc,2,False
CHEMBL1743042,MOTAVIZUMAB,K1:50Y163LK8Q,Motavizumab,3,True
CHEMBL1743043,MOXETUMOMAB PASUDOTOX,K1:2NDX4B6N8F,Moxetumomab pasudotox,1,True
CHEMBL1743043,MOXETUMOMAB PASUDOTOX,K1:2NDX4B6N8F#tdfk,Moxetumomab Pasudotox-Tdfk,2,False
CHEMBL1743047,NECITUMUMAB,K1:2BT4C47RUI,Necitumumab,2,True
CHEMBL1743048,OBINUTUZUMAB,K1:O43472U9X8,Obinutuzumab,2,True
CHEMBL1743049,OLARATUMAB,K1:TT6HN20MVF,Olaratumab,2,True
CHEMBL1743050,OLOKIZUMAB,K1:PAI71R1D2W,Olokizumab,3,True
