schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,10,3-Methyl fentanyl,3-Methyl fentanyl,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10A,3-Methylthiofentanyl,3-Methylthiofentanyl,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,12AA,Tetrahydrofuranyl fentanyl,Tetrahydrofuranyl fentanyl (also known as THF-F),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,12A,Thiafentanil,Thiafentanil,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,14,Valerylfentanyl,Valerylfentanyl,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,3-[(4-Methylnaphthalen-1-yl)methyl]-1-pentyl-1H-indole,3-[(4-Methylnaphthalen-1-yl)methyl]-1-pentyl-1H-indole (also known as JWH-184),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2,3-(Naphthalen-1-ylmethyl)-1-pentyl-1H-indole,3-(Naphthalen-1-ylmethyl)-1-pentyl-1H-indole (also known as JWH‑175),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,[5-(2-Chlorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone,[5-(2-Chlorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone (also known as JWH-369),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2,[5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone,[5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone (also known as JWH-307),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,3,[5-(3-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone,[5-(3-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone (also known as JWH-368),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,4,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone (also known as JWH-147),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,5,(1-Hexyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,(1-Hexyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone (also known as JWH-031),no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,6,[5-(2-Methylphenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone,[5-(2-Methylphenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl) methanone (also known as JWH-370),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,7,Naphthalen-1-yl[5-(naphthalen-1-yl)-1-pentyl-1H-pyrrol-3-yl] methanone,Naphthalen-1-yl[5-(naphthalen-1-yl)-1-pentyl-1H-pyrrol-3-yl] methanone (also known as JWH-309),resolved to a UNII that no corpus page holds
