schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,7,"5-(2-Aminopropyl)-2,3-dihydrobenzofuran","5-(2-Aminopropyl)-2,3-dihydrobenzofuran (also known as 5-APDB)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8,"6-(2-Aminopropyl)-2,3-dihydrobenzofuran","6-(2-Aminopropyl)-2,3-dihydrobenzofuran (also known as 6-APDB)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,9,"7-(2-Aminopropyl)-2,3-dihydrobenzofuran","7-(2-Aminopropyl)-2,3-dihydrobenzofuran (also known as 7-APDB)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10,1-(1-Benzofuran-5-yl)-N-ethylpropan-2-amine,"1-(1-Benzofuran-5-yl)-N-ethylpropan-2-amine (also known as 5‑EAPB) and its 4-yl, 6-yl and 7-yl isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,11,1-Benzyl-4-methylpiperazine,1-Benzyl-4-methylpiperazine (also known as Methylbenzylpiperazine or MBZP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,12,2-Bis(4-fluorophenyl)methylsulfinyl-N-methylacetamide,"2-Bis(4-fluorophenyl)methylsulfinyl-N-methylacetamide (also known as N-Methyl-4,4-difluoromodafinil or modafiendz) and its fluoro positional isomers in the phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,13,"2-(4-Bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine","2-(4-Bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine (also known as 25B-NBOMe) and its bromo, dimethoxy and methoxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,14,"2-N-[2-(4-Bromo-2,5-dimethoxyphenylethyl)aminomethyl]phenol","2-N-[2-(4-Bromo-2,5-dimethoxyphenylethyl)aminomethyl]phenol (also known as 25B-NBOH) and its bromo, dimethoxy and hydroxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,16,4-Bromo-N-[2-(dimethylamino)cyclohexyl]-N-methyl-benzamide,4-Bromo-N-[2-(dimethylamino)cyclohexyl]-N-methyl-benzamide (also known as N‑Methyl U‑47931E or N‑Methyl Bromadoline) and its bromo positional isomers in the phenyl ring and diamino positional isomers in the cyclohexyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,16A,"1-(1-(1-(4-Bromophenyl)ethyl)-piperidin-4-yl)-1,3-dihydro-2H-benzimidazol-2-one","1-(1-(1-(4-Bromophenyl)ethyl)-piperidin-4-yl)-1,3-dihydro-2H-benzimidazol-2-one (also known as Brorphine) and its bromo positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,16B,"2-(2-(4-Butoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine","2-(2-(4-Butoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine (also known as butonitazene or butoxynitazene) and its diethylamino and butoxy structural isomers and their respective butoxy positional isomers in the phenyl ring and nitro positional isomers in the 6-membered ring of the benzimidazole structure",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,17,"17-Carboxy-16,17-dihydromitragynine","17-Carboxy-16,17-dihydromitragynine",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,18,16-Carboxymitragynine,16-Carboxymitragynine,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,19,"1-(4-Chloro-2,5-dimethoxyphenyl)propan-2-amine","1-(4-Chloro-2,5-dimethoxyphenyl)propan-2-amine (also known as 4‑Chloro-2,5-dimethoxy-α-methylphenethylamine, 4‑Chloro‑2,5‑dimethoxyamphetamine, DOC, 3C‑C, 4‑Cl‑2,5‑DMA or 4‑Chloro-2,5-DMA) and its chloro and dimethoxy positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,20,"2-(4-Chloro-2,5-dimethoxyphenyl)ethanamine also known as 2C-C)","2-(4-Chloro-2,5-dimethoxyphenyl)ethanamine also known as 2C‑C) and its chloro and dimethoxy positional isomers in the phenyl ring",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,21,"2-(4-Chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine","2-(4-Chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine (also known as 25C-NBOMe) and its chloro, dimethoxy and methoxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,22,"2-N-[2-(4-Chloro-2,5-dimethoxyphenylethyl)aminomethyl]phenol","2-N-[2-(4-Chloro-2,5-dimethoxyphenylethyl)aminomethyl]phenol (also known as 25C-NBOH) and its chloro, dimethoxy and hydroxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,22A,"5-(Cyclobutylmethyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one","5-(Cyclobutylmethyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one (also known as Cumyl-CB-MeGACLONE, Cumyl-CBMGACLONE, cumyl-cyclobutylmethyl-gammacarbolinone or SGT-273) and its phenylpropyl isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,23,"1-Cyclohexyl-4-(1,2-diphenylethyl)piperazine","1-Cyclohexyl-4-(1,2-diphenylethyl)piperazine (also known as MT-45)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,23A,"2-(1-(Cyclohexylmethyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide","2-(1-(Cyclohexylmethyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide (also known as N’-(1-(Cyclohexylmethyl)-2-oxoindolin-3-ylidene)benzohydrazide or BZO-CHMOXIZID)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,23AA,N-Cyclohexyl-2-(1-(4-hydroxypentyl)-1H-indol-3-yl)acetamide,N-Cyclohexyl-2-(1-(4-hydroxypentyl)-1H-indol-3-yl)acetamide and its hydroxy positional isomers in the pentyl group,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,23AB,N-Cyclohexyl-2-(1-pentyl-1H-indol-3-yl)acetamide,N-Cyclohexyl-2-(1-pentyl-1H-indol-3-yl)acetamide (also known as CH-PIATA),no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,24,"17-O-Desmethyl-16,17-dihydromitragynine","17-O-Desmethyl-16,17-dihydromitragynine",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,25,9-O-Desmethylmitragynine,9-O-Desmethylmitragynine,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,26,"3,4-Dibromo-N-methyl-N-(1-methyl-1-azaspiro[4.5]decan-6-yl) benzamide","3,4-Dibromo-N-methyl-N-(1-methyl-1-azaspiro[4.5]decan-6-yl) benzamide (also known as U‑77891) and its dibromo positional isomers in the phenyl ring and their respective azaspiro[4.5]decanyl isomers",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,27,"3,4-Dichloromethylphenidate","3,4-Dichloromethylphenidate and its dichloro positional isomers in the phenyl ring (also known as 3,4-DCMP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,28,"3,4-Dichloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide","3,4-Dichloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide (also known as AH-7921) and its dichloro positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,29,"3,4-Dichloro-N-[2-(dimethylamino)cyclohexyl]-N-methylbenzamide","3,4-Dichloro-N-[2-(dimethylamino)cyclohexyl]-N-methylbenzamide (also known as U-47700) and its dichloro positional isomers in the phenyl ring and diamino positional isomers in the cyclohexyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,30A,"N,N-Diethyl-2-(2-(4-methoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine","N,N-Diethyl-2-(2-(4-methoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine (also known as Metonitazene) and its diethylamino structural isomers and their respective methoxy positional isomers in the phenyl ring and nitro positional isomers in the 6-membered ring of the benzimidazole structure",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,30B,"N,N-Diethyl-2-(2-(4-propoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine","N,N-Diethyl-2-(2-(4-propoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine (also known as protonitazene or propoxynitazene) and its diethylamino structural isomers and their respective propoxy positional isomers in the phenyl ring and nitro positional isomers in the 6-membered ring of the benzimidazole structure",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,31,"2,3-Dihydro-1H-inden-2-amine","2,3-Dihydro-1H-inden-2-amine (also known as 2-Aminoindane)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,32,"6,7-Dihydro-5H-indeno[5,6-d][1,3]dioxol-6-amine","6,7-Dihydro-5H-indeno[5,6-d][1,3]dioxol-6-amine (also known as 5,6-(methylenedioxy)-2-aminoindane or MDAI)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,33,"2,3-Dihydro-5-iodo-1H-inden-2-amine","2,3-Dihydro-5-iodo-1H-inden-2-amine (also known as 5‑Iodo‑2‑aminoindane or 5-IAI)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,34,"[2,3-Dihydro-5-methyl-3-(morpholin-4-ylmethyl)pyrrolo[1,2,3-de]-1,4-benzoxazin-6-yl](naphthalen-1-yl)methanone","[2,3-Dihydro-5-methyl-3-(morpholin-4-ylmethyl)pyrrolo[1,2,3-de]-1,4-benzoxazin-6-yl](naphthalen-1-yl)methanone",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,35,"{4-[2,6-Dimethoxy-4-(2-methyloctan-2-yl)phenyl]-6,6-dimethyl-bicyclo[3.1.1]hept-2-en-2-yl}methanol","{4-[2,6-Dimethoxy-4-(2-methyloctan-2-yl)phenyl]-6,6-dimethyl-bicyclo[3.1.1]hept-2-en-2-yl}methanol",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,36,"2-(2,5-Dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine","2-(2,5-Dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine (also known as 25H-NBOMe) and its dimethoxy and methoxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,37,"2-(2,5-Dimethoxyphenyl)ethanamine","2-(2,5-Dimethoxyphenyl)ethanamine (also known as 2C-H) and its dimethoxy positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,38,"2-N-[2-(2,5-Dimethoxyphenylethyl)aminomethyl]phenol","2-N-[2-(2,5-Dimethoxyphenylethyl)aminomethyl]phenol (also known as 25H-NBOH) and its dimethoxy and hydroxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,39,"6,6-Dimethyl-3-(2-methyloctan-2-yl)-6a,7,8,9,10,10a-hexahydro-6H-benzo[c]chromen-1,9-diol","6,6-Dimethyl-3-(2-methyloctan-2-yl)-6a,7,8,9,10,10a-hexahydro-6H-benzo[c]chromen-1,9-diol",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,41,Diphenyl(pyrrolidin-2-yl)methanol,Diphenyl(pyrrolidin-2-yl)methanol (also known as diphenylprolinol),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,42,"1-(1,2-Diphenylethyl)piperidine","1-(1,2-Diphenylethyl)piperidine (also known as Diphenidine)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43,2-Diphenylmethylpiperidine,2-Diphenylmethylpiperidine (also known as desoxypipradrol),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43AA,"2-(2-(4-Ethoxybenzyl)-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine","2-(2-(4-Ethoxybenzyl)-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine (also known as etodesnitazene, etazene, etazen, etazone or desnitroetonitazene) and its diethylamino structural isomers and their respective ethoxy positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43AAAA,2-(4-Ethoxybenzyl)-5-nitro-1-(2-piperidin-1-ylethyl)-1H-benzo[d]imidazole,2-(4-Ethoxybenzyl)-5-nitro-1-(2-piperidin-1-ylethyl)-1H-benzo[d]imidazole (also known as etonitazepipne or N-piperidinyl etonitazene) and its ethoxy positional isomers in the phenyl ring and their respective nitro positional isomers in the 6-membered ring of the benzimidazole structure,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43AB,2-(4-Ethoxybenzyl)-5-nitro-1-(2-pyrrolidin-1-ylethyl)-1H-benzimidazole,2-(4-Ethoxybenzyl)-5-nitro-1-(2-pyrrolidin-1-ylethyl)-1H-benzimidazole (also known as etonitazepyne or N-pyrrolidino etonitazene) and its ethoxy positional isomers in the phenyl ring and their respective nitro positional isomers in the 6-membered ring of the benzimidazole structure,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43AC,2-(4-Ethoxybenzyl)-N-ethyl-5-nitro-1H-benzimidazole-1-ethanamine,2-(4-Ethoxybenzyl)-N-ethyl-5-nitro-1H-benzimidazole-1-ethanamine (also known as N-desethyl etonitazene) and its ethylamino structural isomer and their respective ethoxy positional isomers in the phenyl ring and nitro positional isomers in the 6-membered ring of the benzimidazole structure,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43A,N-Ethyl-1-(3-fluorophenyl)propan-2-amine,"N-Ethyl-1-(3-fluorophenyl)propan-2-amine (also known as 3-Fluoroethamphetamine, 3-Fluoroethylamphetamine or 3-FEA) and its fluoro positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43AAA,N-Ethyl-2-(2-(4-isopropoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine,N-Ethyl-2-(2-(4-isopropoxybenzyl)-5-nitro-1H-benzo[d]imidazol-1-yl)ethan-1-amine (also known as norisotonitazene or N-desethyl isotonitazene) and its ethylamino and isopropoxy structural isomers and their respective isopropoxy positional isomers in the phenyl ring and nitro positional isomers in the 6-membered ring of the benzimidazole structure,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43B,N-Ethyl-1-(3-methoxyphenyl)-cyclohexanamine,N-Ethyl-1-(3-methoxyphenyl)-cyclohexanamine (also known as 3-Methoxyeticyclidine or 3‑Methoxy‑PCE or 3-MeO-PCE) and its methoxy positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,43C,2-(Ethylamino)-2-(2-fluorophenyl)-cyclohexanone,"2-(Ethylamino)-2-(2-fluorophenyl)-cyclohexanone (also known as 2-fluorodeschloro-N-ethyl-ketamine, 2‑FDCNEK, 2-fluoro-2-oxo PCE or 2‑fluoro NENDCK) and its fluoro positional isomers in the phenyl ring",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,44,2-(Ethylamino)-2-phenyl-cyclohexan-1-one,2-(Ethylamino)-2-phenyl-cyclohexan-1-one (also known as Deschloro‑N-ethyl-ketamine),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,45,Ethylphenidate,Ethylphenidate,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,45A,"2-(2-(1-(4-Fluorobenzyl)-1H-(6-hydroxyindol)-3-yl)acetamido)-3,3-dimethylbutanamide","2-(2-(1-(4-Fluorobenzyl)-1H-(6-hydroxyindol)-3-yl)acetamido)-3,3-dimethylbutanamide and its N-(1-amino-1-oxohexan-2-yl) isomers and their respective fluoro positional isomers in the phenyl ring and hydroxy positional isomers in the 6-membered ring of the indole structure",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,45B,"2-(2-(1-(4-Fluorobenzyl)-1H-indol-3-yl)acetamido)-3,3-dimethylbutanamide","2-(2-(1-(4-Fluorobenzyl)-1H-indol-3-yl)acetamido)-3,3-dimethylbutanamide (also known as ADB-FUBIATA or FUB-ACADB or AD-18) and its N-(1-amino-1-oxohexan-2-yl) isomers and their respective fluoro positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,46,2-Fluorodeschloroketamine,2-Fluorodeschloroketamine (also known as 2-Fluoroketamine or 2‑FDCK) and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,47,4-Fluoromethylphenidate,4-Fluoromethylphenidate and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,47A,"2-(1-(5-Fluoropentyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide","2-(1-(5-Fluoropentyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide (also known as N’-(1-(5-Fluoropentyl)-2-oxoindolin-3-ylidene)benzohydrazide or 5-Fluoro-BZO-POXIZID or 5F-BZO-POXIZID or MDA-19 5-fluoropentyl analogue or 5F-MDA-19) and its fluoro positional isomers in the pentyl group",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,48,"5-(5-Fluoropentyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one","5-(5-Fluoropentyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one (also known as 2-Cumyl-5-(5-fluoropentyl)-gamma-carbolin-1-one or 5-Fluoro-cumyl-PEGACLONE) and its phenylpropyl isomers and their respective fluoro positional isomers in the pentyl group",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,49,2-(3-Fluorophenyl)-3-methylmorpholine,2-(3-Fluorophenyl)-3-methylmorpholine (also known as 3‑Fluorophenmetrazine or 3F‑phenmetrazine) and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,50,1-(4-Fluorophenyl)piperazine,1-(4-Fluorophenyl)piperazine (also known as 4‑Fluorophenylpiperazine or 4-FPP) and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,51,1-(4-Fluorophenyl)propan-2-amine,1-(4-Fluorophenyl)propan-2-amine (also known as 4‑Fluoroamphetamine or 4-FA) and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,51A,"2-(1-Hexyl-2-oxo-1,2-dihydro-3H-indol-3-ylidene)benzohydrazide","2-(1-Hexyl-2-oxo-1,2-dihydro-3H-indol-3-ylidene)benzohydrazide (also known as N’-(1-Hexyl-2-oxoindolin-3-ylidene)benzohydrazide or BZO-HEXOXIZID or MDA-19)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,51B,N'-(1-Hexyl-2-oxoindolin-3-ylidene)-4-hydroxybenzohydrazide,N’-(1-Hexyl-2-oxoindolin-3-ylidene)-4-hydroxybenzohydrazide and its hydroxy positional isomers in the phenyl ring,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,52,"1-Hydroxy-6,6-dimethyl-3-(2-methyloctan-2-yl)-6,6a,7,8,10,10a-hexahydro-9H-benzo[c]chromen-9-one","1-Hydroxy-6,6-dimethyl-3-(2-methyloctan-2-yl)-6,6a,7,8,10,10a-hexahydro-9H-benzo[c]chromen-9-one",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,53,"[9-Hydroxy-6-methyl-3-(5-phenylpentan-2-yl)oxy-5,6,6a,7,8,9,10,10a-octahydrophenanthridin-1-yl]acetate","[9-Hydroxy-6-methyl-3-(5-phenylpentan-2-yl)oxy-5,6,6a,7,8,9,10,10a-octahydrophenanthridin-1-yl]acetate",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,54,"3-Hydroxy-2-[3-methyl-6-(2-propenyl)-cyclohex-2-en-1-yl]-5-pentyl-1,4-benzoquinone","3-Hydroxy-2-[3-methyl-6-(2-propenyl)-cyclohex-2-en-1-yl]-5-pentyl-1,4-benzoquinone",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,54AA,N'-(1-(4-Hydroxycyclohexylmethyl)-2-oxoindolin-3-ylidene) benzohydrazide,N’-(1-(4-Hydroxycyclohexylmethyl)-2-oxoindolin-3-ylidene) benzohydrazide and its hydroxy positional isomers in the cyclohexyl group,no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,54A,"2-(1-(5-Hydroxyhexyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide","2-(1-(5-Hydroxyhexyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide (also known as N’-(1-(5-Hydroxyhexyl)-2-oxoindolin-3-ylidene)benzohydrazide) and its hydroxy positional isomers in the hexyl group",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,55,"9-(Hydroxymethyl)-6,6-dimethyl-3-(2-methyloctan-2-yl)-6a,7,10,10a-tetrahydro-6H-benzo[c]chromen-1-ol","9-(Hydroxymethyl)-6,6-dimethyl-3-(2-methyloctan-2-yl)-6a,7,10,10a-tetrahydro-6H-benzo[c]chromen-1-ol (for example HU‑210, HU-211)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,56,7-Hydroxymitragynine,7-Hydroxymitragynine,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,56A,"2-(1-(5-Hydroxypentyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide","2-(1-(5-Hydroxypentyl)-2-oxo-1,2-dihydro-3H-indol-3-ylidene) benzohydrazide (also known as N’-(1-(5-Hydroxypentyl)-2-oxoindolin-3-ylidene)benzohydrazide) and its hydroxy positional isomers in the pentyl group",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,57,"5-(5-Hydroxypentyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one","5-(5-Hydroxypentyl)-2-(2-phenylpropan-2-yl)-pyrido[4,3-b]indol-1-one and its phenylpropyl isomers and their respective hydroxy positional isomers in the pentyl group",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,57A,"2-(1H-Indazole-3-carboxamido)-3,3-dimethylbutanoic acid","2-(1H-Indazole-3-carboxamido)-3,3-dimethylbutanoic acid and its hexanoic acid isomers",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,58,1-(1H-Indol-5-yl)propan-2-amine,"1-(1H-Indol-5-yl)propan-2-amine (also known as 5-IT) and its 4-yl, 6‑yl and 7-yl isomers",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,59,"2-(4-Iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine","2-(4-Iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine (also known as 25I-NBOMe) and its dimethoxy, iodo and methoxy positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,60,"2-(4-Iodo-2,5-dimethoxyphenyl)ethanamine","2-(4-Iodo-2,5-dimethoxyphenyl)ethanamine (also known as 2C-I) and its dimethoxy and iodo positional isomers in the phenyl ring",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,61,"2-N-[2-(4-Iodo-2,5-dimethoxyphenylethyl)aminomethyl]phenol","2-N-[2-(4-Iodo-2,5-dimethoxyphenylethyl)aminomethyl]phenol (also known as 25I-NBOH) and its dimethoxy, hydroxy and iodo positional isomers in the respective phenyl rings",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,62,3-Methoxy-2-(methylamino)-1-(4-methylphenyl)propan-1-one,3-Methoxy-2-(methylamino)-1-(4-methylphenyl)propan-1-one (also known as Mexedrone) and its methyl positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,62A,2-(4-Methoxybenzyl)-5-nitro-1-(2-pyrrolidin-1-ylethyl)-1H-benzo[d] imidazole,2-(4-Methoxybenzyl)-5-nitro-1-(2-pyrrolidin-1-ylethyl)-1H-benzo[d] imidazole (also known as metonitazepyne or N-pyrrolidino metonitazene) and its methoxy positional isomers in the phenyl ring and their respective nitro positional isomers in the 6-membered ring of the benzimidazole structure,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,63,N-[1-(3-Methoxyphenyl)cyclohexyl]-piperidine,N-[1-(3-Methoxyphenyl)cyclohexyl]-piperidine (also known as 3‑Methoxyphencyclidine or 3-Methoxy-PCP or 3-MeO-PCP) and its methoxy positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,64,2-(3-Methoxyphenyl)-2-(N-ethylamino)cyclohexanone,2-(3-Methoxyphenyl)-2-(N-ethylamino)cyclohexanone (also known as methoxetamine),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,65,1-[1-(2-Methoxyphenyl)-2-phenylethyl]piperidine,1-[1-(2-Methoxyphenyl)-2-phenylethyl]piperidine (also known as 2‑MeO‑Diphenidine or 2‑MXP or methoxphenidine) and its methoxy positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,66,N-Methyl-5-(2-aminopropyl)benzofuran,"N-Methyl-5-(2-aminopropyl)benzofuran (also known as 5‑MAPB) and its 4‑yl, 6‑yl and 7‑yl isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,67,N-Methyl-1-(4-fluorophenyl)propan-2-amine,N-Methyl-1-(4-fluorophenyl)propan-2-amine (also known as 4‑Fluoromethamphetamine or 4-FMA) and its fluoro positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,67A,"Methyl 2-(1H-indazole-3-carboxamido)-3,3-dimethylbutanoate","Methyl 2-(1H-indazole-3-carboxamido)-3,3-dimethylbutanoate (also known as MDMB-INACA) and its hexanoate isomers",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,67B,"2-(5-Methyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoic acid","2-(5-Methyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoic acid and its hexanoic acid isomers and their respective methyl positional isomers in the 6-membered ring of the indazole structure",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,68,N-Methyl-1-(4-methoxyphenyl)propan-2-amine,N-Methyl-1-(4-methoxyphenyl)propan-2-amine (also known as 4‑Methoxymethamphetamine or para-Methoxymethamphetamine or PMMA) and its methoxy positional isomers in the phenyl ring,resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,68A,"Methyl 2-(5-methyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate","Methyl 2-(5-methyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate (also known as MDMB-5-Methyl-INACA or MDMB-5-Me-INACA) and its hexanoate isomers and their respective methyl positional isomers in the 6-membered ring of the indazole structure",no FDA UNII record for any name in the entry
