page_a,page_b,width,jaccard,indexable_a,indexable_b,set_a,set_b
target/kca2-2,target/mycobacterium-tuberculosis,390,0.6571,false,false,hub,hub
target/kca2-2,target/peptidoglycan-biosynthesis,390,0.6564,false,false,hub,hub
target/aoc3,target/serotonin-2-receptor,390,0.6557,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/peptidoglycan-biosynthesis,390,0.6557,false,false,hub,hub
target/kna1-2,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6557,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/hmdh,390,0.6554,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/kca2-2,390,0.6517,false,false,hub,hub
target/at1-receptor,target/serotonin-2-receptor,390,0.6505,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/peptidoglycan-biosynthesis,390,0.6503,false,false,hub,hub
target/aoc3,target/hmg-coa-reductase,390,0.6502,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/serotonin-2a-receptor-chembl322,390,0.6498,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/kna1-2,390,0.6487,false,false,hub,hub
target/aoc3,target/serotonin-2a-receptor-chembl322,390,0.6479,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/serotonin-2-receptor,390,0.6476,false,false,hub,hub
target/comt,target/hmdh,390,0.6476,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/serotonin-2a-receptor-chembl322,390,0.6475,false,false,hub,hub
target/at1-receptor,target/serotonin-2a-receptor-chembl322,390,0.6465,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/serotonin-2-receptor,390,0.6461,false,false,hub,hub
target/hmdh,target/pgrc1,390,0.6448,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/aoc3,390,0.6437,false,false,hub,hub
target/aoc3,target/smooth-muscle-contraction,390,0.6437,false,false,hub,hub
target/kca2-2,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.643,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/hmg-coa-reductase,390,0.6422,false,false,hub,hub
target/kpcd1,target/kpce,390,0.6417,false,false,hub,hub
target/at1-receptor,target/hmg-coa-reductase,390,0.6412,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/hmg-coa-reductase,390,0.6407,false,false,hub,hub
target/aoc3,target/peptidoglycan-biosynthesis,390,0.6407,false,false,hub,hub
target/kca2-2,target/smooth-muscle-contraction,390,0.64,false,false,hub,hub
target/tlr7,target/toll-like-receptor-7,390,0.6399,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/nitric-oxide-synthase-inducible,390,0.6397,false,false,hub,hub
target/kir2-3,target/vrac,390,0.6387,false,false,hub,hub
target/angiogenesis,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.6385,false,false,hub,hub
target/at1-receptor,target/smooth-muscle-contraction,390,0.6385,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/serine-threonine-protein-kinase-aurora-c,390,0.6382,false,false,hub,hub
target/serine-threonine-protein-kinase-aurora-c,target/smooth-muscle-contraction,390,0.6382,false,false,hub,hub
target/aoc3,target/kna1-2,390,0.6359,false,false,hub,hub
target/at1-receptor,target/peptidoglycan-biosynthesis,390,0.6355,false,false,hub,hub
target/kpym,target/mmp12,390,0.6354,false,false,hub,hub
target/aoc3,target/kca2-2,390,0.6349,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/at1-receptor,390,0.6347,false,false,hub,hub
target/aoxa,target/progesterone-receptor-progesterone-receptor-prgr-human,390,0.6339,false,false,hub,hub
target/kna1-2,target/serotonin-2a-receptor-chembl322,390,0.6339,false,false,hub,hub
target/carbonic-anhydrase-vii,target/carbonic-anhydrase-xii,390,0.6315,false,false,hub,hub
target/kna1-2,target/smooth-muscle-contraction,390,0.6296,false,false,hub,hub
target/mycobacterium-tuberculosis,target/serine-threonine-protein-kinase-aurora-c,390,0.6286,false,false,hub,hub
target/acvr1,target/bmr1b,390,0.6277,false,false,hub,hub
target/hmg-coa-reductase,target/kca2-2,390,0.6276,false,false,hub,hub
target/aoc3,target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,390,0.627,false,false,hub,hub
target/trpc4,target/vrac,390,0.627,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.6267,false,false,hub,hub
target/kna1-2,target/peptidoglycan-biosynthesis,390,0.6267,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/kca2-2,390,0.6259,false,false,hub,hub
target/at1-receptor,target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,390,0.6259,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/aoc3,390,0.6256,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/nitric-oxide-synthase-inducible,390,0.625,false,false,hub,hub
target/hmg-coa-reductase,target/kna1-2,390,0.625,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/at1-receptor,390,0.6244,false,false,hub,hub
target/hmdh,target/pncb,390,0.6241,false,false,hub,hub
target/xanthine-dehydrogenase,target/xdh,390,0.624,false,false,hub,hub
target/kna1-2,target/serotonin-2-receptor,390,0.623,false,false,hub,hub
target/serine-threonine-protein-kinase-aurora-c,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.6228,false,false,hub,hub
target/angiogenesis,target/streptococcus-pneumoniae,390,0.6224,false,false,hub,hub
target/kca2-2,target/serotonin-2-receptor,390,0.6219,false,false,hub,hub
target/kca2-2,target/serotonin-2a-receptor-chembl322,390,0.6216,false,false,hub,hub
target/comt,target/pgrc1,390,0.6215,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/serine-threonine-protein-kinase-aurora-c,390,0.6212,false,false,hub,hub
target/kpym,target/mdr1a,390,0.6206,false,false,hub,hub
target/mapk-signaling-pathway,target/pi3k-akt-signaling-pathway,390,0.6206,false,false,hub,hub
target/glun1,target/q9z1j7,390,0.6202,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/kca2-2,390,0.6199,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/kna1-2,390,0.6197,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/serine-threonine-protein-kinase-aurora-c,390,0.619,false,false,hub,hub
target/peptidoglycan-biosynthesis,target/serine-threonine-protein-kinase-aurora-c,390,0.6173,false,false,hub,hub
target/kcna5,target/scn1b,390,0.616,false,false,hub,hub
target/hmdh,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.6154,false,false,hub,hub
target/mycobacterium-tuberculosis-h37rv,target/nitric-oxide-synthase-inducible,390,0.6147,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/vrac,390,0.6143,false,false,hub,hub
target/kir2-3,target/m5-receptor,390,0.6135,false,false,hub,hub
target/bmx,target/clk1,390,0.6128,false,false,hub,hub
target/hmg-coa-reductase,target/serine-threonine-protein-kinase-aurora-c,390,0.6122,false,false,hub,hub
target/aoc3,target/gsk3a,390,0.6117,false,false,hub,hub
target/kpcd1,target/kpct,390,0.6117,false,false,hub,hub
target/mdr1a,target/mmp12,390,0.6117,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/streptococcus-pneumoniae,390,0.6112,false,false,hub,hub
target/kcnk2,target/scn1b,390,0.6112,false,false,hub,hub
target/hmdh,target/q9z1j7,390,0.611,false,false,hub,hub
target/sstr3,target/sstr5,390,0.6102,false,false,hub,hub
target/serine-threonine-protein-kinase-aurora-c,target/serotonin-2a-receptor-chembl322,390,0.61,false,false,hub,hub
target/angiogenesis,target/comt,390,0.6097,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/hepatitis-b-virus,390,0.6094,false,false,hub,hub
target/bmx,target/hmdh,390,0.6093,false,false,hub,hub
target/clk1,target/hmdh,390,0.6089,false,false,hub,hub
target/mmp13-mmp13,target/trpc4,390,0.6089,false,false,hub,hub
target/mmp13-mmp13,target/vrac,390,0.6086,false,false,hub,hub
target/m2-receptor,target/m4-receptor,390,0.6079,false,false,hub,hub
target/hmdh,target/scn1b,390,0.6077,false,false,hub,hub
target/serine-threonine-protein-kinase-aurora-c,target/serotonin-2-receptor,390,0.6069,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/kna1-2,390,0.6067,false,false,hub,hub
target/kcna5,target/kcnk2,390,0.6067,false,false,hub,hub
target/streptococcus-pneumoniae,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.6067,false,false,hub,hub
target/pgrc1,target/pncb,390,0.6064,false,false,hub,hub
target/angiogenesis,target/pgrc1,390,0.6061,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/vitamin-d-receptor,390,0.6049,false,false,hub,hub
target/angiogenesis,target/vitamin-d-receptor,390,0.6049,false,false,hub,hub
target/comt,target/q9z1j7,390,0.6044,false,false,hub,hub
target/comt,target/streptococcus-pneumoniae,390,0.6044,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/aryl-hydrocarbon-receptor,390,0.6036,false,false,hub,hub
target/kir2-3,target/nitric-oxide-synthase-inducible,390,0.6036,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/nitric-oxide-synthase-inducible,390,0.6027,false,false,hub,hub
target/angiogenesis,target/beta-amyloid-a4-protein,390,0.6026,false,false,hub,hub
target/clk1,target/comt,390,0.6026,false,false,hub,hub
target/m5-receptor,target/vrac,390,0.6022,false,false,hub,hub
target/cysteinyl-leukotriene-receptor-1,target/integrin-alpha-iib-beta-3,390,0.6018,false,false,hub,hub
target/kir2-3,target/trpc4,390,0.6018,false,false,hub,hub
target/hepatitis-b-virus,target/nitric-oxide-synthase-inducible,390,0.6013,false,false,hub,hub
target/pgrc1,target/q9z1j7,390,0.6009,false,false,hub,hub
target/pncb,target/q9z1j7,390,0.6009,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/vrac,390,0.6005,false,false,hub,hub
target/dna-topoisomerase-ii-alpha,target/serum-albumin,390,0.6004,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,390,0.6,false,false,hub,hub
target/hmdh,target/streptococcus-pneumoniae,390,0.6,false,false,hub,hub
target/err3,target/gper1,390,0.5992,false,false,hub,hub
target/serotonin-3-receptor-chembl2111332,target/serotonin-7-receptor,390,0.5991,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/gsk3a,390,0.5987,false,false,hub,hub
target/gsk3a,target/smooth-muscle-contraction,390,0.5987,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/serotonin-3-receptor-chembl2111332,390,0.5987,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/comt,390,0.5986,false,false,hub,hub
target/kir2-3,target/mmp13-mmp13,390,0.5982,false,false,hub,hub
target/p2y2-receptor,target/vrac,390,0.5982,false,false,hub,hub
target/5-ht5a-receptor,target/5ht5a,390,0.5975,false,false,hub,hub
target/estrogen-receptor-estrogen-receptor-esr1-human,target/progesterone-receptor-progesterone-receptor-prgr-human,390,0.5975,false,false,hub,hub
target/kir2-3,target/m2-receptor,390,0.5974,false,false,hub,hub
target/monoamine-oxidase-a,target/monoamine-oxidase-b,390,0.5971,false,false,hub,hub
target/dipeptidyl-peptidase-4,target/dpp4,390,0.597,false,false,hub,hub
target/matrix-metalloproteinase-13,target/mmp13-mmp13,390,0.597,false,false,hub,hub
target/amine-oxidase-flavin-containing-a,target/monoamine-oxidase-a,390,0.5966,false,false,hub,hub
target/comt,target/tpa,390,0.5966,false,false,hub,hub
target/cyp11b1,target/vrac,390,0.5965,false,false,hub,hub
target/bmx,target/comt,390,0.5962,false,false,hub,hub
target/aryl-hydrocarbon-receptor-aryl-hydrocarbon-receptor,target/nitric-oxide-synthase-inducible,390,0.5961,false,false,hub,hub
target/cysteinyl-leukotriene-receptor-1,target/serotonin-3-receptor-chembl2111332,390,0.596,false,false,hub,hub
target/phosphodiesterase-4a,target/phosphodiesterase-4d,390,0.5958,false,false,hub,hub
target/angiogenesis,target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,390,0.5954,false,false,hub,hub
target/grm5,target/metabotropic-glutamate-receptor-5,390,0.5952,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/pgrc1,390,0.5949,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/integrin-alpha-iib-beta-3,390,0.5946,false,false,hub,hub
target/angiogenesis,target/nitric-oxide-synthase-inducible,390,0.5945,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/mycobacterium-tuberculosis-h37rv,390,0.5944,false,false,hub,hub
target/comt,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.5942,false,false,hub,hub
target/pgrc1,target/scn1b,390,0.5942,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/kir2-3,390,0.5938,false,false,hub,hub
target/tspo,target/vrac,390,0.5938,false,false,hub,hub
target/at1-receptor,target/gsk3a,390,0.5936,false,false,hub,hub
target/serotonin-1b-receptor,target/serotonin-1d-receptor,390,0.5936,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/vrac,390,0.5933,false,false,hub,hub
target/gsk3a,target/mycobacterium-tuberculosis,390,0.5931,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/pregnane-x-receptor,390,0.593,false,false,hub,hub
target/mmp13-mmp13,target/nitric-oxide-synthase-inducible,390,0.5928,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/serotonin-3-receptor-chembl2111332,390,0.5925,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/tspo,390,0.5924,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/hepatitis-b-virus,390,0.5918,false,false,hub,hub
