key,tier,displayName,kind,unii,corpus_inchikey,pubchem_cid_for_unii,pubchem_inchikey_for_unii,skeletons_match
K1:6FO62043WK,2,Glycyrrhizin,unii-record-is-a-different-substance,3VRD35U26C,LPLVUJXQOOQHMX-QWBHMCJMSA-N,62074,ILRKKHJEINIICQ-OOFFSTKBSA-N,False
K1:6GK82EC25D,2,Pyrithione,unii-record-differs-no-exact-structure,6GK82EC25D,FGVVTMRZYROCTH-UHFFFAOYSA-N,1570,YBBJKCMMCRQZMA-UHFFFAOYSA-N,False
K1:6JHT6TE2T7,2,Tungsten Disulfide,unii-record-differs-no-exact-structure,6JHT6TE2T7,ALTJUUAMKKUJDT-UHFFFAOYSA-N,9794883,OWRBHDYZJXBLLF-UHFFFAOYSA-N,False
K1:6LGR0RYY5Q,3,Romaciclib,unii-record-is-a-different-substance,SDM3M518PJ,FSBMCTDYWXIBLM-UHFFFAOYSA-N,73776232,GQXLWUCQESKBSC-UHFFFAOYSA-N,False
K1:6LJJ67GNMV,3,Hydroxydione Hydrogen Succinate,unii-record-is-a-different-substance,53J8I8O5EW,KLRNMIUKAXHHFS-ZILYODKUSA-N,23689389,BFQDICGJHAONBN-OOFWROCWSA-M,False
K1:6MB0YNA8DJ,3,BQ-788 Free Acid,unii-record-is-a-different-substance,44OLL8XEJ4,LPAHKJMGDSJDRG-DJYQTOCQSA-N,16759603,QCVIFBRTTLMEOV-FUKQNADPSA-M,False
K1:6NHC09L02I,3,Prinomide,unii-record-is-a-different-substance,33S1GFG04E,KBQUAIAGRLAZGP-UHFFFAOYSA-N,3033812,CPUJDORGQAJDCT-UHFFFAOYSA-N,False
K1:6O01GMS00P,1,Momelotinib,unii-record-is-a-different-substance,LDX8893L5D,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,102514733,RQKCPSIFARJBOR-UHFFFAOYSA-N,False
K1:6ON9RK82AL,3,Pimasertib,unii-record-is-a-different-substance,6GS1ULF5HV,VIUAUNHCRHHYNE-JTQLQIEISA-N,52918382,HIEXZUXKTABHCP-PPHPATTJSA-N,False
K1:6Q2L2H0POF,3,"2,2'-DITHIODIETHANESULFONIC Acid",unii-record-is-a-different-substance,230R951Y4D,BYUKOOOZTSTOOH-UHFFFAOYSA-N,65625,KQYGMURBTJPBPQ-UHFFFAOYSA-L,False
K1:6QFP76V7S7,3,Eprodisate,unii-record-is-a-different-substance,5X0D9H16IU,MGNVWUDMMXZUDI-UHFFFAOYSA-N,6451143,DKGJFKPIUSHDIT-UHFFFAOYSA-L,False
K1:6RZ6XEZ3CR,2,Chlordiazepoxide,unii-record-differs-no-exact-structure,6RZ6XEZ3CR,ANTSCNMPPGJYLG-UHFFFAOYSA-N,2712,BUCORZSTKDOEKQ-UHFFFAOYSA-N,False
K1:6S082C9NDT,2,Trimipramine,unii-record-is-a-different-substance,269K6498LD,ZSCDBOWYZJWBIY-UHFFFAOYSA-N,5282318,YDGHCKHAXOUQOS-BTJKTKAUSA-N,False
K1:6S49DGR869,1,Canagliflozin Anhydrous,unii-record-is-a-different-substance,0SAC974Z85,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,24997615,VHOFTEAWFCUTOS-TUGBYPPCSA-N,False
K1:6S6GVE3CIQ,2,Maduramicin acid,unii-record-is-a-different-substance,5U912U22T2,RWVUEZAROXKXRT-VQLSFVLHSA-N,6917874,WQGJEAMPBSZCIF-HKSLRPGUSA-N,False
K1:6TP696149N,3,FD&C Yellow NO. 5 Free Acid,unii-record-differs-no-exact-structure,I753WB2F1M,KPIQXPLWZCDIHI-ISLYRVAYSA-N,16013,ZLWLTDZLUVBSRJ-UHFFFAOYSA-K,False
K1:6UKA5VEJ6X,2,Ziprasidone,unii-record-is-a-different-substance,216X081ORU,MVWVFYHBGMAFLY-UHFFFAOYSA-N,60853,ZCBZSCBNOOIHFP-UHFFFAOYSA-N,False
K1:6WH8495MMH,1,Etrasimod,unii-record-is-a-different-substance,MXE5EMA09L,MVGWUTBTXDYMND-QGZVFWFLSA-N,44624336,GVPVVOSNDUAUKM-BPGOJFKZSA-N,False
K1:6YE7PBM15H,2,Midodrine,unii-record-is-a-different-substance,59JV96YTXV,PTKSEFOSCHHMPD-UHFFFAOYSA-N,18340,MGCQZNBCJBRZDT-UHFFFAOYSA-N,False
K1:704G17JK68,1,Methyl Anisotropinium,unii-record-differs-no-exact-structure,62M960DHIL,XGGHHHBGPSNXFE-ZSHCYNCHSA-N,657201,QSFKGMJOKUZAJM-JXMYBXCISA-M,False
K1:70HZ18PH24,1,Zoledronic Acid Anhydrous,unii-record-is-a-different-substance,6XC1PAD3KF,XRASPMIURGNCCH-UHFFFAOYSA-N,121586,FUXFIVRTGHOMSO-UHFFFAOYSA-N,False
K1:70JE2N95KR,2,Tigecycline,unii-record-differs-no-exact-structure,70JE2N95KR,FPZLLRFZJZRHSY-HJYUBDRYSA-N,54686904,SOVUOXKZCCAWOJ-HJYUBDRYSA-N,False
K1:70KG06964W,1,Terodiline,unii-record-is-a-different-substance,K2ZA89W43F,UISARWKNNNHPGI-UHFFFAOYSA-N,23479,RNGHAJVBYQPLAZ-UHFFFAOYSA-N,False
K1:71Q1A3O279,2,Anileridine,unii-record-is-a-different-substance,3584484N8V,LKYQLAWMNBFNJT-UHFFFAOYSA-N,16051989,FLQCEKVTYABVSH-UHFFFAOYSA-N,False
K1:740T4C525W,2,Sulfafurazole,unii-record-is-a-different-substance,30S4B46J8B,NHUHCSRWZMLRLA-UHFFFAOYSA-N,20287,FEPTXVIRMZIGFY-UHFFFAOYSA-N,False
K1:743LRP9S7N,2,Hemin,unii-record-is-a-different-substance,743LRP9S7N,FEDYMSUPMFCVOD-UHFFFAOYSA-N,455658,BTIJJDXEELBZFS-UHFFFAOYSA-K,False
K1:744L89AT9T,3,Lactalfate,unii-record-is-a-different-substance,744L89AT9T,CYHQOPDVWXHUIS-PSWXTKDHSA-N,76958929,DNYDAJOVEODZGM-KPXOZHFESA-A,False
K1:74H68X6IUL,3,Pranolium,unii-record-is-a-different-substance,690U92SRMP,VOPWPUXOWBDNBN-UHFFFAOYSA-N,39328,LJZCWOISXLZEEU-UHFFFAOYSA-M,False
K1:74QU6P2934,3,Azimilide,unii-record-is-a-different-substance,6E6VJP68KR,MREBEPTUUMTTIA-PCLIKHOPSA-N,9571003,HHPSICLSNHCSNZ-BYEGLACWSA-N,False
K1:755BO701MA,2,Bepridil,unii-record-is-a-different-substance,4W2P15D93M,UIEATEWHFDRYRU-UHFFFAOYSA-N,91725,UEECHQPWQHYEDE-UHFFFAOYSA-N,False
K1:75B0PMW2JF,1,"Threonic ACID, L-",unii-record-is-a-different-substance,1Y26ZZ0OTM,JPIJQSOTBSSVTP-STHAYSLISA-N,45489777,YVJOHOWNFPQSPP-BALCVSAKSA-L,False
K1:75J73V1629,2,Ceftriaxone,unii-record-is-a-different-substance,023Z5BR09K,VAAUVRVFOQPIGI-SPQHTLEESA-N,11953897,KTAVBOYXMBQFGR-MAODNAKNSA-J,False
K1:75QG9WGN4U,3,Motexafin,unii-record-is-a-different-substance,75QG9WGN4U,AHNIKTNNZJNCFN-UHFFFAOYSA-N,151071,JFOHFDSMPQIOES-UHFFFAOYSA-N,False
K1:7673326042,2,Irinotecan,unii-record-is-a-different-substance,042LAQ1IIS,UWKQSNNFCGGAFS-XIFFEERXSA-N,60837,KLEAIHJJLUAXIQ-JDRGBKBRSA-N,False
K1:76H78MJJ52,2,Alimemazine,unii-record-is-a-different-substance,362NW1LD6Z,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,441236,AJZJIYUOOJLBAU-CEAXSRTFSA-N,False
K1:775S1NC70I,3,Ivospemin,unii-record-is-a-different-substance,2RKV12BBA7,AFXLPCNTPZQBIC-HOTGVXAUSA-N,155676458,SCDBHUCANIJZED-VNMXSFETSA-N,False
K1:7857H94KHM,3,Thioglycolic Acid,unii-record-is-a-different-substance,263SH5220T,CWERGRDVMFNCDR-UHFFFAOYSA-N,160430,XTJCJAPNPGGFED-UHFFFAOYSA-N,False
K1:78G4631RTT,3,Spinosad Factor D,unii-record-is-a-different-substance,XPA88EAP6V,RDECBWLKMPEKPM-PSCJHHPTSA-N,17754356,JFLRKDZMHNBDQS-SGSTVUCESA-N,False
K1:78M02AA8KF,2,Flunisolide Anhydrous,unii-record-is-a-different-substance,QK4DYS664X,XSFJVAJPIHIPKU-XWCQMRHXSA-N,11954221,MIXMJCQRHVAJIO-TZHJZOAOSA-N,False
K1:78W62V43DY,2,Penbutolol,unii-record-is-a-different-substance,US71433228,KQXKVJAGOJTNJS-HNNXBMFYSA-N,38010,FEDSNBHHWZEYTP-ZFQYHYQMSA-N,False
K1:7A314HQM0I,2,Pentetic Acid,unii-record-is-a-different-substance,1XRC28738T,QPCDCPDFJACHGM-UHFFFAOYSA-N,90478715,UIFWUEXACZWRFK-FZTWWWDYSA-N,False
K1:7AXV542LZ4,2,Regadenoson Anhydrous,unii-record-is-a-different-substance,2XLN4Y044H,LZPZPHGJDAGEJZ-AKAIJSEGSA-N,44154280,CDQVVPUXSPZONN-WPPLYIOHSA-N,False
K1:7CUC9DDI9F,2,Pseudoephedrine,unii-record-is-a-different-substance,6V9V2RYJ8N,KWGRBVOPPLSCSI-WCBMZHEXSA-N,9581,BALXUFOVQVENIU-KXNXZCPBSA-N,False
K1:7D6EM3S13P,2,Lymecycline,unii-record-differs-no-exact-structure,7D6EM3S13P,AHEVKYYGXVEWNO-UEPZRUIBSA-N,54707177,PZTCVADFMACKLU-UEPZRUIBSA-N,False
K1:7E2P22546V,3,Amidephrine,unii-record-is-a-different-substance,63HPK6A5CW,ZHOWHMXTJFZXRB-UHFFFAOYSA-N,15009,INSXAGGBFMXUIH-UHFFFAOYSA-N,False
K1:7EW2EZ38LS,3,Calcium Fructoborate,unii-record-is-a-different-substance,7EW2EZ38LS,QJBPAFWWQSUKMG-ZOSOPJGDSA-N,9962298,HRSMKOBEJUELDV-XBNRZDKMSA-N,False
K1:7F80CC3NNV,2,Mebeverine,unii-record-is-a-different-substance,15VZ5AL4JN,VYVKHNNGDFVQGA-UHFFFAOYSA-N,17683,PLGQWYOULXPJRE-UHFFFAOYSA-N,False
K1:7GBN705NH1,3,Imidazole,unii-record-is-a-different-substance,4JVD4X01MJ,RAXXELZNTBOGNW-UHFFFAOYSA-N,37425,XCHHJFVNQPPLJK-UHFFFAOYSA-N,False
K1:7HE50A367X,1,Tridihexethyl,unii-record-is-a-different-substance,25YK75CYMX,NPRHVSBSZMAEIN-UHFFFAOYSA-N,20298,XJGONMZLEDGBRM-UHFFFAOYSA-M,False
K1:7HY6IMH87S,3,Lirafugratinib,unii-record-is-a-different-substance,4P76F4XM3B,XOQVZSSDIQQUGO-UHFFFAOYSA-N,163377372,HLGJPRBWELSHLI-UHFFFAOYSA-N,False
K1:7IKM67CSEQ,3,Sibopirdine Anhydrous,unii-record-is-a-different-substance,RAG2185DR1,FJYRSJDIZKTXKB-UHFFFAOYSA-N,9929210,NFNHFSQIMHVLMF-UHFFFAOYSA-N,False
K1:7N3A092A5X,3,Heliomycin,unii-record-differs-no-exact-structure,7N3A092A5X,ABLACSIRCKEUOB-UHFFFAOYSA-N,135430323,MJKDGCARCYPVQG-UHFFFAOYSA-N,False
K1:7N464URE7E,2,Flavin Mononucleotide,unii-record-is-a-different-substance,20RD1DZH99,FVTCRASFADXXNN-SCRDCRAPSA-N,23687712,LQVGUKOCMOKKJU-QPVGXXQTSA-M,False
