page_a,page_b,rule,action,evidence
K1:5D3DB66WM3,K1:F5WR8N145C,UNRESOLVED,remainder,"{""a"":""IODINE, Atomic"",""b"":""Sodium Iodide"",""gsrs_relationship"":null,""origin"":""suspected-nominal:iodide""}"
K1:1C4QK22F9J,K1:F5WR8N145C,UNRESOLVED,remainder,"{""a"":""Potassium Iodide"",""b"":""Sodium Iodide"",""gsrs_relationship"":null,""origin"":""suspected-nominal:iodide""}"
K1:8EKI9QEE2H,K1:F5WR8N145C,UNRESOLVED,remainder,"{""a"":""Calcium Iodide"",""b"":""Sodium Iodide"",""gsrs_relationship"":null,""origin"":""suspected-nominal:iodide""}"
HOLD:existing:fludrocortisone,K1:U0476M545B,CONFLICT-UNII-VS-STRUCTURE,remainder,"{""a"":""Fludrocortisone"",""b"":""Fludrocortisone"",""inchikey_a"":""SYWHXTATXSMDSB-GSLJADNHSA-N"",""inchikey_b"":""AAXVEMMRQDVLJB-BULBTXNYSA-N"",""origin"":""suspected-nominal:fludrocortisone"",""unii"":""U0476M545B""}"
K1:48OVY2OC72,K1:935XD1L5K2,UNRESOLVED,remainder,"{""a"":""SODIUM ARSENITE"",""b"":""Arsenous Acid"",""gsrs_relationship"":null,""origin"":""suspected-nominal:arsenite""}"
K1:BEA68ZVB2K,K1:S5VXA428R4,EXCEPTION-ESTER,keep_separate,"{""a"":""ESLICARBAZEPINE ACETATE"",""b"":""Eslicarbazepine"",""origin"":""suspected-nominal:eslicarbazepine"",""reason"":""ESLICARBAZEPINE ACETATE is a covalent ester of Eslicarbazepine; \u00a73.2 keeps an ester on its own page.""}"
K1:295O53K152,K1:LYR4M0NH37,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Potassium Cation"",""b"":""Sodium Cation"",""origin"":""suspected-nominal:cation"",""reason"":""Potassium Cation and Sodium Cation carry different metal centres (K against Na).""}"
K1:2M83C4R6ZB,K1:LYR4M0NH37,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Calcium Cation"",""b"":""Sodium Cation"",""origin"":""suspected-nominal:cation"",""reason"":""Calcium Cation and Sodium Cation carry different metal centres (Ca against Na).""}"
K1:0SY050L61N,K1:SDS4N642GG,EXCEPTION-ESTER,keep_separate,"{""a"":""Chlormadinone Acetate"",""b"":""CHLORMADINONE"",""origin"":""suspected-nominal:chlormadinone"",""reason"":""Chlormadinone Acetate is a covalent ester of CHLORMADINONE; \u00a73.2 keeps an ester on its own page.""}"
K1:42255P5X4D,K1:V561V90BG2,R6-GSRS-SALT-UNCONFIRMED,remainder,"{""a"":""POTASSIUM PERCHLORATE"",""b"":""Perchloric Acid"",""origin"":""suspected-nominal:perchlorate"",""relationship"":""target_is_parent""}"
K1:97F4MTY3VA,K1:V561V90BG2,UNRESOLVED,remainder,"{""a"":""SODIUM PERCHLORATE"",""b"":""Perchloric Acid"",""gsrs_relationship"":null,""origin"":""suspected-nominal:perchlorate""}"
K1:P484053J2Y,K1:S2QG84156O,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""CUPRIC CHLORIDE ANHYDROUS"",""b"":""Cupric Chloride"",""normalised"":""cupric"",""origin"":""suspected-nominal:cupric chloride"",""skeleton_a"":""ORTQZVOHEJQUHG"",""skeleton_b"":""MPTQRFCYZCXJFQ""}"
K1:Z8E46IA45W,K3:CHEMBL2109130,UNRESOLVED,remainder,"{""a"":""Technetium TC-99M Albumin Aggregated"",""b"":""Macrosalb (131i)"",""gsrs_relationship"":null,""origin"":""suspected-nominal:macrosalb""}"
K1:21M14KDA67,K1:L65MV77ZG6,UNRESOLVED,remainder,"{""a"":""Alpha-Terpineol"",""b"":""4-TERPINEOL, (+/-)-"",""gsrs_relationship"":null,""origin"":""suspected-nominal:terpineol""}"
K1:M4I0D6VV5M,K1:OFM21057LP,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Calcium Chloride"",""b"":""Calcium Chloride Anhydrous"",""normalised"":""calcium"",""origin"":""suspected-nominal:chloride"",""skeleton_a"":""LLSDKQJKOVVTOJ"",""skeleton_b"":""UXVMQQNJUSDDNG""}"
K1:660YQ98I10,K1:M4I0D6VV5M,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Potassium Chloride"",""b"":""Calcium Chloride"",""origin"":""suspected-nominal:chloride"",""reason"":""Potassium Chloride and Calcium Chloride carry different metal centres (K against Ca).""}"
K1:F4VNO44C09,K2:GCIBXLKDWKQSNJ-SECBINFHSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Linalool"",""b"":""(-)-LINALOOL"",""normalised"":""linalool"",""origin"":""suspected-nominal:linalool"",""skeleton_a"":""CDOSHBSSFJOMGT"",""skeleton_b"":""GCIBXLKDWKQSNJ""}"
K1:9BKY99A8HJ,K1:M0C2SP444T,UNRESOLVED,remainder,"{""a"":""N-(P-AMINOBENZOYL)GLUTAMIC Acid"",""b"":""GLUTAMIC ACID HYDROCHLORIDE"",""gsrs_relationship"":null,""origin"":""suspected-nominal:glutamic acid""}"
K1:3KX376GY7L,K1:9BKY99A8HJ,UNRESOLVED,remainder,"{""a"":""Glutamic acid"",""b"":""N-(P-AMINOBENZOYL)GLUTAMIC Acid"",""gsrs_relationship"":null,""origin"":""suspected-nominal:glutamic acid""}"
K1:H6CM4TWH1W,K1:IGO73S04D5,UNRESOLVED,remainder,"{""a"":""Alpha-Pinene"",""b"":""Beta-Pinene"",""gsrs_relationship"":null,""origin"":""suspected-nominal:pinene""}"
K1:3U6IO1965U,K1:EY9131E63D,R3-SAME-SKELETON,form_of,"{""a"":""Chlorphenamine"",""b"":""CHLORPHENIRAMINE, (-)-"",""inchikey_a"":""SOYKEARSMXGVTM-UHFFFAOYSA-N"",""inchikey_b"":""SOYKEARSMXGVTM-OAHLLOKOSA-N"",""note"":""CHLORPHENIRAMINE, (-)- is the (-)-stereoisomer of Chlorphenamine, which is recorded without defined stereochemistry."",""origin"":""suspected-nominal:chlorphenamine"",""relation"":""stereoisomer_of"",""skeleton"":""SOYKEARSMXGVTM""}"
K1:LRX7AJ16DT,K1:N8NP6FR80R,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Cupric Sulfate"",""b"":""Cupric Phosphate"",""normalised"":""cupric"",""origin"":""suspected-nominal:cupric"",""skeleton_a"":""JZCCFEFSEZPSOG"",""skeleton_b"":""GQDHEYWVLBJKBA""}"
K1:N8NP6FR80R,K4:cupric,R5-SAME-NAME-ONE-STRUCTURE,review,"{""a"":""Cupric Phosphate"",""b"":""Cupric"",""normalised"":""cupric"",""origin"":""suspected-nominal:cupric""}"
K1:39M11XPH03,K1:N8NP6FR80R,EXCEPTION-ESTER,keep_separate,"{""a"":""Cupric Acetate"",""b"":""Cupric Phosphate"",""origin"":""suspected-nominal:cupric"",""reason"":""Cupric Acetate is a covalent ester of Cupric Phosphate; \u00a73.2 keeps an ester on its own page.""}"
K3:CHEMBL1201493,K4:simethicone cellulose,R5-SAME-NAME-NO-STRUCTURE,review,"{""a"":""SIMETHICONE-CELLULOSE"",""b"":""Simethicone-Cellulose"",""normalised"":""simethicone cellulose"",""origin"":""suspected-nominal:simethicone cellulose""}"
K1:7SFC6U2VI5,K2:BBBFJLBPOGFECG-VJVYQDLKSA-N,R1-IDENTICAL-UNII,merge,"{""a"":""Calcitonin Salmon"",""b"":""CALCITONIN SALMON"",""origin"":""suspected-nominal:calcitonin salmon"",""survivor"":""K1:7SFC6U2VI5"",""unii"":""7SFC6U2VI5"",""unii_source_a"":""page-key"",""unii_source_b"":""page-field""}"
K1:80EHD8I43D,K1:F92V3S521O,EXCEPTION-ESTER,keep_separate,"{""a"":""Aluminum Acetate"",""b"":""Aluminum Phosphate"",""origin"":""suspected-nominal:aluminum"",""reason"":""Aluminum Acetate is a covalent ester of Aluminum Phosphate; \u00a73.2 keeps an ester on its own page.""}"
K1:80EHD8I43D,K1:I7T908772F,EXCEPTION-ESTER,keep_separate,"{""a"":""Aluminum Acetate"",""b"":""ALUMINUM SULFATE ANHYDROUS"",""origin"":""suspected-nominal:aluminum"",""reason"":""Aluminum Acetate is a covalent ester of ALUMINUM SULFATE ANHYDROUS; \u00a73.2 keeps an ester on its own page.""}"
K1:80EHD8I43D,K1:CPD4NFA903,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Aluminum Acetate"",""b"":""Aluminum"",""origin"":""suspected-nominal:aluminum"",""reason"":""Aluminum Acetate and Aluminum carry different metal centres (none against Al).""}"
K1:34S289N54E,K1:80EHD8I43D,EXCEPTION-ESTER,keep_separate,"{""a"":""Aluminum Sulfate"",""b"":""Aluminum Acetate"",""origin"":""suspected-nominal:aluminum"",""reason"":""Aluminum Acetate is a covalent ester of Aluminum Sulfate; \u00a73.2 keeps an ester on its own page.""}"
K1:8CZS546954,K1:C7X2M0VVNH,R9-GSRS-ACTIVE-MOIETY,keep_separate,"{""a"":""Lime (CITRUS)"",""b"":""LIME"",""origin"":""suspected-nominal:lime"",""relationship"":""target_is_active_moiety""}"
K1:I909J9CFAT,K3:CHEMBL1201648,UNRESOLVED,remainder,"{""a"":""Liprotamase Amylase"",""b"":""AMYLASE (PANCRELIPASE)"",""gsrs_relationship"":null,""origin"":""suspected-nominal:amylase""}"
K1:I909J9CFAT,K2:YMXBQIIPWIMAQE-UHFFFAOYSA-N,UNRESOLVED,remainder,"{""a"":""Liprotamase Amylase"",""b"":""Amylase"",""gsrs_relationship"":null,""origin"":""suspected-nominal:amylase""}"
K1:8QTV3DTT8W,K2:OAEOAAHCJGWJIC-CEVJMMQXSA-N,R9-GSRS-ACTIVE-MOIETY,keep_separate,"{""a"":""Chondroitin Sulfate Sodium (BOVINE)"",""b"":""CHONDROITIN SULFATE"",""origin"":""suspected-nominal:chondroitin"",""relationship"":""target_is_active_moiety""}"
K1:8QTV3DTT8W,K4:chondroitin,UNRESOLVED,remainder,"{""a"":""Chondroitin Sulfate Sodium (BOVINE)"",""b"":""Chondroitin"",""gsrs_relationship"":null,""origin"":""suspected-nominal:chondroitin""}"
K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N,K2:QUQTXFIMYFMULC-OGOZKGDESA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""CPD 2"",""b"":""CPD 2"",""normalised"":""cpd 2"",""origin"":""suspected-nominal:cpd 2"",""skeleton_a"":""BXDZOYLPNAIDOC"",""skeleton_b"":""QUQTXFIMYFMULC""}"
K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N,K2:FYMVGXGSNIVSKY-NRFANRHFSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""CPD 2"",""b"":""CPD-2"",""normalised"":""cpd 2"",""origin"":""suspected-nominal:cpd 2"",""skeleton_a"":""BXDZOYLPNAIDOC"",""skeleton_b"":""FYMVGXGSNIVSKY""}"
K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N,K2:JGQPZPLJOBHHBK-UFXYQILXSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""CPD 2"",""b"":""CPD 2"",""normalised"":""cpd 2"",""origin"":""suspected-nominal:cpd 2"",""skeleton_a"":""BXDZOYLPNAIDOC"",""skeleton_b"":""JGQPZPLJOBHHBK""}"
K1:6YB4901Y90,K1:QQE170PANO,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""MANGANESE CHLORIDE ANHYDROUS"",""b"":""Manganese Chloride"",""normalised"":""manganese"",""origin"":""suspected-nominal:manganese chloride"",""skeleton_a"":""GLFNIEUTAYBVOC"",""skeleton_b"":""CNFDGXZLMLFIJV""}"
K1:QZV2W997JQ,K1:S71T8B8Z6P,R6-GSRS-SALT-UNCONFIRMED,remainder,"{""a"":""Picolinic Acid"",""b"":""CHROMIUM PICOLINATE"",""origin"":""suspected-nominal:chromium picolinate"",""relationship"":""target_is_salt""}"
K1:025P9I542Y,K1:562RS6MC22,R3-SAME-SKELETON,form_of,"{""a"":""Cyanocobalamin (57co)"",""b"":""Cyanocobalamin (60co)"",""inchikey_a"":""FDJOLVPMNUYSCM-LFHMENBZSA-L"",""inchikey_b"":""FDJOLVPMNUYSCM-BYCRCCONSA-L"",""note"":""Cyanocobalamin (60co) is the 60Co labelled form of Cyanocobalamin (57co)."",""origin"":""suspected-nominal:cyanocobalamin"",""relation"":""isotopologue_of"",""skeleton"":""FDJOLVPMNUYSCM""}"
K3:CHEMBL5314650,K4:technetium tc 99m labeled carbon,R5-SAME-NAME-NO-STRUCTURE,review,"{""a"":""TECHNETIUM TC-99M LABELED CARBON"",""b"":""Technetium Tc-99m Labeled Carbon"",""normalised"":""technetium tc 99m labeled carbon"",""origin"":""suspected-nominal:technetium tc 99m labeled carbon""}"
K1:4VON5FNS3C,K1:65OE787Q7W,UNRESOLVED,remainder,"{""a"":""SODIUM METABISULFITE"",""b"":""POTASSIUM METABISULFITE"",""gsrs_relationship"":null,""origin"":""suspected-nominal:metabisulfite""}"
K1:4WG8U28833,K1:V1V998DC17,UNRESOLVED,remainder,"{""a"":""Garlic Oil"",""b"":""Garlic"",""gsrs_relationship"":null,""origin"":""suspected-nominal:garlic""}"
K1:BO9LE4QFZF,K1:X4PT8NAI8E,UNRESOLVED,remainder,"{""a"":""Stavudine"",""b"":""Stavudine Glucuronide"",""gsrs_relationship"":null,""origin"":""suspected-nominal:stavudine""}"
K1:3U979E1001,K1:UT2BA2O3KN,UNRESOLVED,remainder,"{""a"":""Imciromab Pentetate"",""b"":""Imciromab"",""gsrs_relationship"":null,""origin"":""suspected-nominal:imciromab""}"
K1:9I50C3I3OK,K1:SV0CSG527L,EXCEPTION-ESTER,keep_separate,"{""a"":""FLUOROMETHOLONE ACETATE"",""b"":""Fluorometholone"",""origin"":""suspected-nominal:fluorometholone"",""reason"":""FLUOROMETHOLONE ACETATE is a covalent ester of Fluorometholone; \u00a73.2 keeps an ester on its own page.""}"
HOLD:existing:dromostanolone,K1:7DR7H00HDT,CONFLICT-UNII-VS-STRUCTURE,remainder,"{""a"":""Dromostanolone"",""b"":""DROMOSTANOLONE"",""inchikey_a"":""NOTIQUSPUUHHEH-UXOVVSIBSA-N"",""inchikey_b"":""IKXILDNPCZPPRV-RFMGOVQKSA-N"",""origin"":""suspected-nominal:dromostanolone"",""unii"":""7DR7H00HDT""}"
K1:5GMR90S4KN,K1:X4W7ZR7023,R9-GSRS-ACTIVE-MOIETY,keep_separate,"{""a"":""Methylprednisolone Hemisuccinate"",""b"":""Methylprednisolone"",""origin"":""suspected-nominal:methylprednisolone"",""relationship"":""target_is_active_moiety""}"
K1:43502P7F0P,K1:X4W7ZR7023,EXCEPTION-ESTER,keep_separate,"{""a"":""METHYLPREDNISOLONE ACETATE"",""b"":""Methylprednisolone"",""origin"":""suspected-nominal:methylprednisolone"",""reason"":""METHYLPREDNISOLONE ACETATE is a covalent ester of Methylprednisolone; \u00a73.2 keeps an ester on its own page.""}"
K1:EM5OCB9YJ6,K1:G819A456D0,EXCEPTION-ESTER,keep_separate,"{""a"":""Abiraterone Acetate"",""b"":""Abiraterone"",""origin"":""suspected-nominal:abiraterone"",""reason"":""Abiraterone Acetate is a covalent ester of Abiraterone; \u00a73.2 keeps an ester on its own page.""}"
K1:3U02EL437C,K1:EH6D7113I8,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Clindamycin"",""b"":""Clindamycin Phosphate"",""normalised"":""clindamycin"",""origin"":""suspected-nominal:clindamycin"",""skeleton_a"":""KDLRVYVGXIQJDK"",""skeleton_b"":""UFUVLHLTWXBHGZ""}"
K1:9B44647H2S,K1:Y41JS2NL6U,UNRESOLVED,remainder,"{""a"":""O-(DESISOPROPYL) Bisoprolol Acid"",""b"":""Bisoprolol"",""gsrs_relationship"":null,""origin"":""suspected-nominal:bisoprolol""}"
K1:FM5526K07A,K1:J41CSQ7QDS,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Zinc Acetate"",""b"":""Zinc"",""origin"":""suspected-nominal:zinc"",""reason"":""Zinc Acetate and Zinc carry different metal centres (none against Zn).""}"
K1:H2ZEY72PME,K1:J41CSQ7QDS,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""ZINC ACETATE ANHYDROUS"",""b"":""Zinc"",""origin"":""suspected-nominal:zinc"",""reason"":""ZINC ACETATE ANHYDROUS and Zinc carry different metal centres (none against Zn).""}"
K1:J41CSQ7QDS,K1:K72I3DEX9B,EXCEPTION-METAL-COMPLEX,keep_separate,"{""a"":""Zinc"",""b"":""Zinc Citrate"",""origin"":""suspected-nominal:zinc"",""reason"":""Zinc and Zinc Citrate carry different metal centres (Zn against none).""}"
K1:89DS0H96TB,K1:J41CSQ7QDS,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Zinc Sulfate"",""b"":""Zinc"",""normalised"":""zinc"",""origin"":""suspected-nominal:zinc"",""skeleton_a"":""NWONKYPBYAMBJT"",""skeleton_b"":""HCHKCACWOHOZIP""}"
K1:2Y87E22X71,K1:WI4X0X7BPJ,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Hydrocortisone Phosphate"",""b"":""Hydrocortisone"",""normalised"":""hydrocortisone"",""origin"":""suspected-nominal:hydrocortisone"",""skeleton_a"":""BGSOJVFOEQLVMH"",""skeleton_b"":""JYGXADMDTFJGBT""}"
K1:IHV1VP592V,K1:WI4X0X7BPJ,R9-GSRS-ACTIVE-MOIETY,keep_separate,"{""a"":""Hydrocortisone Hemisuccinate Anhydrous"",""b"":""Hydrocortisone"",""origin"":""suspected-nominal:hydrocortisone"",""relationship"":""target_is_active_moiety""}"
K1:3X7931PO74,K1:WI4X0X7BPJ,EXCEPTION-ESTER,keep_separate,"{""a"":""HYDROCORTISONE ACETATE"",""b"":""Hydrocortisone"",""origin"":""suspected-nominal:hydrocortisone"",""reason"":""HYDROCORTISONE ACETATE is a covalent ester of Hydrocortisone; \u00a73.2 keeps an ester on its own page.""}"
K1:0867I0N41V,K1:185QAE24TR,UNRESOLVED,remainder,"{""a"":""TOCOTRIENOL"",""b"":""GAMMA-TOCOTRIENOL"",""gsrs_relationship"":null,""origin"":""suspected-nominal:tocotrienol""}"
K1:5UTX5635HP,K1:LGX9OL562T,R6-GSRS-SALT-UNCONFIRMED,remainder,"{""a"":""Oxyquinoline"",""b"":""INDIUM IN 111 OXYQUINOLINE"",""origin"":""suspected-nominal:indium in 111 oxyquinoline"",""relationship"":""target_is_salt""}"
K1:C2A5X08042,K1:LV23B78IJC,EXCEPTION-ISOTOPOLOGUE,keep_separate,"{""a"":""IOFETAMINE"",""b"":""Iofetamine (123i)"",""origin"":""suspected-nominal:iofetamine"",""reason"":""IOFETAMINE and Iofetamine (123i) differ in their isotopic layer; \u00a73.8 keeps isotopologues separate.""}"
K1:2855UV552L,K1:NV1779205D,UNRESOLVED,remainder,"{""a"":""2-OCTANOL, (2S)-"",""b"":""Caprylic Alcohol"",""gsrs_relationship"":null,""origin"":""suspected-nominal:octanol""}"
K1:M089EFU921,K2:CZGUSIXMZVURDU-JZXHSEFVSA-N,R2-SAME-STRUCTURE-DIFFERENT-UNII,keep_separate,"{""a"":""Angiotensin II"",""b"":""Angiotensin ii"",""inchikey"":""CZGUSIXMZVURDU-JZXHSEFVSA-N"",""origin"":""suspected-nominal:angiotensin ii"",""unii_a"":""M089EFU921"",""unii_b"":""31L3HS630A""}"
K1:M089EFU921,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,CONFLICT-UNII-VS-STRUCTURE,remainder,"{""a"":""Angiotensin II"",""b"":""ANGIOTENSIN-II"",""inchikey_a"":""CZGUSIXMZVURDU-JZXHSEFVSA-N"",""inchikey_b"":""CUKWUWBLQQDQAC-VEQWQPCFSA-N"",""origin"":""suspected-nominal:angiotensin ii"",""unii"":""M089EFU921""}"
K1:Y52BK1W96C,K2:JBUKJLNBQDQXLI-UHFFFAOYSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Sodium Perborate"",""b"":""SODIUM PERBORATE"",""normalised"":""sodium perborate"",""origin"":""suspected-nominal:perborate"",""skeleton_a"":""YKLJGMBLPUQQOI"",""skeleton_b"":""JBUKJLNBQDQXLI""}"
K1:5A9KE2L9L3,K1:5EVU04N5QU,UNRESOLVED,remainder,"{""a"":""Orange Juice"",""b"":""Orange"",""gsrs_relationship"":null,""origin"":""suspected-nominal:orange""}"
K1:M4F288ZCTR,K2:ZFGMDIBRIDKWMY-PASTXAENSA-N,UNRESOLVED,remainder,"{""a"":""HEPARIN CALCIUM"",""b"":""SODIUM HEPARIN"",""gsrs_relationship"":null,""origin"":""suspected-nominal:heparin""}"
K1:M4F288ZCTR,K1:ZZ45AB24CA,R5-SAME-NAME-NO-STRUCTURE,review,"{""a"":""HEPARIN CALCIUM"",""b"":""Heparin sodium"",""normalised"":""heparin"",""origin"":""suspected-nominal:heparin""}"
K1:26GW6E5M72,K1:M4F288ZCTR,UNRESOLVED,remainder,"{""a"":""Heparin (PORCINE; 7000 MW)"",""b"":""HEPARIN CALCIUM"",""gsrs_relationship"":null,""origin"":""suspected-nominal:heparin""}"
K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N,K4:glucosamine,R5-SAME-NAME-ONE-STRUCTURE,review,"{""a"":""Glucosamine"",""b"":""Glucosamine Potassium Sulfate"",""normalised"":""glucosamine"",""origin"":""suspected-nominal:glucosamine""}"
K1:1ZPG1ELY14,K1:BIU7Q7W2SH,R6-GSRS-SALT-UNCONFIRMED,remainder,"{""a"":""Rose Bengal Potassium"",""b"":""Rose Bengal Lactone"",""origin"":""suspected-nominal:rose bengal"",""relationship"":""target_is_parent""}"
K1:9081Y98W2V,K2:VXKHXGOKWPXYNA-PGBVPBMZSA-N,R2-SAME-STRUCTURE-DIFFERENT-UNII,keep_separate,"{""a"":""Triptorelin"",""b"":""Triptorelin"",""inchikey"":""VXKHXGOKWPXYNA-PGBVPBMZSA-N"",""origin"":""suspected-nominal:triptorelin"",""unii_a"":""9081Y98W2V"",""unii_b"":""08AN7WA2G0""}"
K1:43OFW291R9,K1:9081Y98W2V,EXCEPTION-ESTER,keep_separate,"{""a"":""TRIPTORELIN ACETATE"",""b"":""Triptorelin"",""origin"":""suspected-nominal:triptorelin"",""reason"":""TRIPTORELIN ACETATE is a covalent ester of Triptorelin; \u00a73.2 keeps an ester on its own page.""}"
K1:AQ86ZJ9U98,K4:chromic,R5-SAME-NAME-ONE-STRUCTURE,review,"{""a"":""Chromic Phosphate"",""b"":""Chromic"",""normalised"":""chromic"",""origin"":""suspected-nominal:chromic""}"
K1:AQ86ZJ9U98,K1:Y0C99N5TMZ,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Chromic Phosphate"",""b"":""Chromic Sulfate"",""normalised"":""chromic"",""origin"":""suspected-nominal:chromic"",""skeleton_a"":""IKZBVTPSNGOVRJ"",""skeleton_b"":""GRWVQDDAKZFPFI""}"
K3:CHEMBL1201652,K4:protein hydrolysate,R5-SAME-NAME-NO-STRUCTURE,review,"{""a"":""PROTEIN HYDROLYSATE"",""b"":""Protein Hydrolysate"",""normalised"":""protein hydrolysate"",""origin"":""suspected-nominal:protein hydrolysate""}"
K1:4GDQ854U53,K1:F7LG22FZCH,UNRESOLVED,remainder,"{""a"":""Elvitegravir"",""b"":""Elvitegravir Acyl Glucuronide"",""gsrs_relationship"":null,""origin"":""suspected-nominal:elvitegravir""}"
K1:B3FUD0528F,K2:GIPHUOWOTCAJSR-NCGAPWICSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Rebaudioside A"",""b"":""REBAUDIOSIDE A"",""normalised"":""rebaudioside a"",""origin"":""suspected-nominal:rebaudioside a"",""skeleton_a"":""HELXLJCILKEWJH"",""skeleton_b"":""GIPHUOWOTCAJSR""}"
K1:T58MSI464G,K2:XUFXOAAUWZOOIT-UGEKTDRHSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Acarbose"",""b"":""Acarbose"",""normalised"":""acarbose"",""origin"":""suspected-nominal:acarbose"",""skeleton_a"":""CEMXHAPUFJOOSV"",""skeleton_b"":""XUFXOAAUWZOOIT""}"
K1:35LT29625A,K1:MUZ9585Y7B,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Estramustine"",""b"":""Estramustine Phosphate"",""normalised"":""estramustine"",""origin"":""suspected-nominal:estramustine"",""skeleton_a"":""FRPJXPJMRWBBIH"",""skeleton_b"":""ADFOJJHRTBFFOF""}"
K3:CHEMBL2108492,K3:CHEMBL2108493,UNRESOLVED,remainder,"{""a"":""Insulin zinc suspension (crystalline)"",""b"":""Insulin zinc suspension (amorphous)"",""gsrs_relationship"":null,""origin"":""suspected-nominal:insulin zinc""}"
K1:I8LHQ0D645,K1:V5LWP0C2L5,UNRESOLVED,remainder,"{""a"":""Dextran 1"",""b"":""Dextran Sulfate Sodium (5000 MW)"",""gsrs_relationship"":null,""origin"":""suspected-nominal:dextran""}"
K1:I8LHQ0D645,K1:L3L3XYP7MP,UNRESOLVED,remainder,"{""a"":""Dextran 1"",""b"":""Isomaltotriose"",""gsrs_relationship"":null,""origin"":""suspected-nominal:dextran""}"
K1:53PF01Q249,K1:HPN91K7FU3,R9-GSRS-ACTIVE-MOIETY,keep_separate,"{""a"":""Clofibric Acid"",""b"":""Clofibrate"",""origin"":""suspected-nominal:clofibrate"",""relationship"":""target_is_active_moiety""}"
K1:XQG9Q75WDN,K2:GTZAZEAHZZCTRB-UHFFFAOYSA-N,UNRESOLVED,remainder,"{""a"":""SODIUM PENTABORATE"",""b"":""PENTABORATE"",""gsrs_relationship"":null,""origin"":""suspected-nominal:pentaborate""}"
K1:C857R7G2U6,K1:XQG9Q75WDN,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""SODIUM PENTABORATE PENTAHYDRATE"",""b"":""SODIUM PENTABORATE"",""normalised"":""sodium pentaborate"",""origin"":""suspected-nominal:pentaborate"",""skeleton_a"":""OFWMUVAXPPRZPE"",""skeleton_b"":""OLBJLOUJSZVXOT""}"
K1:7I64C51O16,K2:BPKIMPVREBSLAJ-QTBYCLKRSA-N,R1-IDENTICAL-UNII,merge,"{""a"":""Ziconotide"",""b"":""Ziconotide"",""origin"":""suspected-nominal:ziconotide"",""survivor"":""K1:7I64C51O16"",""unii"":""7I64C51O16"",""unii_source_a"":""page-key"",""unii_source_b"":""page-field""}"
K1:7I64C51O16,K1:T2I226K69M,EXCEPTION-ESTER,keep_separate,"{""a"":""Ziconotide"",""b"":""ZICONOTIDE ACETATE"",""origin"":""suspected-nominal:ziconotide"",""reason"":""ZICONOTIDE ACETATE is a covalent ester of Ziconotide; \u00a73.2 keeps an ester on its own page.""}"
K1:4KM2BN5JHF,K1:E61Q31EK2F,EXCEPTION-ESTER,keep_separate,"{""a"":""Cyproterone Acetate"",""b"":""CYPROTERONE"",""origin"":""suspected-nominal:cyproterone"",""reason"":""Cyproterone Acetate is a covalent ester of CYPROTERONE; \u00a73.2 keeps an ester on its own page.""}"
K1:6PG9VR430D,K2:REACBNMPQDINOF-YBBIQVIJSA-N,R4-SAME-NAME-DIFFERENT-SKELETON,disambiguate,"{""a"":""Nandrolone"",""b"":""Nandrolone"",""normalised"":""nandrolone"",""origin"":""suspected-nominal:nandrolone"",""skeleton_a"":""NPAGDVCDWIYMMC"",""skeleton_b"":""REACBNMPQDINOF""}"
