page_a,page_b,rule,action,evidence
K1:N20HL7Q941,K2:DSSYKIVIOFKYAU-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Camphor"",""b"":""CAMPHOR"",""inchikey_a"":""DSSYKIVIOFKYAU-XCBNKYQSSA-N"",""inchikey_b"":""DSSYKIVIOFKYAU-UHFFFAOYSA-N"",""note"":""Camphor (UNII N20HL7Q941) carries defined stereochemistry; CAMPHOR (UNII N20HL7Q941) is recorded without it."",""origin"":""suspected-structural:DSSYKIVIOFKYAU"",""relation"":""stereoisomer_of"",""skeleton"":""DSSYKIVIOFKYAU""}"
K1:213N3S8275,K1:N20HL7Q941,R3-SAME-SKELETON,form_of,"{""a"":""(-)-CAMPHOR"",""b"":""Camphor"",""inchikey_a"":""DSSYKIVIOFKYAU-OIBJUYFYSA-N"",""inchikey_b"":""DSSYKIVIOFKYAU-XCBNKYQSSA-N"",""note"":""(-)-CAMPHOR (UNII 213N3S8275) is the enantiomer of Camphor (UNII N20HL7Q941)."",""origin"":""suspected-structural:DSSYKIVIOFKYAU"",""relation"":""stereoisomer_of"",""skeleton"":""DSSYKIVIOFKYAU""}"
K1:F604ZKI910,K2:YQNFBOJPTAXAKV-OMCISZLKSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Ipodate"",""b"":""Sodium iopodate"",""inchikey_a"":""YQNFBOJPTAXAKV-UHFFFAOYSA-N"",""inchikey_b"":""YQNFBOJPTAXAKV-OMCISZLKSA-N"",""note"":""Sodium iopodate carries defined stereochemistry; Ipodate is recorded without it."",""origin"":""suspected-structural:YQNFBOJPTAXAKV"",""relation"":""stereoisomer_of"",""skeleton"":""YQNFBOJPTAXAKV""}"
K1:SM108QK2IH,K2:LQEBEXMHBLQMDB-GDJBGNAASA-N,R3-SAME-SKELETON,form_of,"{""a"":""Guanosine 5'-DIPHOSPHO-.BETA.-L-FUCOSE"",""b"":""CHEMBL1233001"",""inchikey_a"":""LQEBEXMHBLQMDB-JGQUBWHWSA-N"",""inchikey_b"":""LQEBEXMHBLQMDB-GDJBGNAASA-N"",""note"":""CHEMBL1233001 is a diastereomer of Guanosine 5'-DIPHOSPHO-.BETA.-L-FUCOSE."",""origin"":""suspected-structural:LQEBEXMHBLQMDB"",""relation"":""stereoisomer_of"",""skeleton"":""LQEBEXMHBLQMDB""}"
K1:72087NSY56,K1:7CUC9DDI9F,R3-SAME-SKELETON,form_of,"{""a"":""Ephedrine"",""b"":""Pseudoephedrine"",""inchikey_a"":""KWGRBVOPPLSCSI-PSASIEDQSA-N"",""inchikey_b"":""KWGRBVOPPLSCSI-WCBMZHEXSA-N"",""note"":""Pseudoephedrine is a diastereomer of Ephedrine."",""origin"":""suspected-structural:KWGRBVOPPLSCSI"",""relation"":""stereoisomer_of"",""skeleton"":""KWGRBVOPPLSCSI""}"
K1:72087NSY56,K2:KWGRBVOPPLSCSI-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Ephedrine"",""b"":""Racephedrine"",""inchikey_a"":""KWGRBVOPPLSCSI-PSASIEDQSA-N"",""inchikey_b"":""KWGRBVOPPLSCSI-UHFFFAOYSA-N"",""note"":""Ephedrine carries defined stereochemistry; Racephedrine is recorded without it."",""origin"":""suspected-structural:KWGRBVOPPLSCSI"",""relation"":""stereoisomer_of"",""skeleton"":""KWGRBVOPPLSCSI""}"
K1:72087NSY56,K1:GN83C131XS,R3-SAME-SKELETON,form_of,"{""a"":""Ephedrine"",""b"":""Ephedrine"",""inchikey_a"":""KWGRBVOPPLSCSI-PSASIEDQSA-N"",""inchikey_b"":""KWGRBVOPPLSCSI-WPRPVWTQSA-N"",""note"":""Ephedrine (UNII GN83C131XS) is the enantiomer of Ephedrine (UNII 72087NSY56)."",""origin"":""suspected-structural:KWGRBVOPPLSCSI"",""relation"":""stereoisomer_of"",""skeleton"":""KWGRBVOPPLSCSI""}"
K1:I43D0296P8,K2:KOHIRBRYDXPAMZ-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Nebivolol"",""b"":""Nebivolol"",""inchikey_a"":""KOHIRBRYDXPAMZ-YHBROIRLSA-N"",""inchikey_b"":""KOHIRBRYDXPAMZ-UHFFFAOYSA-N"",""note"":""Nebivolol (UNII I43D0296P8) carries defined stereochemistry; Nebivolol (structure KOHIRBRYDXPAMZ-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:KOHIRBRYDXPAMZ"",""relation"":""stereoisomer_of"",""skeleton"":""KOHIRBRYDXPAMZ""}"
K1:3OWL53L36A,K1:JDN69ZV6XV,R3-SAME-SKELETON,form_of,"{""a"":""Cordycepic Acid"",""b"":""Alexitol sodium"",""inchikey_a"":""FBPFZTCFMRRESA-KVTDHHQDSA-N"",""inchikey_b"":""FBPFZTCFMRRESA-UHFFFAOYSA-N"",""note"":""Cordycepic Acid carries defined stereochemistry; Alexitol sodium is recorded without it."",""origin"":""suspected-structural:FBPFZTCFMRRESA"",""relation"":""stereoisomer_of"",""skeleton"":""FBPFZTCFMRRESA""}"
K1:3OWL53L36A,K1:506T60A25R,R3-SAME-SKELETON,form_of,"{""a"":""Cordycepic Acid"",""b"":""Sorbitol"",""inchikey_a"":""FBPFZTCFMRRESA-KVTDHHQDSA-N"",""inchikey_b"":""FBPFZTCFMRRESA-JGWLITMVSA-N"",""note"":""Sorbitol is a diastereomer of Cordycepic Acid."",""origin"":""suspected-structural:FBPFZTCFMRRESA"",""relation"":""stereoisomer_of"",""skeleton"":""FBPFZTCFMRRESA""}"
