source_string,pages,example_page,seen_in,rendered_as
Portugal,4,K1:23ZW4BG89C,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Sri Lanka,4,K1:24H4NWX5CO,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Jamaica,4,K1:27B90X776A,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Cuba,4,K1:34237V843T,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Hungary,4,K1:43VU4207NW,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Panama,4,K1:7V31YC746X,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Lithuania,4,K1:E35R3G56OV,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
6 Asian countries,4,K1:GN5P7K3T8S,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Hong Kong,4,"COMBO:{K1:8W8T17847W,K1:R16CO5Y76E}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Ethiopia,3,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
14 Asian countries,3,K1:01704YP3MO,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Bulgaria,3,K1:27B90X776A,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Cyprus,3,K1:6U94N2D00F,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Finland,3,K1:6U94N2D00F,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
3 African countries,3,K1:GN5P7K3T8S,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
6 European countries,3,K1:GN5P7K3T8S,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Ger,2,"COMBO:{K1:1J444QC288,K1:80M03YXJ7I}",fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
10 European countries,2,K1:01704YP3MO,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
4 African countries,2,K1:01704YP3MO,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Argentina,2,K1:1NY2IX043A,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Vietnam,2,K1:27T1I13L6G,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Lebanon,2,K1:3ZZ5BJ9F2Q,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
South Korea,2,K1:3ZZ5BJ9F2Q,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Iceland,2,K1:4E72PH61HL,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Libya,2,K1:73312P173G,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Mexico,2,K1:73312P173G,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Bahrain,2,K1:OED8FV75PY,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Iran,1,K1:15XQ8043FN,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Ghana,1,K1:1P7H87IN75,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
China,1,K1:458VC51857,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Jordan,1,K1:458VC51857,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Chad,1,K1:5L7E7IY5EH,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Yemen,1,K1:6QK969R2IF,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
GER,1,K1:7BA5G9Y06Q,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
OM,1,K1:7BA5G9Y06Q,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Colombia,1,K1:7CUC9DDI9F,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Tunisia,1,K1:883G6DMT63,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Guinea Bissau,1,K1:886U3H6UFF,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
11 Asian countries,1,K1:934T64RMNJ,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
9 European countries,1,K1:934T64RMNJ,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
and 5 African countries,1,K1:934T64RMNJ,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
16 European countries,1,K1:ER0CTH01H9,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
4 S. American countries,1,K1:ER0CTH01H9,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
5 African countries,1,K1:ER0CTH01H9,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
2 African countries,1,K1:F8VB5M810T,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
2 Australasian countries,1,K1:F8VB5M810T,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
8 Asian countries,1,K1:F8VB5M810T,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Portugal and Turkey,1,K1:F97OMS297F,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
USSR,1,K1:IWW5FV6NK2,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Korea,1,K1:R57ZHV85D4,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Brazil (reference to EMA),1,K1:S7064109UD,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
Sp,1,K1:TMZ3IBW2OW,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
4 Asian countries,1,K1:WV5EC51866,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
IT,1,K1:WV5EC51866,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
15 European countries,1,K1:DD5K7529CE,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
SP,1,K1:GVV4Z879SP,fields.regulatory.value.curatedMarketingStatusByJurisdiction,"Other registers, with this string verbatim"
