page_a,page_b,width,jaccard,indexable_a,indexable_b
autumn-crocus,magnolia,390,0.9647,false,false
autumn-crocus,melia,390,0.9647,false,false
autumn-crocus,melitidine,390,0.9647,false,false
autumn-crocus,mycozyme,390,0.9647,false,false
autumn-crocus,noni,390,0.9647,false,false
autumn-crocus,notopterygium,390,0.9647,false,false
autumn-crocus,phaseolamin,390,0.9647,false,false
autumn-crocus,tejocote,390,0.9647,false,false
autumn-crocus,turmerones,390,0.9647,false,false
autumn-crocus,vervain,390,0.9647,false,false
bidens-pilosa,celastrus,390,0.9647,false,false
bidens-pilosa,cyanostane,390,0.9647,false,false
bidens-pilosa,dragonhead,390,0.9647,false,false
bidens-pilosa,jaboticaba,390,0.9647,false,false
bidens-pilosa,lactalbumin,390,0.9647,false,false
bidens-pilosa,lucuma,390,0.9647,false,false
bidens-pilosa,magnolia,390,0.9647,false,false
bidens-pilosa,melia,390,0.9647,false,false
bidens-pilosa,melitidine,390,0.9647,false,false
bidens-pilosa,mycozyme,390,0.9647,false,false
bidens-pilosa,noni,390,0.9647,false,false
bidens-pilosa,notopterygium,390,0.9647,false,false
bidens-pilosa,phaseolamin,390,0.9647,false,false
bidens-pilosa,tejocote,390,0.9647,false,false
bidens-pilosa,turmerones,390,0.9647,false,false
bidens-pilosa,vervain,390,0.9647,false,false
blue-vervain,celastrus,390,0.9647,false,false
blue-vervain,cyanostane,390,0.9647,false,false
blue-vervain,dragonhead,390,0.9647,false,false
blue-vervain,jaboticaba,390,0.9647,false,false
blue-vervain,lactalbumin,390,0.9647,false,false
blue-vervain,lucuma,390,0.9647,false,false
blue-vervain,magnolia,390,0.9647,false,false
blue-vervain,melia,390,0.9647,false,false
blue-vervain,melitidine,390,0.9647,false,false
blue-vervain,mycozyme,390,0.9647,false,false
blue-vervain,noni,390,0.9647,false,false
blue-vervain,notopterygium,390,0.9647,false,false
blue-vervain,phaseolamin,390,0.9647,false,false
blue-vervain,tejocote,390,0.9647,false,false
blue-vervain,turmerones,390,0.9647,false,false
carrot-fiber,celastrus,390,0.9647,false,false
carrot-fiber,cyanostane,390,0.9647,false,false
carrot-fiber,dragonhead,390,0.9647,false,false
carrot-fiber,jaboticaba,390,0.9647,false,false
carrot-fiber,lactalbumin,390,0.9647,false,false
carrot-fiber,lucuma,390,0.9647,false,false
carrot-fiber,magnolia,390,0.9647,false,false
carrot-fiber,melia,390,0.9647,false,false
carrot-fiber,melitidine,390,0.9647,false,false
carrot-fiber,mycozyme,390,0.9647,false,false
carrot-fiber,noni,390,0.9647,false,false
carrot-fiber,notopterygium,390,0.9647,false,false
carrot-fiber,phaseolamin,390,0.9647,false,false
carrot-fiber,tejocote,390,0.9647,false,false
carrot-fiber,turmerones,390,0.9647,false,false
carrot-fiber,vervain,390,0.9647,false,false
celastrus,celrodendrum-indicum,390,0.9647,false,false
celastrus,corn-protein,390,0.9647,false,false
celastrus,date-palm,390,0.9647,false,false
celastrus,glutathione-peroxidase,390,0.9647,false,false
celastrus,honduran-sarsaparilla,390,0.9647,false,false
celastrus,magic-fruit,390,0.9647,false,false
celastrus,mountain-cranberry,390,0.9647,false,false
celastrus,paenibacillus-polymyxa,390,0.9647,false,false
celastrus,phellinus-linteus,390,0.9647,false,false
celastrus,piper-kadsura,390,0.9647,false,false
celastrus,scurfy-pea,390,0.9647,false,false
celastrus,tea-polyphenol,390,0.9647,false,false
