page_a,page_b,width,jaccard,indexable_a,indexable_b
actinidin,adrue,390,0.9913,false,false
actinidin,ampelopsis,390,0.9913,false,false
actinidin,brevibacillus,390,0.9913,false,false
actinidin,crustaceans,390,0.9913,false,false
actinidin,daylily,390,0.9913,false,false
actinidin,dragonhead,390,0.9913,false,false
actinidin,flavanones,390,0.9913,false,false
actinidin,goldthread,390,0.9913,false,false
actinidin,graviola,390,0.9913,false,false
actinidin,jicama,390,0.9913,false,false
actinidin,lithothamnion,390,0.9913,false,false
actinidin,ovary,390,0.9913,false,false
actinidin,oxidase,390,0.9913,false,false
actinidin,pluchea,390,0.9913,false,false
actinidin,prunus,390,0.9913,false,false
actinidin,psammosilene,390,0.9913,false,false
actinidin,pussywillow,390,0.9913,false,false
actinidin,shiitake,390,0.9913,false,false
actinidin,sicklepod,390,0.9913,false,false
actinidin,siler,390,0.9913,false,false
actinidin,terminalia,390,0.9913,false,false
actinidin,yam,390,0.9913,false,false
adrue,ampelopsis,390,0.9913,false,false
adrue,brevibacillus,390,0.9913,false,false
adrue,crustaceans,390,0.9913,false,false
adrue,daylily,390,0.9913,false,false
adrue,dragonhead,390,0.9913,false,false
adrue,flavanones,390,0.9913,false,false
adrue,goldthread,390,0.9913,false,false
adrue,graviola,390,0.9913,false,false
adrue,jicama,390,0.9913,false,false
adrue,lithothamnion,390,0.9913,false,false
adrue,ovary,390,0.9913,false,false
adrue,oxidase,390,0.9913,false,false
adrue,pluchea,390,0.9913,false,false
adrue,prunus,390,0.9913,false,false
adrue,psammosilene,390,0.9913,false,false
adrue,pussywillow,390,0.9913,false,false
adrue,shiitake,390,0.9913,false,false
adrue,sicklepod,390,0.9913,false,false
adrue,siler,390,0.9913,false,false
adrue,terminalia,390,0.9913,false,false
adrue,yam,390,0.9913,false,false
ampelopsis,brevibacillus,390,0.9913,false,false
ampelopsis,crustaceans,390,0.9913,false,false
ampelopsis,daylily,390,0.9913,false,false
ampelopsis,dragonhead,390,0.9913,false,false
ampelopsis,flavanones,390,0.9913,false,false
ampelopsis,goldthread,390,0.9913,false,false
ampelopsis,graviola,390,0.9913,false,false
ampelopsis,jicama,390,0.9913,false,false
ampelopsis,lithothamnion,390,0.9913,false,false
ampelopsis,ovary,390,0.9913,false,false
ampelopsis,oxidase,390,0.9913,false,false
ampelopsis,pluchea,390,0.9913,false,false
ampelopsis,prunus,390,0.9913,false,false
ampelopsis,psammosilene,390,0.9913,false,false
ampelopsis,pussywillow,390,0.9913,false,false
ampelopsis,shiitake,390,0.9913,false,false
ampelopsis,sicklepod,390,0.9913,false,false
ampelopsis,siler,390,0.9913,false,false
ampelopsis,terminalia,390,0.9913,false,false
ampelopsis,yam,390,0.9913,false,false
brevibacillus,crustaceans,390,0.9913,false,false
brevibacillus,daylily,390,0.9913,false,false
brevibacillus,dragonhead,390,0.9913,false,false
brevibacillus,flavanones,390,0.9913,false,false
brevibacillus,goldthread,390,0.9913,false,false
brevibacillus,graviola,390,0.9913,false,false
brevibacillus,jicama,390,0.9913,false,false
brevibacillus,lithothamnion,390,0.9913,false,false
brevibacillus,ovary,390,0.9913,false,false
brevibacillus,oxidase,390,0.9913,false,false
brevibacillus,pluchea,390,0.9913,false,false
brevibacillus,prunus,390,0.9913,false,false
brevibacillus,psammosilene,390,0.9913,false,false
brevibacillus,pussywillow,390,0.9913,false,false
brevibacillus,shiitake,390,0.9913,false,false
