key,tier,displayName,has_unii,has_inchikey,is_combination
COMBO:NAME:rhamphospermum arvense flowering fruiting top,3,Rhamphospermum Arvense Flowering/Fruiting Top,True,False,True
COMBO:NAME:rubella virus strain wistar ra 27 3 live antigen,2,Rubella Virus Strain Wistar Ra 27/3 Live Antigen,True,False,True
COMBO:NAME:scrophularia nodosa leaf with stem,3,Scrophularia Nodosa Leaf with Stem,True,False,True
COMBO:NAME:sennosides a and b,2,Sennosides A and B,True,False,True
COMBO:NAME:sinapis arvensis flowering fruiting top,2,Sinapis Arvensis Flowering/Fruiting Top,True,False,True
COMBO:NAME:svn53 67 m57 klh peptide vaccine,3,SVN53-67/M57-KLH PEPTIDE VACCINE,True,False,True
COMBO:NAME:technetium tc 99m pyro trimeta phosphates kit,1,Technetium Tc-99m Pyro/Trimeta Phosphates Kit,True,False,True
COMBO:NAME:trimethylsilyl treated dimethiconol trimethylsiloxysilicate crosspolymer 35 65 w w,3,Trimethylsilyl Treated Dimethiconol/Trimethylsiloxysilicate Crosspolymer (35/65 W/W,False,False,True
COMBO:NAME:valeriana officinalis rhizome root,3,Valeriana Officinalis Rhizome/Root,True,False,True
COMBO:NAME:varicella zoster virus strain oka merck live antigen,3,Varicella-Zoster Virus Strain Oka/Merck Live Antigen,True,False,True
"COMBO:{K1:2WTB3V159F,K1:F0R1QK73KB}",2,CYANOCOBALAMIN CO 58,True,True,True
"COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N}",2,Linagliptin and Metformin,False,False,True
"COMBO:{K1:4071IF7E93,K1:OP0UW79H66}",1,Methylcobalamin,True,True,True
"COMBO:{K1:PQ3P6082I5,K1:Z61I075U2W}",3,PENIMEPICYCLINE,True,True,True
K1:0005633KTU,3,Symphyotrichum Oblongifolium Whole,True,False,False
K1:000705ZASD,3,Adecatumumab,True,False,False
K1:0008D0X3XI,3,Plantago Australis Whole,True,False,False
K1:0022LFJ74Y,3,Taraxacum Officinale Leaf,True,False,False
K1:003ABL14YC,3,Blue Tilapia Whole,True,False,False
