page_a,page_b,width,jaccard,indexable_a,indexable_b,set_a,set_b
acacia-fiber,soy-fiber,390,0.9765,false,false,noindex-sample,noindex-sample
arugula,aspergillopepsin,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,emulsifer,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,glyceride,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,iporuru,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,longan,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,savory,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
arugula,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,emulsifer,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,glyceride,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,iporuru,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,longan,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,savory,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
aspergillopepsin,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,glyceride,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,iporuru,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,longan,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,savory,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
emulsifer,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,iporuru,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,longan,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,savory,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
glyceride,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,longan,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,savory,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
iporuru,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
longan,oroxylum,390,0.9762,false,false,noindex-sample,noindex-sample
longan,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
longan,savory,390,0.9762,false,false,noindex-sample,noindex-sample
longan,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
longan,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
longan,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
oroxylum,porphyra,390,0.9762,false,false,noindex-sample,noindex-sample
oroxylum,savory,390,0.9762,false,false,noindex-sample,noindex-sample
oroxylum,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
oroxylum,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
oroxylum,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
porphyra,savory,390,0.9762,false,false,noindex-sample,noindex-sample
porphyra,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
porphyra,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
porphyra,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
savory,semiaquilegia,390,0.9762,false,false,noindex-sample,noindex-sample
savory,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
savory,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
semiaquilegia,thiosulfanate,390,0.9762,false,false,noindex-sample,noindex-sample
semiaquilegia,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
thiosulfanate,yarrow,390,0.9762,false,false,noindex-sample,noindex-sample
acacia-fiber,arugula,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,aspergillopepsin,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,emulsifer,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,glyceride,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,iporuru,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,longan,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,oroxylum,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,porphyra,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,savory,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,semiaquilegia,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,thiosulfanate,390,0.9647,false,false,noindex-sample,noindex-sample
acacia-fiber,yarrow,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,arugula,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,aspergillopepsin,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,emulsifer,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,glyceride,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,iporuru,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,longan,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,oroxylum,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,porphyra,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,savory,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,semiaquilegia,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,thiosulfanate,390,0.9647,false,false,noindex-sample,noindex-sample
alchornea-cordifolia,yarrow,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,asian-bayberry,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,asparagus-adscendens,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,bitter-grass,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,chinese-chastetree,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,chinese-chive,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,commiphora-gileadensis,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,convolvulus-pluricaulis,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,flueggea-suffruticosa,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,hedychium-spicatum,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,indian-kinotree,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,iridoid-glycosides,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,isoleucine-pyroglutamate,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,mezoneuron-benthamianum,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,montanoa-tomentosa,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,paris-polyphylla,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,polyporous-mushroom,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,pumpkin-protein,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,rhodiola-sacra,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,scabrous-gentian,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,short-buchu,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,soy-fiber,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,teri-pod,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,uncaria-sinensis,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,white-fig,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,white-poplar,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,willow-bracket,390,0.9647,false,false,noindex-sample,noindex-sample
arugula,yerba-mansa,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,aspergillopepsin,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,emulsifer,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,glyceride,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,iporuru,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,longan,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,oroxylum,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,porphyra,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,savory,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,semiaquilegia,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,thiosulfanate,390,0.9647,false,false,noindex-sample,noindex-sample
asian-bayberry,yarrow,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,aspergillopepsin,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,emulsifer,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,glyceride,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,iporuru,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,longan,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,oroxylum,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,porphyra,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,savory,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,semiaquilegia,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,thiosulfanate,390,0.9647,false,false,noindex-sample,noindex-sample
asparagus-adscendens,yarrow,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,bitter-grass,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,chinese-chastetree,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,chinese-chive,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,commiphora-gileadensis,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,convolvulus-pluricaulis,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,flueggea-suffruticosa,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,hedychium-spicatum,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,indian-kinotree,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,iridoid-glycosides,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,isoleucine-pyroglutamate,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,mezoneuron-benthamianum,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,montanoa-tomentosa,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,paris-polyphylla,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,polyporous-mushroom,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,pumpkin-protein,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,rhodiola-sacra,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,scabrous-gentian,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,short-buchu,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,soy-fiber,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,teri-pod,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,uncaria-sinensis,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,white-fig,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,white-poplar,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,willow-bracket,390,0.9647,false,false,noindex-sample,noindex-sample
aspergillopepsin,yerba-mansa,390,0.9647,false,false,noindex-sample,noindex-sample
bitter-grass,emulsifer,390,0.9647,false,false,noindex-sample,noindex-sample
bitter-grass,glyceride,390,0.9647,false,false,noindex-sample,noindex-sample
bitter-grass,iporuru,390,0.9647,false,false,noindex-sample,noindex-sample
bitter-grass,longan,390,0.9647,false,false,noindex-sample,noindex-sample
