key,tier,displayName,normalised_name,unii_held_by_corpus,pubchem_cid,pubchem_inchikey,cids_returned_for_name,corpus_cid,corpus_cid_agrees,confirmation
K3:CHEMBL3545208,3,AZD3161,azd3161,,56945146,LRHQXIQLHVPUNA-INIZCTEOSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545221,3,AZD2423,azd2423,,46213922,SRWQVWAIVQXPJY-QGZVFWFLSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545225,3,INCB-047986,incb 047986,,67391950,QFPGZAJRDFHPCE-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545238,3,CS-8080,cs 8080,,16212738,ZQSBJPAQPRVNHU-UHFFFAOYSA-M,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545248,1,DS-7423,ds 7423,,45378170,SOJJMSYMCLIQCZ-CYBMUJFWSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545268,3,MLN3126,mln3126,,58119034,YSCNTJOPTXIIJO-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545298,3,AZD-6918,azd 6918,,11567474,QRAQXWWNHQMCBH-LBPRGKRZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545334,3,AVE8134,ave8134,,11625114,WLHOBCUVPMOXAT-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545386,3,BI113823,bi113823,,89872076,TXYHKRIVGVHWKH-PEADMDKFSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545400,3,SAR-103168,sar 103168,,11990811,UARVFMMJGJJSNR-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545406,3,LY2940094,ly2940094,,52914971,NKQHBJNRBKHUQR-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545411,3,MF101,mf101,,114829,FURUXTVZLHCCNA-AWEZNQCLSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545427,3,CM-082,cm 082,,59215954,KMIOJWCYOHBUJS-HAKPAVFJSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3707319,3,GRC-15300,grc 15300,,44247573,AQYDUQPBWUAJJS-FMIVXFBMSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL4650289,3,KBP5209,kbp5209,,56933206,KJBZQIKLKWQVLL-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL5314679,3,Fequesetide,fequesetide,,10169788,LVLWJWXFRFTMLK-JMWNXRNDSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL5482975,3,CEPHALOSPORIN,cephalosporin,,25058126,JGKXEMYIHDYWCZ-JFUSQASVSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:11 hydroxy yohimbine,3,11-Hydroxy Yohimbine,11 hydroxy yohimbine,,183814,MIUYYRGOYGWVDO-JHZUCGOESA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:alanyl glutamine,3,L-Alanyl-Glutamine,alanyl glutamine,,123935,HJCMDXDYPOUFDY-WHFBIAKZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:arginine l malate,3,Arginine-L-Malate,arginine l,,6322,ODKSFYDXXFIFQN-BYPYZUCNSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:arginine orotate,3,Arginine Orotate,arginine,,232,ODKSFYDXXFIFQN-UHFFFAOYSA-N,3,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:cobaltous,2,Cobaltous,cobaltous,,76829,MPMSMUBQXQALQI-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:creatine gluconate,1,Creatine Gluconate,creatine,,586,CVSVTCORWBXHQV-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:ferric ammonium,1,Ferric Ammonium,ferric,,16048613,NGILTSZTOFYVBF-UVJOBNTFSA-H,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:glucanase,3,Beta Glucanase,beta glucanase,,168010017,XVHVKHSSRLTQHH-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:glucans,3,Beta Glucans,beta glucans,,439262,FYGDTMLNYKFZSV-URKRLVJHSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:glucosamine,1,Glucosamine Potassium Sulfate,glucosamine,,439213,MSWZFWKMSRAUBD-IVMDWMLBSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:glutamine nitrate,1,Glutamine Nitrate,glutamine,,738,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:irbesartan hydrochlorothiazide,2,Irbesartan: Hydrochlorothiazide,irbesartan hydrochlorothiazide,,9831761,NZPSYYOURGWZCM-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:lignan,3,Lignan,lignan,,261166,PEIBIXYUYBVLDS-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:lignans,3,Lignans,lignans,,443013,YJGVMLPVUAXIQN-BCVBHCCTSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:lignin,3,Lignin,lignin,,175586,RLLNZXVKBYGKIP-UHFFFAOYSA-L,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:lysophosphatidylcholine,3,Lysophosphatidylcholine,lysophosphatidylcholine,,5311264,RYCNUMLMNKHWPZ-SNVBAGLBSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:madder,3,Madder,madder,,6293,RGCKGOZRHPZPFP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:magnesium beta hydroxybutyrate,3,Magnesium Beta-Hydroxybutyrate,magnesium beta hydroxybutyrate,,140660577,ZIMQIJFHENOQDO-UHFFFAOYSA-L,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:magnesium taurinate,3,Magnesium Taurinate,magnesium taurinate,,71677805,UUZKKIIQTDKBQJ-UHFFFAOYSA-L,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:malt diastase,3,Malt Diastase,malt diastase,,71475145,YMXBQIIPWIMAQE-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:manganese malate,3,Manganese Malate,manganese,,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:margaroleic acid,3,Margaroleic Acid,margaroleic acid,,5282748,QSBYPNXLFMSGKH-HJWRWDBZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:marjoram,3,Marjoram,marjoram,,18818,NDVASEGYNIMXJL-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:methylxanthine,3,Methylxanthine,methylxanthine,,80220,MVOYJPOZRLFTCP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:monogalactosyl diglyceride,3,Monogalactosyl Diglyceride,monogalactosyl diglyceride,,193820,DCLTVZLYPPIIID-XMGVTQGESA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:n acetyl methionine,3,N-Acetyl Methionine,n acetyl methionine,,6180,XUYPXLNMDZIRQH-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:n methyl aspartic acid,3,N-Methyl-Aspartic Acid,n methyl aspartic acid,,22880,HOKKHZGPKSLGJE-GSVOUGTGSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:rebaudioside,3,Rebaudioside,rebaudioside,,92023627,BSVKOVOOJNJHBR-PBQKZBBNSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:saponins,2,Saponins,saponins,,6540709,AXNVHPCVMSNXNP-ZELRDNAQSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:schizandrol a,3,Schizandrol A,schizandrol a,,151529,UFCGDBKFOKKVAC-DSASHONVSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:secoisolariciresinol diglycoside,3,Secoisolariciresinol-Diglycoside,secoisolariciresinol diglycoside,,9917980,SBVBJPHMDABKJV-PGCJWIIOSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:sequoiaflavone,3,Sequoiaflavone,sequoiaflavone,,5484010,TYUMAYSMJLPFAN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:skin,3,Skin,skin,,936,DFPAKSUCGFBDDF-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:tannin,3,Tannin,tannin,,452707,RNKMOGIPOMVCHO-SJMVAQJGSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:trisodium,1,Anhydrous Trisodium,anhydrous,,6435808,GFFXZLZWLOBBLO-ASKVSEFXSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K4:vitamin k2 mk 7,3,Vitamin K2 MK-7,vitamin k2 mk 7,,5287554,RAKQPZMEYJZGPI-LJWNYQGCSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
UNKEYED:existing:calcium-potassium-phosphate-citrate,3,Calcium Potassium Phosphate Citrate,calcium,,5460341,OYPRJOBELJOOCE-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
