page_a,page_b,width,jaccard,indexable_a,indexable_b
ashitaba,benzenoid,390,0.9913,false,false
ashitaba,caralluma,390,0.9913,false,false
ashitaba,catauba,390,0.9913,false,false
ashitaba,cynanchum,390,0.9913,false,false
ashitaba,diindolylymethane,390,0.9913,false,false
ashitaba,diterpene,390,0.9913,false,false
ashitaba,fenuside,390,0.9913,false,false
ashitaba,loranthus,390,0.9913,false,false
ashitaba,lysophosphtidylcholine,390,0.9913,false,false
ashitaba,macamides,390,0.9913,false,false
ashitaba,marshmallow,390,0.9913,false,false
ashitaba,morinda,390,0.9913,false,false
ashitaba,nandina,390,0.9913,false,false
ashitaba,peptidase,390,0.9913,false,false
ashitaba,pig,390,0.9913,false,false
ashitaba,schisandrins,390,0.9913,false,false
ashitaba,trichosanthes,390,0.9913,false,false
ashitaba,uncaria,390,0.9913,false,false
benzenoid,caralluma,390,0.9913,false,false
benzenoid,catauba,390,0.9913,false,false
benzenoid,cynanchum,390,0.9913,false,false
benzenoid,diindolylymethane,390,0.9913,false,false
benzenoid,diterpene,390,0.9913,false,false
benzenoid,fenuside,390,0.9913,false,false
benzenoid,loranthus,390,0.9913,false,false
benzenoid,lysophosphtidylcholine,390,0.9913,false,false
benzenoid,macamides,390,0.9913,false,false
benzenoid,marshmallow,390,0.9913,false,false
benzenoid,morinda,390,0.9913,false,false
benzenoid,nandina,390,0.9913,false,false
benzenoid,peptidase,390,0.9913,false,false
benzenoid,pig,390,0.9913,false,false
benzenoid,schisandrins,390,0.9913,false,false
benzenoid,trichosanthes,390,0.9913,false,false
benzenoid,uncaria,390,0.9913,false,false
caralluma,catauba,390,0.9913,false,false
caralluma,cynanchum,390,0.9913,false,false
caralluma,diindolylymethane,390,0.9913,false,false
caralluma,diterpene,390,0.9913,false,false
caralluma,fenuside,390,0.9913,false,false
caralluma,loranthus,390,0.9913,false,false
caralluma,lysophosphtidylcholine,390,0.9913,false,false
caralluma,macamides,390,0.9913,false,false
caralluma,marshmallow,390,0.9913,false,false
caralluma,morinda,390,0.9913,false,false
caralluma,nandina,390,0.9913,false,false
caralluma,peptidase,390,0.9913,false,false
caralluma,pig,390,0.9913,false,false
caralluma,schisandrins,390,0.9913,false,false
caralluma,trichosanthes,390,0.9913,false,false
caralluma,uncaria,390,0.9913,false,false
catauba,cynanchum,390,0.9913,false,false
catauba,diindolylymethane,390,0.9913,false,false
catauba,diterpene,390,0.9913,false,false
catauba,fenuside,390,0.9913,false,false
catauba,loranthus,390,0.9913,false,false
catauba,lysophosphtidylcholine,390,0.9913,false,false
catauba,macamides,390,0.9913,false,false
catauba,marshmallow,390,0.9913,false,false
catauba,morinda,390,0.9913,false,false
catauba,nandina,390,0.9913,false,false
catauba,peptidase,390,0.9913,false,false
catauba,pig,390,0.9913,false,false
catauba,schisandrins,390,0.9913,false,false
catauba,trichosanthes,390,0.9913,false,false
catauba,uncaria,390,0.9913,false,false
cynanchum,diindolylymethane,390,0.9913,false,false
cynanchum,diterpene,390,0.9913,false,false
cynanchum,fenuside,390,0.9913,false,false
cynanchum,loranthus,390,0.9913,false,false
cynanchum,lysophosphtidylcholine,390,0.9913,false,false
cynanchum,macamides,390,0.9913,false,false
cynanchum,marshmallow,390,0.9913,false,false
cynanchum,morinda,390,0.9913,false,false
