key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:3655633623,LITHIUM CITRATE ANHYDROUS,LITHIUM CITRATE ANHYDROUS (C6H5Li3O7),C6H5Li3O7,molecular formula,lithium,K1:5Z6E9K79YV
K1:5Z6E9K79YV,Lithium Citrate,Lithium Citrate (C6H13Li3O11),C6H13Li3O11,molecular formula,lithium,K1:3655633623
K1:6X9OC3H4II,Loperamide,Loperamide (Mu opioid receptor),Mu opioid receptor,Inxight primary target,loperamide,K1:NG66S4H2RL
K1:NG66S4H2RL,Loperamide oxide,Loperamide oxide (oxidation-reduction process),oxidation-reduction process,Inxight primary target,loperamide,K1:6X9OC3H4II
K1:23227F83U0,Lysine Aspartate,Lysine Aspartate (C10H21N3O6),C10H21N3O6,molecular formula,lysine,K1:K3Z4F929H6
K1:K3Z4F929H6,Lysine,Lysine (C6H14N2O2),C6H14N2O2,molecular formula,lysine,K1:23227F83U0
K1:0MFM55849I,MAGALDRATE ANHYDROUS,MAGALDRATE ANHYDROUS (H31Al5Mg10O39S2),H31Al5Mg10O39S2,molecular formula,magaldrate,K1:6V88E24N5T
K1:6V88E24N5T,Magaldrate,Magaldrate (H33Al5Mg10O40S2),H33Al5Mg10O40S2,molecular formula,magaldrate,K1:0MFM55849I
K1:02F3473H9O,Magnesium Chloride,Magnesium Chloride (structure DHRRIBDTHFBPNG),structure DHRRIBDTHFBPNG,InChIKey skeleton,magnesium,K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:3A3U0GI71G,Magnesium Oxide,Magnesium Oxide (structure AXZKOIWUVFPNLO),structure AXZKOIWUVFPNLO,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:41728CY7UX,Magnesium Salicylate,Magnesium Salicylate (structure NBQBEWAYWAMLJJ),structure NBQBEWAYWAMLJJ,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:4G1MLN2EKF,"MAGNESIUM LACTATE DIHYDRATE, L-","MAGNESIUM LACTATE DIHYDRATE, L- (structure KSHMINBVGAHXNS)",structure KSHMINBVGAHXNS,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:59XN63C8VM,MAGNESIUM CHLORIDE ANHYDROUS,MAGNESIUM CHLORIDE ANHYDROUS (structure TWRXJAOTZQYOKJ),structure TWRXJAOTZQYOKJ,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:5N014C7IWU,Magnesium Fluoride,Magnesium Fluoride (structure ORUIBWPALBXDOA),structure ORUIBWPALBXDOA,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:I38ZP9992A,Magnesium,Magnesium (structure FYYHWMGAXLPEAU),structure FYYHWMGAXLPEAU,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:JQ69D454N1,Magnesium Salicylate Anhydrous,Magnesium Salicylate Anhydrous (structure MQHWFIOJQSCFNM),structure MQHWFIOJQSCFNM,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:ML30MJ2U7I,Magnesium Sulfate Anhydrous,Magnesium Sulfate Anhydrous (structure CSNNHWWHGAXBCP),structure CSNNHWWHGAXBCP,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:NBZ3QY004S,Magnesium Hydroxide,Magnesium Hydroxide (structure VTHJTEIRLNZDEV),structure VTHJTEIRLNZDEV,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:PE152PYI6M,"MAGNESIUM LACTATE, L-","MAGNESIUM LACTATE, L- (structure OVGXLJDWSLQDRT)",structure OVGXLJDWSLQDRT,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K1:SK47B8698T,Magnesium Sulfate Heptahydrate,Magnesium Sulfate Heptahydrate (structure WRUGWIBCXHJTDG),structure WRUGWIBCXHJTDG,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N
K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,MAGNESIUM OXIDE,MAGNESIUM OXIDE (structure CPLXHLVBOLITMK),structure CPLXHLVBOLITMK,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T
K1:A1Y870209Z,"Magnesium Phosphate, Dibasic","Magnesium Phosphate, Dibasic (HMgO4P)",HMgO4P,molecular formula,magnesium phosphate dibasic,K1:HF539G9L3Q
K1:HF539G9L3Q,"Magnesium PHOSPHATE, Dibasic Trihydrate","Magnesium PHOSPHATE, Dibasic Trihydrate (H7MgO7P)",H7MgO7P,molecular formula,magnesium phosphate dibasic,K1:A1Y870209Z
K1:129FW80TG4,MANGAFODIPIR TRISODIUM,MANGAFODIPIR TRISODIUM (C22H27MnN4Na3O14P2),C22H27MnN4Na3O14P2,molecular formula,mangafodipir,K1:N02W67RKJS
K1:N02W67RKJS,Mangafodipir,Mangafodipir (C22H30MnN4O14P2),C22H30MnN4O14P2,molecular formula,mangafodipir,K1:129FW80TG4
K1:5Q9VVO3QCN,Manganese Iodide,Manganese Iodide (I2Mn),I2Mn,molecular formula,manganese,K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:6PH9331Y9Z,Manganese Lactate,Manganese Lactate (C6H10MnO6),C6H10MnO6,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:6YB4901Y90,MANGANESE CHLORIDE ANHYDROUS,MANGANESE CHLORIDE ANHYDROUS (Cl2Mn),Cl2Mn,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:7G09WJ8QIR,Manganese Gluconate Anhydrous,Manganese Gluconate Anhydrous (C12H22MnO14),C12H22MnO14,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:9ZV57512ZM,Manganese Carbonate,Manganese Carbonate (CMnO3),CMnO3,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:I389H78514,Manganese Nitrate,Manganese Nitrate (MnN2O6),MnN2O6,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:IGA15S9H40,MANGANESE SULFATE ANHYDROUS,MANGANESE SULFATE ANHYDROUS (MnO4S),MnO4S,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26
K1:QQE170PANO,Manganese Chloride,Manganese Chloride (H8Cl2MnO4),H8Cl2MnO4,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:U70U4T7N6S;K1:W00LYS4T26
K1:U70U4T7N6S,Manganese Bromide,Manganese Bromide (Br2Mn),Br2Mn,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:W00LYS4T26
K1:W00LYS4T26,Manganese Sulfate,Manganese Sulfate (H2MnO5S),H2MnO5S,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S
K1:4B135RK2KL,Manitimus,Manitimus (C15H11F3N2O2),C15H11F3N2O2,molecular formula,manitimus,K2:OQUXVPJVBSENGK-QXMHVHEDSA-N
K2:OQUXVPJVBSENGK-QXMHVHEDSA-N,Manitimus,Manitimus (C14H10F3N3O2),C14H10F3N3O2,molecular formula,manitimus,K1:4B135RK2KL
HOLD:existing:menadiol,Menadiol,Menadiol (UNII VQ093653DO),UNII VQ093653DO,FDA UNII,menadiol,K1:4TGB4HYC3M;K1:GRL65FEU3T
K1:4TGB4HYC3M,Menadiol Disulfate,Menadiol Disulfate (UNII 4TGB4HYC3M),UNII 4TGB4HYC3M,FDA UNII,menadiol,HOLD:existing:menadiol;K1:GRL65FEU3T
K1:GRL65FEU3T,Menadiol Diphosphate,Menadiol Diphosphate (UNII GRL65FEU3T),UNII GRL65FEU3T,FDA UNII,menadiol,HOLD:existing:menadiol;K1:4TGB4HYC3M
K1:53GH7MZT1R,Mercuric Chloride,Mercuric Chloride (Cl2Hg),Cl2Hg,molecular formula,mercuric,K1:IY191986AO;K1:R03O05RB0P
K1:IY191986AO,Mercuric Oxide,Mercuric Oxide (HgO),HgO,molecular formula,mercuric,K1:53GH7MZT1R;K1:R03O05RB0P
K1:R03O05RB0P,Mercuric Iodide,Mercuric Iodide (HgI2),HgI2,molecular formula,mercuric,K1:53GH7MZT1R;K1:IY191986AO
K1:HT0935F2JR,Mercurous Iodide,Mercurous Iodide (Hg2I2),Hg2I2,molecular formula,mercurous,K1:JSJ4936A2S
K1:JSJ4936A2S,Mercurous Bromide,Mercurous Bromide (Br2Hg2),Br2Hg2,molecular formula,mercurous,K1:HT0935F2JR
K1:9100L32L2N,Metformin,Metformin (C4H11N5),C4H11N5,molecular formula,metformin,K1:YEI21W005Y
K1:YEI21W005Y,Metformin glycinate,Metformin glycinate (C6H16N6O2),C6H16N6O2,molecular formula,metformin,K1:9100L32L2N
K1:0SPD480WFH,METHENOLONE ENANTHATE,METHENOLONE ENANTHATE (C27H42O3),C27H42O3,molecular formula,methenolone,K1:W75590VPKQ
K1:W75590VPKQ,Methenolone Acetate,Methenolone Acetate (C22H32O3),C22H32O3,molecular formula,methenolone,K1:0SPD480WFH
K1:RHH3W8F1CO,Metrizamide,Metrizamide (structure DTZMSDADRKLCQE),structure DTZMSDADRKLCQE,InChIKey skeleton,metrizamide,K2:BAQCROVBDNBEEB-UBYUBLNFSA-N
K2:BAQCROVBDNBEEB-UBYUBLNFSA-N,Metrizamide,Metrizamide (structure BAQCROVBDNBEEB),structure BAQCROVBDNBEEB,InChIKey skeleton,metrizamide,K1:RHH3W8F1CO
K1:9JH486CZ13,MOLIDUSTAT,MOLIDUSTAT (UNII 9JH486CZ13),UNII 9JH486CZ13,FDA UNII,molidustat,K1:CI0NE7C96T
K1:CI0NE7C96T,MOLIDUSTAT SODIUM,MOLIDUSTAT SODIUM (UNII CI0NE7C96T),UNII CI0NE7C96T,FDA UNII,molidustat,K1:9JH486CZ13
K1:4G8X27X87A,Monlunabant,Monlunabant (structure GYJPQNPVIJXXTA),structure GYJPQNPVIJXXTA,InChIKey skeleton,monlunabant,K2:BWTOCEGDOPMUFY-QHCPKHFHSA-N
K2:BWTOCEGDOPMUFY-QHCPKHFHSA-N,Monlunabant,Monlunabant (structure BWTOCEGDOPMUFY),structure BWTOCEGDOPMUFY,InChIKey skeleton,monlunabant,K1:4G8X27X87A
K1:45IUB1PX8R,Monomethyl fumarate,Monomethyl fumarate (C5H6O4),C5H6O4,molecular formula,monomethyl,K2:BYBMHSADRRMVHY-UHFFFAOYSA-N
K2:BYBMHSADRRMVHY-UHFFFAOYSA-N,Monomethyl,Monomethyl (C7H12O4),C7H12O4,molecular formula,monomethyl,K1:45IUB1PX8R
K1:8B2ZCK305O,MORPHOLINE,MORPHOLINE (C4H9NO),C4H9NO,molecular formula,morpholine,K2:BMOINOKSLLYQQE-UHFFFAOYSA-N
K2:BMOINOKSLLYQQE-UHFFFAOYSA-N,MORPHOLINE SALICYLATE,MORPHOLINE SALICYLATE (C11H13NO4),C11H13NO4,molecular formula,morpholine,K1:8B2ZCK305O
K1:0U46U6E8UK,Nadide,Nadide (C21H27N7O14P2),C21H27N7O14P2,molecular formula,nadide,K1:BY8P107XEP
K1:BY8P107XEP,Nadide Phosphate,Nadide Phosphate (C21H28N7O17P3),C21H28N7O17P3,molecular formula,nadide,K1:0U46U6E8UK
K1:6PG9VR430D,Nandrolone,Nandrolone (C18H26O2),C18H26O2,molecular formula,nandrolone,K2:REACBNMPQDINOF-YBBIQVIJSA-N
K2:REACBNMPQDINOF-YBBIQVIJSA-N,Nandrolone,Nandrolone (C28H38O3),C28H38O3,molecular formula,nandrolone,K1:6PG9VR430D
K1:2I87U3734A,Neodymium,Neodymium (Nd),Nd,molecular formula,neodymium,K1:AYT3H319PN
K1:AYT3H319PN,Neodymium Oxide,Neodymium Oxide (Nd2O3),Nd2O3,molecular formula,neodymium,K1:2I87U3734A
K1:41SGH8A2S6,Nickel Bromide,Nickel Bromide (Br2Ni),Br2Ni,molecular formula,nickel,K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68
K1:4FLT4T3WUN,Nickel Sulfate,Nickel Sulfate (NiO4S),NiO4S,molecular formula,nickel,K1:41SGH8A2S6;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68
K1:696BNE976J,Nickel Chloride,Nickel Chloride (Cl2Ni),Cl2Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68
K1:69NBB20493,Nickel Fluoride,Nickel Fluoride (F2Ni),F2Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:7OV03QG267;K1:JC9WZ4FK68
K1:7OV03QG267,Nickel,Nickel (Ni),Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:JC9WZ4FK68
K1:JC9WZ4FK68,Nickel Sulfate Hexahydrate,Nickel Sulfate Hexahydrate (H12NiO10S),H12NiO10S,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267
K1:9S44LIC7OJ,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE (C22H28O3),C22H28O3,molecular formula,norethindrone,K1:HY3S2K0J0F
K1:HY3S2K0J0F,Norethindrone Enanthate,Norethindrone Enanthate (C27H38O3),C27H38O3,molecular formula,norethindrone,K1:9S44LIC7OJ
K1:XO23PGZ0SM,PF 00477736,PF 00477736 (structure NDEXUOWTGYUVGA),structure NDEXUOWTGYUVGA,InChIKey skeleton,pf 00477736,K2:YFNWWNRZJGMDBR-UHFFFAOYSA-N
K2:YFNWWNRZJGMDBR-UHFFFAOYSA-N,PF-00477736,PF-00477736 (structure YFNWWNRZJGMDBR),structure YFNWWNRZJGMDBR,InChIKey skeleton,pf 00477736,K1:XO23PGZ0SM
K1:MZQ4XE15TP,"PHYTOL, (E)-","PHYTOL, (E)- (C20H40O)",C20H40O,molecular formula,phytol,K2:VNYGDSNUPVEJKI-IWBCJCCCSA-N
K2:VNYGDSNUPVEJKI-IWBCJCCCSA-N,PHYTOL,PHYTOL (C19H38O),C19H38O,molecular formula,phytol,K1:MZQ4XE15TP
K2:KKMZWHRTQLNOCF-UHFFFAOYSA-N,PI5P4K¦Á-IN-1,PI5P4K¦Á-IN-1 (C20H17N3O2S),C20H17N3O2S,molecular formula,pi5p4k in 1,K2:VGFHPNRWHOQLEB-UHFFFAOYSA-N
K2:VGFHPNRWHOQLEB-UHFFFAOYSA-N,PI5P4K¦Ã-IN-1,PI5P4K¦Ã-IN-1 (C20H20N4O),C20H20N4O,molecular formula,pi5p4k in 1,K2:KKMZWHRTQLNOCF-UHFFFAOYSA-N
K1:NIJ123W41V,Plicamycin,Plicamycin (structure CFCUWKMKBJTWLW),structure CFCUWKMKBJTWLW,InChIKey skeleton,plicamycin,K2:XDKMHMINQXATOR-RCFLUEAHSA-N
K2:XDKMHMINQXATOR-RCFLUEAHSA-N,Plicamycin,Plicamycin (structure XDKMHMINQXATOR),structure XDKMHMINQXATOR,InChIKey skeleton,plicamycin,K1:NIJ123W41V
K1:459AG36T1B,Prasterone,Prasterone (C19H28O2),C19H28O2,molecular formula,prasterone,K1:57B09Q7FJR
K1:57B09Q7FJR,Prasterone Sulfate,Prasterone Sulfate (C19H28O5S),C19H28O5S,molecular formula,prasterone,K1:459AG36T1B
K1:1V7A1U282K,Prednisolone Tebutate,Prednisolone Tebutate (C27H38O6),C27H38O6,molecular formula,prednisolone,K1:9PHQ9Y1OLM
K1:9PHQ9Y1OLM,Prednisolone,Prednisolone (C21H28O5),C21H28O5,molecular formula,prednisolone,K1:1V7A1U282K
K1:6LN4W6JJK6,Pregnenolone Succinate,Pregnenolone Succinate (GABA-A receptor; benzodiazepine site),GABA-A receptor; benzodiazepine site,Inxight primary target,pregnenolone,K1:73R90F7MQ8
K1:73R90F7MQ8,PREGNENOLONE,PREGNENOLONE (Cannabinoid CB1 receptor),Cannabinoid CB1 receptor,Inxight primary target,pregnenolone,K1:6LN4W6JJK6
K1:3THM379K8A,Pyridoxal,Pyridoxal (Steroid 5-alpha-reductase),Steroid 5-alpha-reductase,Inxight primary target,pyridoxal,K1:F06SGE49M6
K1:F06SGE49M6,Pyridoxal Phosphate Anhydrous,Pyridoxal Phosphate Anhydrous (P2X purinoceptor 1),P2X purinoceptor 1,Inxight primary target,pyridoxal,K1:3THM379K8A
K1:6466NM3W93,PYRIDOXAMINE,PYRIDOXAMINE (C8H12N2O2),C8H12N2O2,molecular formula,pyridoxamine,K1:Q05R77UO7P
K1:Q05R77UO7P,PYRIDOXAMINE PHOSPHATE ANHYDROUS,PYRIDOXAMINE PHOSPHATE ANHYDROUS (C8H13N2O5P),C8H13N2O5P,molecular formula,pyridoxamine,K1:6466NM3W93
K1:KKO873WR2Z,Radium Chloride,Radium Chloride (Cl2Ra),Cl2Ra,molecular formula,radium,K1:R74O7T8569;K1:W90AYD6R3Q
K1:R74O7T8569,Radium Bromide,Radium Bromide (Br2Ra),Br2Ra,molecular formula,radium,K1:KKO873WR2Z;K1:W90AYD6R3Q
K1:W90AYD6R3Q,RADIUM,RADIUM (Ra),Ra,molecular formula,radium,K1:KKO873WR2Z;K1:R74O7T8569
K1:8BR2SOL3L1,RADIUM RA-223,RADIUM RA-223 (Ra),Ra,molecular formula,radium ra 223,K1:RJ00KV3VTG
K1:RJ00KV3VTG,Radium Ra-223 Dichloride,Radium Ra-223 Dichloride (Cl2Ra),Cl2Ra,molecular formula,radium ra 223,K1:8BR2SOL3L1
K1:B3FUD0528F,Rebaudioside A,Rebaudioside A (structure HELXLJCILKEWJH),structure HELXLJCILKEWJH,InChIKey skeleton,rebaudioside a,K2:GIPHUOWOTCAJSR-NCGAPWICSA-N
K2:GIPHUOWOTCAJSR-NCGAPWICSA-N,REBAUDIOSIDE A,REBAUDIOSIDE A (structure GIPHUOWOTCAJSR),structure GIPHUOWOTCAJSR,InChIKey skeleton,rebaudioside a,K1:B3FUD0528F
K1:YL6O37RD1S,RESORCINOL MONOACETATE,RESORCINOL MONOACETATE (C8H8O3),C8H8O3,molecular formula,resorcinol,K1:YUL4LO94HK
K1:YUL4LO94HK,Resorcinol,Resorcinol (C6H6O2),C6H6O2,molecular formula,resorcinol,K1:YL6O37RD1S
K1:49717AWG6K,Ribavirin,Ribavirin (C8H12N4O5),C8H12N4O5,molecular formula,ribavirin,K1:O9FVV27P11
K1:O9FVV27P11,RIBAVIRIN MONOPHOSPHATE,RIBAVIRIN MONOPHOSPHATE (C8H13N4O8P),C8H13N4O8P,molecular formula,ribavirin,K1:49717AWG6K
K1:7UP781YBR6,Salcolex Anhydrous,Salcolex Anhydrous (C24H38MgN2O12S),C24H38MgN2O12S,molecular formula,salcolex,K1:TW371I5GLO
K1:TW371I5GLO,Salcolex,Salcolex (C24H46MgN2O16S),C24H46MgN2O16S,molecular formula,salcolex,K1:7UP781YBR6
K1:C1GQ844199,Salvianolic Acid B,Salvianolic Acid B (C36H30O16),C36H30O16,molecular formula,salvianolic acid b,K2:YLSNESYAOIRZEA-AVPWDRFWSA-N
K2:YLSNESYAOIRZEA-AVPWDRFWSA-N,SALVIANOLIC ACID B,SALVIANOLIC ACID B (C36H32O16),C36H32O16,molecular formula,salvianolic acid b,K1:C1GQ844199
K1:42OD65L39F,Samarium,Samarium (Sm),Sm,molecular formula,samarium,K1:91N8739X2N
K1:91N8739X2N,Samarium Oxide,Samarium Oxide (O3Sm2),O3Sm2,molecular formula,samarium,K1:42OD65L39F
K1:AJS8S3P31H,Satavaptan,Satavaptan (C33H45N3O8S),C33H45N3O8S,molecular formula,satavaptan,K2:CDSBFDCCJJDFCV-CKZSCMLPSA-N
K2:CDSBFDCCJJDFCV-CKZSCMLPSA-N,Satavaptan,Satavaptan (C33H45N3O7S),C33H45N3O7S,molecular formula,satavaptan,K1:AJS8S3P31H
K1:53PH22NTYW,Scandium Chloride,Scandium Chloride (Cl3Sc),Cl3Sc,molecular formula,scandium,K1:T0G94L07ZD;K1:YUJ4U1EW7R
K1:T0G94L07ZD,Scandium Oxide,Scandium Oxide (O3Sc2),O3Sc2,molecular formula,scandium,K1:53PH22NTYW;K1:YUJ4U1EW7R
K1:YUJ4U1EW7R,Scandium,Scandium (Sc),Sc,molecular formula,scandium,K1:53PH22NTYW;K1:T0G94L07ZD
K1:81M6Z3D1XE,Silver Iodide,Silver Iodide (AgI),AgI,molecular formula,silver,K1:95IT3W8JZE;K1:ZL6T4Y1XP8
K1:95IT3W8JZE,Silver Nitrate,Silver Nitrate (AgNO3),AgNO3,molecular formula,silver,K1:81M6Z3D1XE;K1:ZL6T4Y1XP8
K1:ZL6T4Y1XP8,Silver Phosphate,Silver Phosphate (Ag3O4P),Ag3O4P,molecular formula,silver,K1:81M6Z3D1XE;K1:95IT3W8JZE
K1:0YPR65R21J,SODIUM SULFATE,SODIUM SULFATE (H20Na2O14S),H20Na2O14S,molecular formula,sodium,K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:36KCS0R750,SODIUM SULFATE ANHYDROUS,SODIUM SULFATE ANHYDROUS (Na2O4S),Na2O4S,molecular formula,sodium,K1:0YPR65R21J;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:45P3261C7T,Sodium Carbonate,Sodium Carbonate (CNa2O3),CNa2O3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:8M4L3H2ZVZ,SODIUM NITRATE,SODIUM NITRATE (NNaO3),NNaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
