key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:C8I4BVN78E,Glutethimide,Glutethimide (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,glutethimide,K1:IN5W64L102,relation-label
K1:CEGM9YBNGD,Selpercatinib,Selpercatinib (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,selpercatinib,K2:XIIOFHFUYBLOLW-UHFFFAOYSA-N,relation-label
K1:CR23L7LA3Y,Fenoprofen,Fenoprofen (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,fenoprofen,K1:RA33EAC7KY,relation-label
K1:CRR8E37XOB,ABT-510,ABT-510 (ChEMBL CHEMBL386115),ChEMBL CHEMBL386115,ChEMBL molecule identifier,abt 510,K2:RIWLPSIAFBLILR-QCXUJFLMSA-N,relation-label
K1:D81QY6I88E,LINALOOL,LINALOOL (structure CDOSHBSSFJOMGT-UHFFFAOYSA-N),structure CDOSHBSSFJOMGT-UHFFFAOYSA-N,InChIKey,linalool,K1:3U21E3V8I2;K1:F4VNO44C09,relation-label
K1:D9818430MW,Mephenytoin,Mephenytoin (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,mephenytoin,K1:R420KW629U,relation-label
K1:DPX51KUP08,(-)-ROLIPRAM,(-)-ROLIPRAM (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,rolipram,K1:K676NL63N7,relation-label
K1:E3VE9L071S,Econazole,Econazole (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,econazole,K1:6Z1Y2V4A7M,relation-label
K1:EQK9Q303C5,Kanamycin A,Kanamycin A (ChEMBL CHEMBL1384),ChEMBL CHEMBL1384,ChEMBL molecule identifier,kanamycin a,K2:SBUJHOSQTJFQJX-KSACQAOKSA-N,relation-label
K1:EUT3557RT5,Arimoclomol,Arimoclomol (ChEMBL CHEMBL4760607),ChEMBL CHEMBL4760607,ChEMBL molecule identifier,arimoclomol,K2:SGEIEGAXKLMUIZ-XUVDNFPMSA-N,relation-label
K1:F4VNO44C09,Linalool,Linalool (structure CDOSHBSSFJOMGT-SNVBAGLBSA-N),structure CDOSHBSSFJOMGT-SNVBAGLBSA-N,InChIKey,linalool,K1:3U21E3V8I2;K1:D81QY6I88E,relation-label
K1:FE9794P71J,Iopanoic acid,Iopanoic acid (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,iopanoic acid,K1:WLL781TH5X,relation-label
K1:FEN504330V,Nadolol,Nadolol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,nadolol,K2:VWPOSFSPZNDTMJ-UHFFFAOYSA-N,relation-label
K1:G36A0E9CVT,Tripamide,Tripamide (ChEMBL CHEMBL4303526),ChEMBL CHEMBL4303526,ChEMBL molecule identifier,tripamide,K2:UHLOVGKIEARANS-QZHINBJYSA-N,relation-label
K1:G70B4ETF4S,Emtricitabine,Emtricitabine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,emtricitabine,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N,relation-label
K1:GA49J4310U,Sulforaphane,Sulforaphane (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,sulforaphane,K1:41684WL1GL,relation-label
K1:GFD7C86Q1W,Limonene,Limonene (ChEMBL CHEMBL449062),ChEMBL CHEMBL449062,ChEMBL molecule identifier,limonene,K1:47MAJ1Y2NE;K1:9MC3I34447,relation-label
K1:GFO928U8MQ,Disopyramide,Disopyramide (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,disopyramide,K1:4HB8OU08NH,relation-label
K1:GN83C131XS,Ephedrine,Ephedrine (UNII NLJ6390P1Z),UNII NLJ6390P1Z,FDA UNII,ephedrine,K1:72087NSY56,relation-label
K1:GPV39ZGD8C,VARICELLA-ZOSTER Virus Strain OKA/MERCK Live Antigen,VARICELLA-ZOSTER Virus Strain OKA/MERCK Live Antigen (single substance record),single substance record,recorded composition,varicella zoster virus strain oka merck live antigen,COMBO:NAME:varicella zoster virus strain oka merck live antigen,relation-label
K1:H57G17P2FN,Brompheniramine,Brompheniramine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,brompheniramine,K1:Z4L2A7J0MC,relation-label
K1:H6CM4TWH1W,Alpha-Pinene,Alpha-Pinene (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,alpha pinene,K2:GRWFGVWFFZKLTI-UHFFFAOYSA-N,relation-label
K1:H84E4Y7HC9,Halofuginone,Halofuginone (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,halofuginone,K2:LVASCWIMLIKXLA-UHFFFAOYSA-N,relation-label
K1:H8A007M585,Tapentadol,Tapentadol (structure KWTWDQCKEHXFFR-SMDDNHRTSA-N),structure KWTWDQCKEHXFFR-SMDDNHRTSA-N,InChIKey,tapentadol,K1:9BK3JK3ETK,relation-label
K1:H95KBR1GDB,XENON XE 127,XENON XE 127 (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,xenon xe 127,HOLD:existing:xenon-xe-127,relation-label
K1:H9XPE51RF2,Alfuzosin,Alfuzosin (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,alfuzosin,K1:90347YTW5F,relation-label
K1:HG18B9YRS7,Valine,Valine (structure KZSNJWFQEVHDMF-BYPYZUCNSA-N),structure KZSNJWFQEVHDMF-BYPYZUCNSA-N,InChIKey,valine,K1:Y14I1443UR,relation-label
K1:HGB7P08R36,Isbogrel,Isbogrel (ChEMBL CHEMBL26820),ChEMBL CHEMBL26820,ChEMBL molecule identifier,isbogrel,K2:UWPBQLKEHGGKKD-BOPFTXTBSA-N,relation-label
K1:HP6E97INCN,Viloxazine,Viloxazine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,viloxazine,K1:5I5Y2789ZF,relation-label
K1:HX75939EI7,Secobarbital,Secobarbital (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,secobarbital,K1:1P7H87IN75,relation-label
