key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:X34Z8N66T3,Namitecan,Namitecan (ChEMBL CHEMBL419186),ChEMBL CHEMBL419186,ChEMBL molecule identifier,namitecan,K2:IBTISPLPBBHVSU-TYSFLOMESA-N,relation-label
K1:XDK458E1J9,Allantoin,Allantoin (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,allantoin,K1:344S277G0Z,relation-label
K1:XTZ6AXU7KN,Clenbuterol,Clenbuterol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,clenbuterol,K1:32SXB5VH2O,relation-label
K1:Y14I1443UR,Valine,Valine (structure KZSNJWFQEVHDMF-SCSAIBSYSA-N),structure KZSNJWFQEVHDMF-SCSAIBSYSA-N,InChIKey,valine,K1:HG18B9YRS7,relation-label
K1:Y513Q74WCG,Phenprocoumon,Phenprocoumon (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,phenprocoumon,K1:Q08SIO485D,relation-label
K1:Y92OUS2H9B,Benfotiamine,Benfotiamine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,benfotiamine,K2:BTNNPSLJPBRMLZ-LGMDPLHJSA-N,relation-label
K1:Y9ESM282DO,Fenoldopam,Fenoldopam (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,fenoldopam,K1:INU8H2KAWG,relation-label
K1:YG132I00WY,"ATENOLOL, (+)-","ATENOLOL, (+)- (with recorded stereochemistry)",with recorded stereochemistry,recorded stereochemistry,atenolol,K1:50VV3VW0TI,relation-label
K1:YZI5105V0L,Ketorolac,Ketorolac (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,ketorolac,K1:10A5O25ILE,relation-label
K1:Z4I0C281BJ,Fosdevirine,Fosdevirine (ChEMBL CHEMBL3781845),ChEMBL CHEMBL3781845,ChEMBL molecule identifier,fosdevirine,K2:CGBYTKOSZYQOPV-ASSBYYIWSA-N,relation-label
K1:Z4L2A7J0MC,Brompheniramine,Brompheniramine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,brompheniramine,K1:H57G17P2FN,relation-label
K2:BLSQLHNBWJLIBQ-UHFFFAOYSA-N,Terconazole,Terconazole (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,terconazole,K1:0KJ2VE664U,relation-label
K2:BMLIIPOXVWESJG-CMIZNHKFSA-N,Silicristin,Silicristin (ChEMBL CHEMBL4802105),ChEMBL CHEMBL4802105,ChEMBL molecule identifier,silicristin,K1:LK279ER14X,relation-label
K2:BTNNPSLJPBRMLZ-LGMDPLHJSA-N,Benfotiamine,Benfotiamine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,benfotiamine,K1:Y92OUS2H9B,relation-label
K2:CFMRIVODIXTERW-BHIFYINESA-N,ONTERNABEZ,ONTERNABEZ (ChEMBL CHEMBL3613118),ChEMBL CHEMBL3613118,ChEMBL molecule identifier,onternabez,K1:8I5L034D55,relation-label
K2:CGBYTKOSZYQOPV-ASSBYYIWSA-N,Fosdevirine,Fosdevirine (ChEMBL CHEMBL2104968),ChEMBL CHEMBL2104968,ChEMBL molecule identifier,fosdevirine,K1:Z4I0C281BJ,relation-label
K2:CSOMAHTTWTVBFL-RRSCQWGLSA-N,PLATENSIMYCIN,PLATENSIMYCIN (ChEMBL CHEMBL560671),ChEMBL CHEMBL560671,ChEMBL molecule identifier,platensimycin,K1:Q3DQ78KOFY,relation-label
K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,Cisapride,Cisapride (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,cisapride,K1:UVL329170W,relation-label
K2:DLNKOYKMWOXYQA-UHFFFAOYSA-N,Phenylpropanolamine,Phenylpropanolamine (structure DLNKOYKMWOXYQA-UHFFFAOYSA-N),structure DLNKOYKMWOXYQA-UHFFFAOYSA-N,InChIKey,phenylpropanolamine,K1:57B9YG5Y1E;K1:7875H6443P,relation-label
K2:DOAKLVKFURWEDJ-RWDRXURGSA-N,Daptomycin,Daptomycin (ChEMBL CHEMBL387675),ChEMBL CHEMBL387675,ChEMBL molecule identifier,daptomycin,K1:NWQ5N31VKK,relation-label
K2:DSSYKIVIOFKYAU-UHFFFAOYSA-N,CAMPHOR,CAMPHOR (structure DSSYKIVIOFKYAU-UHFFFAOYSA-N),structure DSSYKIVIOFKYAU-UHFFFAOYSA-N,InChIKey,camphor,K1:213N3S8275;K1:N20HL7Q941,relation-label
K2:DTGKSKDOIYIVQL-UHFFFAOYSA-N,BORNEOL,BORNEOL (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,borneol,K1:1Y84986J9Q,relation-label
K2:DZBKAUMYTFPJIS-HSZRJFAPSA-N,BMS-791826,BMS-791826 (ChEMBL CHEMBL1911274),ChEMBL CHEMBL1911274,ChEMBL molecule identifier,bms 791826,K1:60BN6CDL0K,relation-label
K2:FSBUXLDOLNLABB-ZBMJVRRDSA-N,ECHINACOSIDE,ECHINACOSIDE (ChEMBL CHEMBL393090),ChEMBL CHEMBL393090,ChEMBL molecule identifier,echinacoside,K1:I04O1DT48T,relation-label
K2:GECBBEABIDMGGL-UHFFFAOYSA-N,Nabilone,Nabilone (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,nabilone,K1:2N4O9L084N,relation-label
K2:GNIRITULTPTAQW-UHFFFAOYSA-N,ABT-288,ABT-288 (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,abt 288,K1:5MEI1M3NHH,relation-label
K2:GRWFGVWFFZKLTI-UHFFFAOYSA-N,ALPHA-PINENE,ALPHA-PINENE (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,alpha pinene,K1:H6CM4TWH1W,relation-label
K2:GTYWGUNQAMYZPF-FAJKJHJLSA-N,Demoxytocin,Demoxytocin (ChEMBL CHEMBL435716),ChEMBL CHEMBL435716,ChEMBL molecule identifier,demoxytocin,K1:2N9HM3X95F,relation-label
K2:HEAHZSUCFKFERC-UHFFFAOYSA-N,Ecamsule,Ecamsule (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,ecamsule,K1:M94R1PM439,relation-label
K2:HFOBENSCBRZVSP-NRFSWKIWSA-N,CA-170,CA-170 (ChEMBL CHEMBL5169494),ChEMBL CHEMBL5169494,ChEMBL molecule identifier,ca 170,K1:646MN6KQ16,relation-label
K2:HSIBGVUMFOSJPD-NXWOVTFFSA-N,IBOGAINE,IBOGAINE (structure HSIBGVUMFOSJPD-NXWOVTFFSA-N),structure HSIBGVUMFOSJPD-NXWOVTFFSA-N,InChIKey,ibogaine,K1:3S814I130U,relation-label
K2:HTCJUBZBSJQWBW-CQSZACIVSA-N,Selgantolimod,Selgantolimod (ChEMBL CHEMBL4594258),ChEMBL CHEMBL4594258,ChEMBL molecule identifier,selgantolimod,K1:RM4GJT3SMQ,relation-label
K2:IBTISPLPBBHVSU-TYSFLOMESA-N,NAMITECAN,NAMITECAN (ChEMBL CHEMBL606805),ChEMBL CHEMBL606805,ChEMBL molecule identifier,namitecan,K1:X34Z8N66T3,relation-label
K2:IOVGROKTTNBUGK-UHFFFAOYSA-N,Ritodrine,Ritodrine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,ritodrine,K1:I0Q6O6740J,relation-label
K2:IWXAZSAGYJHXPX-LYWFMZLMSA-N,Bisbentiamine,Bisbentiamine (ChEMBL CHEMBL2105814),ChEMBL CHEMBL2105814,ChEMBL molecule identifier,bisbentiamine,K1:MEI78CAM16,relation-label
K2:JETQIUPBHQNHNZ-OAYJICASSA-N,Sulbenicillin,Sulbenicillin (ChEMBL CHEMBL1256734),ChEMBL CHEMBL1256734,ChEMBL molecule identifier,sulbenicillin,K1:Q2VYF0562D,relation-label
K2:JJWLXRKVUJDJKG-UHFFFAOYSA-N,BMS-863233,BMS-863233 (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,bms 863233,K1:8QK62S7492,relation-label
K2:JZUTXVTYJDCMDU-UHFFFAOYSA-N,(+)-Hydrastine,(+)-Hydrastine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,hydrastine,K1:8890V3217X,relation-label
K2:KOHIRBRYDXPAMZ-UHFFFAOYSA-N,Nebivolol,Nebivolol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,nebivolol,K1:I43D0296P8,relation-label
K2:KOZFSFOOLUUIGY-IYYJOCMQSA-N,(+)-K-252A,(+)-K-252A (ChEMBL CHEMBL416056),ChEMBL CHEMBL416056,ChEMBL molecule identifier,k 252a,K1:IV7H45AM5B,relation-label
K2:KPRGOTLNGIBVFL-VYLIMTTQSA-N,7-KETO-DEHYDROEPIANDROSTERONE,7-KETO-DEHYDROEPIANDROSTERONE (structure KPRGOTLNGIBVFL-VYLIMTTQSA-N),structure KPRGOTLNGIBVFL-VYLIMTTQSA-N,InChIKey,7 keto dehydroepiandrosterone,K1:2334LJD2E9,relation-label
K2:KPUSUIKQQCFQCX-UHFFFAOYSA-N,Cyprolidol,Cyprolidol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,cyprolidol,K1:321552050N,relation-label
K2:KRTIYQIPSAGSBP-KLAILNCOSA-N,Linrodostat,Linrodostat (ChEMBL CHEMBL4297598),ChEMBL CHEMBL4297598,ChEMBL molecule identifier,linrodostat,K1:0A7729F42K,relation-label
K2:KSOVGRCOLZZTPF-UHFFFAOYSA-N,Cenisertib,Cenisertib (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,cenisertib,K1:5277GPA358,relation-label
K2:KTEXNACQROZXEV-SLXBATTESA-N,PARTHENOLIDE,PARTHENOLIDE (structure KTEXNACQROZXEV-SLXBATTESA-N),structure KTEXNACQROZXEV-SLXBATTESA-N,InChIKey,parthenolide,K1:2RDB26I5ZB,relation-label
K2:KWVISVAMQJWJSZ-MEPOCMDBSA-N,SOLASODINE,SOLASODINE (ChEMBL CHEMBL514596),ChEMBL CHEMBL514596,ChEMBL molecule identifier,solasodine,K1:L40Y453Y96,relation-label
K2:LVASCWIMLIKXLA-UHFFFAOYSA-N,Halofuginone,Halofuginone (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,halofuginone,K1:H84E4Y7HC9,relation-label
K2:MFWNKCLOYSRHCJ-UHFFFAOYSA-N,Granisetron,Granisetron (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,granisetron,K1:WZG3J2MCOL,relation-label
K2:MKJIEFSOBYUXJB-LIJFRPJRSA-N,Deutetrabenazine,Deutetrabenazine (structure MKJIEFSOBYUXJB-LIJFRPJRSA-N),structure MKJIEFSOBYUXJB-LIJFRPJRSA-N,InChIKey,deutetrabenazine,K1:P341G6W9NB,relation-label
K2:MKJIEFSOBYUXJB-UHFFFAOYSA-N,Tetrabenazine,Tetrabenazine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,tetrabenazine,K1:8A3NP33E5M,relation-label
K2:NBPVNGWRLGHULH-JKOUTOBWSA-N,SULOPENEM ETZADROXIL,SULOPENEM ETZADROXIL (ChEMBL CHEMBL4594246),ChEMBL CHEMBL4594246,ChEMBL molecule identifier,sulopenem etzadroxil,K1:492M3I304T,relation-label
K2:NIDRYBLTWYFCFV-OAVHHTNSSA-N,(-)-CALANOLIDE A,(-)-CALANOLIDE A (ChEMBL CHEMBL268207),ChEMBL CHEMBL268207,ChEMBL molecule identifier,calanolide a,K1:S5A9TQN46W,relation-label
K2:NLYAJNPCOHFWQQ-UHFFFAOYSA-N,KAOLIN,KAOLIN (structure NLYAJNPCOHFWQQ-UHFFFAOYSA-N),structure NLYAJNPCOHFWQQ-UHFFFAOYSA-N,InChIKey,kaolin,K1:24H4NWX5CO,relation-label
K2:NOOLISFMXDJSKH-XVBQNVSMSA-N,(+)-MENTHOL,(+)-MENTHOL (ChEMBL CHEMBL41763),ChEMBL CHEMBL41763,ChEMBL molecule identifier,menthol,K1:C6B1OE8P3W,relation-label
K2:NPGNOVNWUSPMDP-UTEPHESZSA-N,Pivmecillinam,Pivmecillinam (ChEMBL CHEMBL1650818),ChEMBL CHEMBL1650818,ChEMBL molecule identifier,pivmecillinam,K1:1WAM1OQ30B,relation-label
K2:OEXHQOGQTVQTAT-BHIXFJMTSA-N,Ipratropium bromide,Ipratropium bromide (structure OEXHQOGQTVQTAT-BHIXFJMTSA-N),structure OEXHQOGQTVQTAT-BHIXFJMTSA-N,InChIKey,ipratropium bromide,K1:J697UZ2A9J,relation-label
K2:OFQNFLLLCMQNEP-KQCGYNJJSA-N,Detirelix,Detirelix (ChEMBL CHEMBL2106408),ChEMBL CHEMBL2106408,ChEMBL molecule identifier,detirelix,K1:05ME7P8ZBJ,relation-label
K2:OGWKCGZFUXNPDA-XQKSVPLYSA-N,Vincristine,Vincristine (ChEMBL CHEMBL501867),ChEMBL CHEMBL501867,ChEMBL molecule identifier,vincristine,K1:5J49Q6B70F,relation-label
K2:PFZUWUXKQPRWAL-PXCJXSSVSA-N,Taniborbactam,Taniborbactam (ChEMBL CHEMBL4594290),ChEMBL CHEMBL4594290,ChEMBL molecule identifier,taniborbactam,K1:8IGQ156Z07,relation-label
K2:PIJVFDBKTWXHHD-AWKYBWMHSA-N,(+)-PHYSOSTIGMINE,(+)-PHYSOSTIGMINE (ChEMBL CHEMBL76640),ChEMBL CHEMBL76640,ChEMBL molecule identifier,physostigmine,K1:9U1VM840SP,relation-label
K2:RBZNJGHIKXAKQE-UHFFFAOYSA-N,Derenofylline,Derenofylline (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,derenofylline,K1:O1Q96UZ63W,relation-label
K2:RIWLPSIAFBLILR-QCXUJFLMSA-N,ABT 510,ABT 510 (ChEMBL CHEMBL262489),ChEMBL CHEMBL262489,ChEMBL molecule identifier,abt 510,K1:CRR8E37XOB,relation-label
K2:RMRJXGBAOAMLHD-CTAPUXPBSA-N,Buprenorphine,Buprenorphine (structure RMRJXGBAOAMLHD-CTAPUXPBSA-N),structure RMRJXGBAOAMLHD-CTAPUXPBSA-N,InChIKey,buprenorphine,K1:40D3SCR4GZ,relation-label
K2:SBUJHOSQTJFQJX-KSACQAOKSA-N,KANAMYCIN A,KANAMYCIN A (ChEMBL CHEMBL223520),ChEMBL CHEMBL223520,ChEMBL molecule identifier,kanamycin a,K1:EQK9Q303C5,relation-label
K2:SGEIEGAXKLMUIZ-XUVDNFPMSA-N,Arimoclomol,Arimoclomol (ChEMBL CHEMBL2107726),ChEMBL CHEMBL2107726,ChEMBL molecule identifier,arimoclomol,K1:EUT3557RT5,relation-label
K2:SNICXCGAKADSCV-UHFFFAOYSA-N,(+/-)NICOTINE,(+/-)NICOTINE (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,nicotine,K1:6M3C89ZY6R,relation-label
K2:SVFXPTLYMIXFRX-UHFFFAOYSA-N,Indatraline,Indatraline (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,indatraline,K1:4U40Y96J1Z,relation-label
K2:TVYLLZQTGLZFBW-UHFFFAOYSA-N,Tramadol,Tramadol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,tramadol,K1:0NG5TTM63P,relation-label
K2:UELYDGOOJPRWGF-MFOHZAOFSA-N,Roniciclib,Roniciclib (ChEMBL CHEMBL4442620),ChEMBL CHEMBL4442620,ChEMBL molecule identifier,roniciclib,K1:0W9Q8U337A,relation-label
K2:UHLOVGKIEARANS-QZHINBJYSA-N,Tripamide,Tripamide (ChEMBL CHEMBL2104484),ChEMBL CHEMBL2104484,ChEMBL molecule identifier,tripamide,K1:G36A0E9CVT,relation-label
K2:UHYCLWAANUGUMN-UHFFFAOYSA-N,Nerandomilast,Nerandomilast (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,nerandomilast,K1:I5DGT51IB8,relation-label
K2:UWPBQLKEHGGKKD-BOPFTXTBSA-N,Isbogrel,Isbogrel (ChEMBL CHEMBL28196),ChEMBL CHEMBL28196,ChEMBL molecule identifier,isbogrel,K1:HGB7P08R36,relation-label
K2:VBUWHHLIZKOSMS-KDPLEQQTSA-N,VASOACTIVE INTESTINAL PEPTIDE,VASOACTIVE INTESTINAL PEPTIDE (ChEMBL CHEMBL525028),ChEMBL CHEMBL525028,ChEMBL molecule identifier,vasoactive intestinal peptide,K1:6J2WVD66KR,relation-label
K2:VHVPQPYKVGDNFY-UHFFFAOYSA-N,Itraconazole,Itraconazole (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,itraconazole,K1:304NUG5GF4,relation-label
K2:VOKSWYLNZZRQPF-UHFFFAOYSA-N,Pentazocine,Pentazocine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,pentazocine,K1:A2G9VU2P2J,relation-label
K2:VSWBSWWIRNCQIJ-UHFFFAOYSA-N,Asenapine,Asenapine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,asenapine,K1:JKZ19V908O,relation-label
K2:VVLJQSJNPKNTAT-SNVBAGLBSA-N,Deximafen,Deximafen (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,deximafen,K1:1V5135S169,relation-label
K2:VWPOSFSPZNDTMJ-UHFFFAOYSA-N,Nadolol,Nadolol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,nadolol,K1:FEN504330V,relation-label
K2:VXKHXGOKWPXYNA-PGBVPBMZSA-N,Triptorelin,Triptorelin (UNII 08AN7WA2G0),UNII 08AN7WA2G0,FDA UNII,triptorelin,K1:9081Y98W2V,relation-label
K2:VXYZBLXGCYNIHP-CAGINOIPSA-N,Arterolane,Arterolane (ChEMBL CHEMBL404431),ChEMBL CHEMBL404431,ChEMBL molecule identifier,arterolane,K1:3N1TN351VB,relation-label
K2:WAFNVKVWBPXGHK-CGSMKXTHSA-N,TP-061,TP-061 (ChEMBL CHEMBL4070683),ChEMBL CHEMBL4070683,ChEMBL molecule identifier,tp 061,K2:WAFNVKVWBPXGHK-QDUSTFBWSA-N,relation-label
K2:WAFNVKVWBPXGHK-QDUSTFBWSA-N,TP-061,TP-061 (ChEMBL CHEMBL4099313),ChEMBL CHEMBL4099313,ChEMBL molecule identifier,tp 061,K2:WAFNVKVWBPXGHK-CGSMKXTHSA-N,relation-label
K2:WHRODDIHRRDWEW-ZWYCLXBASA-N,Sugammadex,Sugammadex (ChEMBL CHEMBL2107374),ChEMBL CHEMBL2107374,ChEMBL molecule identifier,sugammadex,K1:361LPM2T56,relation-label
K2:WJAJPNHVVFWKKL-UHFFFAOYSA-N,Methoxamine,Methoxamine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,methoxamine,K1:2R9B62A4A9,relation-label
K2:WMUIIGVAWPWQAW-DEOSSOPVSA-N,Ragaglitazar,Ragaglitazar (ChEMBL CHEMBL24038),ChEMBL CHEMBL24038,ChEMBL molecule identifier,ragaglitazar,K1:Q5ELR5A7Y5,relation-label
K2:WTARULDDTDQWMU-UHFFFAOYSA-N,BETA-PINENE,BETA-PINENE (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,beta pinene,K1:IGO73S04D5,relation-label
K2:WYQVAPGDARQUBT-JVGKFWCXSA-N,ASIATICOSIDE,ASIATICOSIDE (ChEMBL CHEMBL1789965),ChEMBL CHEMBL1789965,ChEMBL molecule identifier,asiaticoside,K1:PKO39VY215,relation-label
K2:XEEQGYMUWCZPDN-UHFFFAOYSA-N,Mefloquine,Mefloquine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,mefloquine,K1:5G5QQ725P9,relation-label
K2:XIIOFHFUYBLOLW-UHFFFAOYSA-N,Selpercatinib,Selpercatinib (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,selpercatinib,K1:CEGM9YBNGD,relation-label
K2:XKLZIVIOZDNKEQ-CKIHNWHUSA-N,Sparsomycin,Sparsomycin (ChEMBL CHEMBL2303630),ChEMBL CHEMBL2303630,ChEMBL molecule identifier,sparsomycin,K1:6C940P63E7,relation-label
K2:XPYLKZZOBVLVHB-UHFFFAOYSA-N,Rociverine,Rociverine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,rociverine,K1:VI08KS44V0,relation-label
K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N,"EMTRICITABINE, (+/-)-","EMTRICITABINE, (+/-)- (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,emtricitabine,K1:G70B4ETF4S,relation-label
K2:XXPVSQRPGBUFKM-VKAVYKQESA-N,Clovoxamine,Clovoxamine (ChEMBL CHEMBL2105603),ChEMBL CHEMBL2105603,ChEMBL molecule identifier,clovoxamine,K1:7I22J7RY2A,relation-label
K2:XZNUGFQTQHRASN-PSDDYZKFSA-N,Apramycin,Apramycin (ChEMBL CHEMBL1909452),ChEMBL CHEMBL1909452,ChEMBL molecule identifier,apramycin,K1:388K3TR36Z,relation-label
K2:YDDUMTOHNYZQPO-FCXRPNKRSA-N,Cynarine,Cynarine (ChEMBL CHEMBL2105478),ChEMBL CHEMBL2105478,ChEMBL molecule identifier,cynarine,K1:85D81U9JAV,relation-label
K2:YLWYNCPRXFCNLQ-OBBGFGQDSA-N,Crotoniazide,Crotoniazide (ChEMBL CHEMBL2106585),ChEMBL CHEMBL2106585,ChEMBL molecule identifier,crotoniazide,K1:C4DT7VL6FU,relation-label
K2:YZCUMZWULWOUMD-UHFFFAOYSA-N,ENITOCICLIB,ENITOCICLIB (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,enitociclib,K1:1255AT22ZJ,relation-label
K2:ZQHYKVKNPWDQSL-UHFFFAOYSA-N,Phenazocine,Phenazocine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,phenazocine,K1:7UZW80C91Q,relation-label
