key,slug,printed_name,components,component_keys,shares_component_with
"COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8}",bevirimat-dimeglumine,BEVIRIMAT DIMEGLUMINE,Meglumine + Bevirimat,K1:6HG8UB2MUY;K1:S125DW66N8,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY};COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW};COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01};COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}"
"COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW}",iodipamide-meglumine,IODIPAMIDE MEGLUMINE,Meglumine + Adipiodone,K1:6HG8UB2MUY;K1:TKQ858A3VW,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY};COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8};COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01};COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}"
"COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01}",tetrazolast-meglumine,TETRAZOLAST MEGLUMINE,Meglumine + Tetrazolast,K1:6HG8UB2MUY;K1:X015V3LF01,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY};COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8};COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW};COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}"
"COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}",ioxaglate-meglumine,IOXAGLATE MEGLUMINE,Meglumine + Ioxaglic acid,K1:6HG8UB2MUY;K1:Z40X7EI2AF,"COMBO:{K1:16CHD79MIX,K1:6HG8UB2MUY};COMBO:{K1:4RII332O0R,K1:6HG8UB2MUY};COMBO:{K1:5UVC90J1LK,K1:6HG8UB2MUY};COMBO:{K1:6315412YVF,K1:6HG8UB2MUY};COMBO:{K1:6HG8UB2MUY,K1:6L8OF9XRDC};COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J};COMBO:{K1:6HG8UB2MUY,K1:CM1N99QR1M};COMBO:{K1:6HG8UB2MUY,K1:NS1Y283HW4};COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y};COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8};COMBO:{K1:6HG8UB2MUY,K1:TKQ858A3VW};COMBO:{K1:6HG8UB2MUY,K1:X015V3LF01}"
"COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R}",technetium-tc-99m-ferpentetate-kit,Technetium Tc-99m Ferpentetate Kit,Pentetic Acid + Ascorbic acid,K1:7A314HQM0I;K1:PQ6CK8PD0R,"COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R}"
"COMBO:{K1:8558G7RUTR,K1:MU72812GK0}",creatine-pyruvate,Creatine Pyruvate,Pyruvic Acid + Creatine,K1:8558G7RUTR;K1:MU72812GK0,"COMBO:{K1:61H4T033E5,K1:MU72812GK0};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
"COMBO:{K1:8G388563M7,K1:TE0865N2ET}",telotristat-etiprate,TELOTRISTAT ETIPRATE,Telotristat Ethyl + HIPPURIC ACID,K1:8G388563M7;K1:TE0865N2ET,"COMBO:{K1:J50OIX95QV,K1:TE0865N2ET}"
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",dimenhydrinate,DIMENHYDRINATE,Diphenhydramine + 8-CHLOROTHEOPHYLLINE,K1:8GTS82S83M;K1:GE2UA340FM,"COMBO:{K1:8GTS82S83M,K1:M494UE2YEP};COMBO:{K1:FF28EJQ494,K1:GE2UA340FM}"
"COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}",etanautine,ETANAUTINE,Diphenhydramine + ACEFYLLINE,K1:8GTS82S83M;K1:M494UE2YEP,"COMBO:{K1:1RTM4PAL0V,K1:M494UE2YEP};COMBO:{K1:200168S0CL,K1:M494UE2YEP};COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}"
"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}",ornithine-alpha-ketoglutarate,ORNITHINE OXOGLURATE,Alpha Ketoglutarate + Ornithine,K1:8ID597Z82X;K1:E524N2IXA3,"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X};COMBO:{K1:3THM379K8A,K1:8ID597Z82X};COMBO:{K1:4QD397987E,K1:8ID597Z82X};COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
