key,slug,tier,display_name,indexable
K1:U6P1SV66LA,uncaria-tomentosa-whole,2,Uncaria Tomentosa Whole,f
K1:U6Q8Z01514,adefovir-dipivoxil,2,Adefovir Dipivoxil,t
K1:U6RIV93RU1,mangostin,3,Mangostin,f
K1:U6V729APAM,attapulgite-activated,2,"ATTAPULGITE, ACTIVATED",f
K1:U6WSN5SQ1Z,zinc-gluconate,1,Zinc Gluconate,t
K1:U6XMS339F5,abiraterone-decanoate,3,ABIRATERONE DECANOATE,f
K1:U6Z259H815,helminthosporium-solani,3,Helminthosporium Solani,f
K1:U6Z9ZSG4XG,toluene,3,(((3Z)-3-HEXENYLOXY)METHYL)BENZENE,f
K1:U700P169W2,sulfamonomethoxine,3,Sulfamonomethoxine,f
K1:U70U4T7N6S,manganese-bromide,2,Manganese Bromide,f
K1:U71XL721QK,piperine,2,Piperine,f
K1:U7255OO1G6,hibenzate,3,Hibenzate,f
K1:U751HEX436,rubella-virus,3,Rubella Virus,f
K1:U755Q6LFAH,populus-tremula-whole,2,Populus Tremula Whole,f
K1:U75VZ9PK1J,levopropoxyphene,1,Levopropoxyphene,f
K1:U76MR9VS6M,arctigenin,3,ARCTIGENIN,f
K1:U770QIT64J,p-phenylenediamine,2,P-PHENYLENEDIAMINE,f
K1:U778Z8U9D3,vevoctadekin,3,Vevoctadekin,f
K1:U77F86VL6N,5-3-5-1-piperidinylmethyl-1h-indol-2-yl-1h-indazol-6-yl-2h-1-2-3-triazole-4-methanol,3,"5-(3-(5-(1-PIPERIDINYLMETHYL)-1H-INDOL-2-YL)-1H-INDAZOL-6-YL)-2H-1,2,3-TRIAZOLE-4-METHANOL",f
K1:U78804BIDR,lonidamine,3,Lonidamine,f
K1:U78ZX2F65X,tempol,3,TEMPOL,f
K1:U7D0E1VOAM,pentobarbital,1,"PENTOBARBITAL, (S)-",f
K1:U7GBB0934J,fluorescein-lisicol,3,Fluorescein lisicol,f
K1:U7L4P6H0SU,tetroquinone,3,Tetroquinone,f
