old_slug,target_drug_id,reason
oxalic-acid,calcium-oxalate,MERGED
oxiglutatione,glutathione-disulfide,MERGED
oxogluric-acid,calcium-alpha-ketoglutarate,MERGED
oxtriphylline,theophylline,MERGED
oxycodone-terephthalate,oxycodone,MERGED
oxyquinoline,indium-in-111-oxyquinoline,MERGED
paba,aminobenzoic-acid,MERGED
packera-aurea,packera-aurea-whole,MERGED
paeonia-moutan,paeoniflorin,MERGED
palm,chloroxylenol,MERGED
panax-ginseng-root,ginseng,MERGED
panax-ginseng-root-water,panax-ginseng-root-oil,MERGED
pancrelipase-amylase,pancrelipase,MERGED
pancrelipase-lipase,lipase,MERGED
pantothenic-acid,calcium-pantothenate,MERGED
paritaprevir,ombitasvir-paritaprevir-ritonavir,MERGED
pasireotide,pasireotide-diaspartate,MERGED
passiflora-incarnata-flower,passionflower,MERGED
passiflora-incarnata-top,passiflora-incarnata-flowering-top,MERGED
pemetrexed-ditromethamine,pemetrexed-disodium-hemipentahydrate,MERGED
penicillin-g-benzathine,penicillin-g,MERGED
pentamidine-diisethionate,pentamidine,MERGED
pentetate-calcium-trisodium,pentetic-acid,MERGED
pentetate-calcium-trisodium-yb-169,pentetic-acid,MERGED
pentetate-zinc-trisodium,pentetic-acid,MERGED
pepper,black-pepper,MERGED
peppermint-leaf,mentha-piperita-leaf,MERGED
peppermint-oil,peppermint,MERGED
perindopril-arginine,perindopril-erbumine,MERGED
periwinkle,common-periwinkle,MERGED
persea-gratissima-oil,avocado-oil,MERGED
pervinca-minor-whole,vinca-minor,MERGED
petroselinum-crispum-whole,petroselinum-crispum,MERGED
peumus-boldus-leaf,boldo,MERGED
phentermine-resin-complex,phentermine,MERGED
phenylethylamine,phenethylamine,MERGED
phyllanthus-emblica-fruit,emblica-officinalis-fruit,MERGED
pilocarpus-jaborandii-leaf,pilocarpus-jaborandi-leaf,MERGED
pine-pollen,pinus-tabuliformis-pollen,MERGED
pinitol,d-pinitol,MERGED
piperin,piperine,MERGED
piperoylpiperidine,piperine,MERGED
placenta,human-placental-tissue,MERGED
plantago-major-whole,plantago-major,MERGED
plantago-seed,psyllium,MERGED
plectranthus-barbatus-root,coleus-barbatus-root,MERGED
plectranthus-barbatus-root-oil,coleus-forskohlii-root-oil,MERGED
podophyllum-peltatum-root,podophyllum,MERGED
polydatin,piceid,MERGED
polyvinyl-alcohol-unspecified,polyvinyl-alcohol,MERGED
populus-deltoides-subsp-deltoides-pollen,populus-deltoides-pollen,MERGED
populus-tristis-pollen,populus-trichocarpa-pollen,MERGED
porcine-secretin,secretin,MERGED
pork-collagen,sus-scrofa-collagen,MERGED
potassium-alpha-ketoglutarate,calcium-alpha-ketoglutarate,MERGED
potassium-alpha-ketoisocaproate,calcium-alpha-ketoisocaproate,MERGED
potassium-aminosalicylate,aminosalicylic-acid,MERGED
potassium-ascorbate,sodium-ascorbate,MERGED
potassium-beta-hydroxybutyrate,beta-hydroxybutyrate,MERGED
potassium-chloride,chloride,MERGED
potassium-cyanide,sodium-nitroprusside,MERGED
potassium-d-glucarate,calcium-d-glucarate,MERGED
potassium-ferrocyanide,sodium-nitroprusside,MERGED
potassium-glucarate,calcium-d-glucarate,MERGED
potassium-gluconate,calcium-gluconate,MERGED
potassium-hydroxide,sterile-water-for-irrigation,MERGED
potassium-nitrite,calcium-nitrite,MERGED
potassium-oxalate,calcium-oxalate,MERGED
potassium-oxybate,calcium-oxybate,MERGED
potassium-phosphate,potassium-phosphate-dibasic,MERGED
potentilla-anserina-flowering-top,argentina-anserina-flowering-top,MERGED
pramoxine,pramoxine-hcl,MERGED
prezatide,copper-tripeptide-1,MERGED
prezatide-copper,copper-tripeptide-1,MERGED
procyanidin,proanthocyanidins,MERGED
propanediol,propylene-glycol,MERGED
propionibacterium-shermanii,propionibacterium-freudenreichii-shermanii,MERGED
propolis-wax,propolis,MERGED
protein,ecallantide,MERGED
pseudoephedrine-polistirex,pseudoephedrine,MERGED
pseudognaphalium-obtusifolium,gnaphalium,MERGED
pseudognaphalium-obtusifolium-whole,gnaphalium,MERGED
pulex-irritans-whole,pulex-irritans,MERGED
pulsatilla-patens-whole,anemone-patens-whole,MERGED
pulsatilla-pratensis-whole,pulsatilla-pratensis,MERGED
pulsatilla-vulgaris,anemone-pulsatilla,MERGED
pulsatilla-vulgaris-whole,anemone-pulsatilla,MERGED
pyrethrins,pyrethrum-extract,MERGED
pyridoxal-phosphate,pyridoxal,MERGED
pyridoxine-hcl,pyridoxine,MERGED
pyruvate,calcium-pyruvate,MERGED
quahog-unspecified,clam,MERGED
quassia,quassia-amara-wood,MERGED
queens-delight,stillingia-sylvatica-root,MERGED
quercus-alba-bark,oak,MERGED
quillaja-saponaria-bark,quillaja,MERGED
quinine-arsenate,quinine-sulphate,MERGED
quinine-arsenite,quinine-sulphate,MERGED
racemethionine,dl-methionine,MERGED
ranitidine-bismuth,ranitidine,MERGED
ranunculus-bulbosus-whole,ranunculus-bulbosus,MERGED
rauwolfia-serpentina-root,rauwolfia-serpentina,MERGED
rebaudioside-a,stevia,MERGED
red-raspberry,raspberry,MERGED
red-root,bloodroot,MERGED
red-yeast,monascus-purpureus,MERGED
reishi-mushroom,reishi,MERGED
resin,balsam,MERGED
reynoutria-japonica-root,polygonum-cuspidatum-root,MERGED
reynoutria-multiflora-root,fallopia-multiflora-root,MERGED
rhamnus-cathartica-fruit,buckthorn,MERGED
rheum-tanguticum-whole,chinese-rhubarb,MERGED
rhizopus-arrhizus,rhizopus-oryzae,MERGED
rhododendron-chrysanthum,rhododendron-aureum-leaf,MERGED
rhododendron-tomentosum-leafy-twig,ledum-palustre-twig,MERGED
rh-oligopeptide-1,human-epidermal-growth-factor,MERGED
rhus-glabra,rhus-glabra-top,MERGED
rice,white-rice,MERGED
rice-bean,adzuki-bean,MERGED
rice-flour,brown-rice,MERGED
ricinus-communis-seed-oil,castor-oil,MERGED
rimabotulinumtoxinb,botulinum-toxin-type-b,MERGED
risedronate-sodium-hemi-pentahydrate,risedronate,MERGED
risedronate-sodium-hemipentahydrate,risedronate,MERGED
ropeginterferon-alfa-2b-njft,ropeginterferon-alfa-2b,MERGED
rosa-damascena-flowering-top,rosa-x-damascena-flowering-top,MERGED
rosavins,rosavin,MERGED
rosmarinus-officinalis-leaf-oil,rosemary-oil,MERGED
rosuvastatin-zinc,rosuvastatin,MERGED
saccharomyces-boulardii,saccharomyces-cerevisiae,MERGED
salmonella-enterica-enterica-serovar-enteritidis,salmonella-enterica-subsp-enterica-serovar-enteritidis,MERGED
salmonella-enterica-enterica-serovar-typhi,salmonella-enterica-subsp-enterica-serovar-typhi,MERGED
salt,sodium-chloride,MERGED
salvia-miltiorrhiza-root,danshen,MERGED
salvia-rosmarinus-flower,rosmarinus-officinalis-flower,MERGED
salvia-rosmarinus-flowering-top,rosmarinus-officinalis-flowering-top,MERGED
sambucus-nigra-flowering-top,sambucus-nigra,MERGED
sanguinaria-canadensis-root,bloodroot,MERGED
sarsaparilla,smilax-ornata-root,MERGED
sassafras-albidum-root-bark,sassafras,MERGED
scleranthus-annus,scleranthus-annuus-flowering-top,MERGED
scrophularia-nodosa-whole,scrophularia-nodosa,MERGED
scutellaria-lateriflora-whole,scutellaria-lateriflora,MERGED
seaweed,nori,MERGED
secretin-synthetic-human,secretin-human,MERGED
secretin-synthetic-porcine,secretin,MERGED
sedum-acre,sedum-acre-whole,MERGED
selenious-acid,selenium,MERGED
semecarpus-anacardium,semecarpus-anacardium-juice,MERGED
serrapeptase,serratiopeptidase,MERGED
servicetree,sorbus-domestica-whole,MERGED
shepherds-purse,capsella-bursa-pastoris,MERGED
shrimp-unspecified,shrimp,MERGED
silphium-laciniatum,silphium-laciniatum-whole,MERGED
silybum-marianum-seed,milk-thistle,MERGED
simmondsia-chinensis-seed-oil,jojoba-oil,MERGED
sitagliptin-and-metformin,sitagliptin-metformin,MERGED
sitagliptin-phosphate-anhydrous-metformin,sitagliptin-metformin,MERGED
slippery-elm,elm,MERGED
sodium-gluconate,calcium-gluconate,MERGED
sodium-nitrate,nitrate,MERGED
sodium-oxybate,calcium-oxybate,MERGED
sodium-phosphate-dibasic-unspecified-form,sodium-phosphate-dibasic,MERGED
sodium-phosphate-monobasic-unspecified-form,sodium-phosphate-monobasic,MERGED
sodium-phosphate-p-32,phosphorus-p-32,MERGED
sodium-pyrophosphate,pyrophosphate,MERGED
sodium-pyruvate,calcium-pyruvate,MERGED
solanum-lycopersicum-whole,solanum-lycopersicum,MERGED
solanum-tuberosum-whole,solanum-tuberosum,MERGED
somatropin-recombinant,somatropin,MERGED
sorbic-acid,potassium-sorbate,MERGED
soybean-lecithin,lecithin-soybean,MERGED
spice,citrus,MERGED
spigelia-anthelmia-whole,spigelia-anthelmia,MERGED
spigelia-marilandica-root,spigelia,MERGED
spleen,bos-taurus-spleen,MERGED
staphisagria-macrosperma-seed,delphinium-staphisagria-seed,MERGED
star-of-bethlehem,ornithogalum-umbellatum-whole,MERGED
sterile-water-for-injection,sterile-water-for-irrigation,MERGED
stillingia,stillingia-sylvatica-root,MERGED
stomach,bismuth-subsalicylate,MERGED
strychnos-nux-vomica-seed,nux-vomica,MERGED
sulfadiazine,silver-sulfadiazine,MERGED
sulfisoxazole-diolamine,sulfisoxazole,MERGED
sulfur-hexafluoride-lipid-type-a-microspheres,sulfur-hexafluoride,MERGED
sundew,drosera-rotundifolia-flowering-top,MERGED
sunflower,sunflower-oil,MERGED
sus-scrofa-eye,eye,MERGED
sus-scrofa-thyroid,thyroid,MERGED
sus-scrofa-vagus-nerve,sus-scrofa-parasympathetic-nerve,MERGED
sweet-woodruff,galium-odoratum,MERGED
tabebuia-impetiginosa-bark,handroanthus-impetiginosus-bark,MERGED
tantalum-carbide,charcoal,MERGED
taraxacum-palustre-root,taraxacum,MERGED
tarragon,french-tarragon,MERGED
taurursodiol,tauroursodeoxycholic-acid,MERGED
tbo-filgrastim,filgrastim,MERGED
tea,black-tea,MERGED
tea-leaf,black-tea,MERGED
tea-salicylate,trolamine,MERGED
technetium-tc-99m-albumin-colloid-kit,technetium-tc-99m-albumin-aggregated-kit,MERGED
technetium-tc-99m-etidronate-kit,etidronate,MERGED
technetium-tc-99m-exametazime-kit,technetium-tc-99m-exametazime,MERGED
technetium-tc-99m-gluceptate-kit,calcium-gluceptate,MERGED
technetium-tc-99m-oxidronate-kit,oxidronate,MERGED
technetium-tc-99m-pentetate-kit,pentetic-acid,MERGED
technetium-tc-99m-pyrophosphate-kit,technetium-tc-99m-pyrophosphate,MERGED
technetium-tc-99m-sestamibi-kit,technetium-tc-99m-sestamibi,MERGED
technetium-tc-99m-succimer,succimer,MERGED
technetium-tc-99m-succimer-kit,succimer,MERGED
technetium-tc-99m-sulfur-colloid-kit,technetium-tc-99m-sulfur-colloid,MERGED
tert-butyl-methyl-ether,ether,MERGED
tetracycline-phosphate-complex,tetracycline,MERGED
tetradecyl-hydrogen,sodium-sulfate,MERGED
tetrahydrocannabinol,dronabinol,MERGED
tetrakis-copper-tetrafluoroborate,technetium-tc-99m-sestamibi,MERGED
tetrofosmin,technetium-tc-99m-tetrofosmin-kit,MERGED
teucrium-marum-whole,teucrium-marum,MERGED
tezacaftor,ivacaftor-tezacaftor,MERGED
theacrine,teacrine,MERGED
theanine,l-theanine,MERGED
thiamin,thiamine,MERGED
thiamine-hcl,thiamine,MERGED
thiamine-mononitrate,thiamine,MERGED
thuja,thuja-occidentalis-leafy-twig,MERGED
thymus,sus-scrofa-thymus,MERGED
thymus-serpyllum-whole,thymus-serpyllum,MERGED
thyroid-porcine,thyroid,MERGED
titanium-carbide,charcoal,MERGED
trametinib-dimethyl-sulfoxide,trametinib,MERGED
transglucosidase,alglucosidase-alfa,MERGED
triacetyluridine,uridine-triacetate,MERGED
triacontanol,myricyl-alcohol,MERGED
tribulus-terrestris,creatine-monohydrate,MERGED
tribulus-terrestris-whole,tribulus,MERGED
trientine,trientine-tetrahydrochloride,MERGED
turnera-diffusa-leafy-twig,damiana,MERGED
tussilago-farfara,coltsfoot,MERGED
ubiquinone,coenzyme-q10,MERGED
ulmus-minor-flowering-twig,ulmus-procera-flowering-twig,MERGED
ulva-lactuca-extract,sea-lettuce,MERGED
unsaturated-fatty-acid,calcium-formate,MERGED
urtica-dioica-whole,urtica-dioica,MERGED
urtica-urens-whole,urtica-urens,MERGED
usnea,usnea-barbata,MERGED
uva-ursi,arctostaphylos-uva-ursi-leaf,MERGED
valerian-root,valerian,MERGED
valproate,valproic-acid,MERGED
vanadium-picolinate,chromium-picolinate,MERGED
vanilla-bean,vanilla,MERGED
vegetable,vegetable-juice,MERGED
verbascum-thapsus-whole,verbascum-thapsus,MERGED
verbena-officinalis-whole,verbena-officinalis,MERGED
veronica-beccabunga-whole,veronica-beccabunga,MERGED
vinca-minor-whole,vinca-minor,MERGED
vincetoxicum-hirundinaria-root,cynanchum-vincetoxicum-root,MERGED
vincetoxicum-indicum-leaf,tylophora-indica-leaf,MERGED
vincetoxicum-indicum-root,tylophora-indica-root,MERGED
viola-odorata-whole,viola-odorata,MERGED
viola-tricolor-whole,viola-tricolor,MERGED
visnaga-daucoides-fruit,ammi-visnaga-fruit,MERGED
vitamin-b1,thiamine,MERGED
vitamin-b3,niacin,MERGED
vitamin-b5,calcium-pantothenate,MERGED
vitamin-b6,pyridoxine,MERGED
vitamin-b7,biotin,MERGED
vitamin-c,sodium-ascorbate,MERGED
vitamin-d,vitamin-d2,MERGED
vitis-vinifera-seed-oil,grape-seed-oil,MERGED
walnut,english-walnut,MERGED
whey,whey-protein,MERGED
white-kidney-bean,kidney-bean,MERGED
white-mulberry,mulberry,MERGED
white-mustard,white-mustard-seed,MERGED
white-pine,pinus-strobus-cone,MERGED
white-sandalwood,sandalwood,MERGED
wild-cherry,prunus-serotina-bark,MERGED
wild-indigo,baptisia-tinctoria,MERGED
wild-yam,chinese-yam,MERGED
withania-somnifera-root,ashwagandha,MERGED
xenon-xe-129,xenon-xe-129-hyperpolarized,MERGED
xerophyllum-asphodeloides-whole,xerophyllum-asphodeloides,MERGED
yeast-unspecified,yeast,MERGED
yerba-mate,mate,MERGED
yerba-santa,eriodictyon-californicum-leaf,MERGED
yucca-filamentosa-whole,yucca-filamentosa,MERGED
zinc-ascorbate,sodium-ascorbate,MERGED
zinc-carnosine,carnosine,MERGED
zinc-glycinate,glycine,MERGED
zinc-l-carnosine,carnosine,MERGED
zinc-pca,arginine-pyroglutamate,MERGED
zinc-picolinate,chromium-picolinate,MERGED
zinc-picrate,picric-acid,MERGED
zinc-picrate-nonahydrate,picric-acid,MERGED
zinc-pyrithione,pyrithione-zinc,MERGED
zinc-undecylenate,undecylenic-acid,MERGED
zingiber-officinale-root-oil,ginger-oil,MERGED
ziv-aflibercept,aflibercept,MERGED
