old_slug,target_drug_id,reason
boneset,eupatorium-perfoliatum-whole,MERGED
bos-taurus-bile,ox-bile,MERGED
bos-taurus-pituitary-gland,bos-taurus-pituitary-gland-posterior,MERGED
brassica-rapa-subsp-oleifera-pollen,brassica-rapa-pollen,MERGED
brewers-yeast,saccharomyces-cerevisiae,MERGED
bromelains,bromelain,MERGED
broom,bromine,MERGED
bryonia,bryonia-alba-root,MERGED
bryonia-cretica-subsp-dioica-root,bryonia-dioica-root,MERGED
button-mushroom,cultivated-mushroom,MERGED
butyl-methoxydibenzoylmethane,avobenzone,MERGED
butyric-acid,sodium-butyrate,MERGED
butyrospermum-parkii-butter,shea-butter,MERGED
cabozantinib-s-malate,cabozantinib,MERGED
cacao,cocoa,MERGED
cajeput,cajuput-oil,MERGED
calamus,acorus-calamus-root,MERGED
calcipotriene-hydrate,calcipotriene,MERGED
calcitonin-salmon-recombinant,calcitonin-salmon,MERGED
calcium-arginine-alpha-ketoisocaproate,calcium-alpha-ketoisocaproate,MERGED
calcium-ascorbate,sodium-ascorbate,MERGED
calcium-beta-hydroxybutyrate,beta-hydroxybutyrate,MERGED
calcium-bicarbonate,bicarbonate,MERGED
calcium-magnesium-phytate,calcium-phytate,MERGED
calcium-phosphate,calcium-phosphate-dibasic,MERGED
calcium-picrate,picric-acid,MERGED
calcium-sulfate,calcium-sulfate-unspecified-form,MERGED
california-poppy,eschscholzia-californica,MERGED
caltha-palustris,caltha-palustris-whole,MERGED
camellia-sinensis-leaf,green-tea,MERGED
camu-camu-extract,camu-camu,MERGED
candelilla-wax,candelilla,MERGED
capsaisin,capsaicin,MERGED
capsella-bursa-pastoris-whole,capsella-bursa-pastoris,MERGED
caraway-seed,caraway,MERGED
carbidopa-hydrate,carbidopa,MERGED
carbon,activated-charcoal,MERGED
carbonate,bicarbonate,MERGED
carbonate-ion,bicarbonate,MERGED
carbon-dioxide-usp,carbon-dioxide,MERGED
carboxymethylcellulose-sodium-unspecified-form,carboxymethylcellulose-sodium-unspecified,MERGED
carotenoid,carotenoids,MERGED
carya-tomentosa-pollen,carya-alba-pollen,MERGED
castor,castor-oil,MERGED
cayenne,capsicum,MERGED
cefadroxil-cefadroxil,cefadroxil,MERGED
centaury,centaurium-erythraea,MERGED
centella-asiatica-leaf,gotu-kola,MERGED
centella-asiatica-whole,centella-asiatica,MERGED
cervus-elaphus-velvet,deer-velvet,MERGED
cetostearyl-alcohol,cetearyl-alcohol,MERGED
cetraria-islandica-whole,cetraria-islandica-subsp-islandica,MERGED
ceylon-cinnamon,cinnamon,MERGED
chaparral,larrea-tridentata-leaf,MERGED
charcoal-powder,charcoal,MERGED
chard,swiss-chard,MERGED
chelidonium-majus-whole,chelidonium-majus,MERGED
chelone-glabra,chelone-glabra-whole,MERGED
chenopodium,chenopodium-ambrosioides,MERGED
cherry,menthol-unspecified-form,MERGED
chickweed,stellaria-media,MERGED
chicory,chicory-root,MERGED
chimaphila-umbellata-whole,chimaphila-umbellata,MERGED
chinese-rhubarb-root,rheum-officinale-root,MERGED
chlorhexidine-digluconate,chlorhexidine,MERGED
chloride-ion,hydrochloric-acid,MERGED
chocolate,cocoa,MERGED
choline-fenofibrate,fenofibric-acid,MERGED
chromium-ascorbate,sodium-ascorbate,MERGED
chromium-dinicotinate,niacin,MERGED
chromium-nicotinate,niacin,MERGED
cimicifuga-racemosa-root,black-cohosh,MERGED
cinchona,cinchona-officinalis-bark,MERGED
cinnamomum,cinnamon,MERGED
cinnamon-bark,cinnamon,MERGED
citicholine,citicoline,MERGED
citronella-oil,lavender-oil,MERGED
citrulline-malate,l-citrulline,MERGED
citrulline-nitrate,l-citrulline,MERGED
clavulanic-acid,clavulanate,MERGED
clematis-vitalba-pre-flowering-top,clematis-vitalba-top,MERGED
clitoria-ternatea-flower,butterfly-pea,MERGED
clopidogrel-bisulfate,clopidogrel,MERGED
clostridioides-difficile,clostridium-difficile,MERGED
cloves,clove,MERGED
codeine-polistirex,codeine,MERGED
coenzyme-q-10,coenzyme-q10,MERGED
coffee-bean,coffee,MERGED
cola,cocaine,MERGED
cola-nut,cola-nitida-seed,MERGED
collagenase,collagenase-clostridium-histolyticum,MERGED
colloidal-silver,silver,MERGED
colocynth,citrullus-colocynthis-fruit-pulp,MERGED
copper-cu-64-dotatate,lutetium-oxodotreotide-lu-177,MERGED
copper-oxodotreotide-cu-64,lutetium-oxodotreotide-lu-177,MERGED
coral,oyster-shell-calcium-carbonate-crude,MERGED
cordycepic-acid,mannitol,MERGED
corticotropin,repository-corticotropin,MERGED
cotton-fiber,cotton,MERGED
coumaric-acid,hydroxycinnamic-acid,MERGED
cow-milk,milk,MERGED
cowslip,caltha-palustris-whole,MERGED
cramp-bark,viburnum-opulus-bark,MERGED
cream,cow-milk-fat,MERGED
crocanthemum-canadense,helianthemum-canadense,MERGED
crocus-sativus-flower,saffron-extract,MERGED
cubeb,piper-cubeba-fruit,MERGED
cupressus-sempervirens-leaf-oil,cypress,MERGED
curcuma,curcumin,MERGED
cyanocobalamin-co-57,vitamin-b12,MERGED
cyanocobalamin-co-58,vitamin-b,MERGED
cyclamic-acid,sodium-cyclamate,MERGED
cymbopogon-citratus-leaf,lemongrass,MERGED
cynodon-dactylon-whole,bermuda-grass,MERGED
daikon,raphanus-sativus,MERGED
dandelion,taraxacum-officinale,MERGED
dapagliflozin-2-3-butanediol,dapagliflozin-propanediol,MERGED
darunavir-ethanolate,darunavir,MERGED
darunavir-hydrate,darunavir,MERGED
d-aspartic-acid,aspartic-acid,MERGED
demannose,mannose-d,MERGED
desirudin-recombinant,desirudin,MERGED
devils-claw,harpagophytum-procumbens-root,MERGED
dextroamphetamine,amphetamine,MERGED
dextroamphetamine-adipate,amphetamine,MERGED
dextromethorphan-polistirex,dextromethorphan,MERGED
dextrose,anhydrous-dextrose,MERGED
dextrose-unspecified-form,anhydrous-dextrose,MERGED
dha,docosahexaenoic-acid,MERGED
dhea,prasterone,MERGED
diastase,amylase,MERGED
diazoxide,diazoxide-choline,MERGED
dibasic,anhydrous-dibasic,MERGED
dicentra-canadensis-root,corydalis,MERGED
dieffenbachia-seguine,dieffenbachia-seguine-whole,MERGED
diindolylmethane,3-3-diindolylmethane,MERGED
diltiazem-hcl,diltiazem,MERGED
dimethazine,dymethazine,MERGED
dimethicone-unspecified,simethicone,MERGED
dimethylglycine,n-n-dimethylglycine,MERGED
dimethylphenethylamine,phentermine,MERGED
dimethyl-sulfone,methylsulfonylmethane,MERGED
diornithine-oxoglurate,ornithine-alpha-ketoglutarate,MERGED
dioscorea-villosa-root,dioscorea-villosa-tuber,MERGED
diphenhydramine-hcl,diphenhydramine,MERGED
dipotassium-glycyrrhizate,glycyrrhizin,MERGED
divalproex,valproic-acid,MERGED
dmg,n-n-dimethylglycine,MERGED
doconexent,docosahexaenoic-acid,MERGED
docosanoic-acid,behenic-acid,MERGED
drosera-rotundifolia-whole,drosera-rotundifolia,MERGED
dwarf-bilberry,bilberry,MERGED
dysphania-ambrosioides,chenopodium-ambrosioides,MERGED
dysphania-ambrosioides-pollen,chenopodium-ambrosioides-pollen,MERGED
dysphania-ambrosioides-whole,chenopodium-ambrosioides,MERGED
echinacea-angustifolia-whole,echinacea-angustifolia,MERGED
echinacea-purpurea-whole,echinacea-purpurea,MERGED
edetic-acid,edetate,MERGED
edta,edetate,MERGED
egcg,epigallocatechin-gallate,MERGED
eicosapentaenoic-acid,icosapent,MERGED
elagolix-estradiol-and-norethindrone-acetate-and-elagolix,norethindrone,MERGED
elder-flower,sambucus-nigra-flower,MERGED
elecampane,inula-helenium-root,MERGED
eleuthero-root,eleuthero,MERGED
eltrombopag-choline,eltrombopag,MERGED
elvitegravir-cobicistat-emtricitabine-and-tenofovir-alafenamide,tenofovir-alafenamide,MERGED
ensulizole,phenylbenzimidazole-sulfonic-acid,MERGED
epa,icosapent,MERGED
epoetin,epoetin-alfa,MERGED
equisetum-hyemale-whole,equisetum-hyemale,MERGED
erigeron-canadensis-whole,erigeron-canadensis,MERGED
ertugliflozin-pidolate,ertugliflozin,MERGED
erythranthe-guttata-flowering-top,mimulus-guttatus-flowering-top,MERGED
eschscholzia-californica-whole,eschscholzia-californica,MERGED
esomeprazole-strontium,esomeprazole,MERGED
ethacrynate,ethacrynic-acid,MERGED
ethylhexyl-methoxycinnamate,octinoxate,MERGED
etidronic-acid,etidronate,MERGED
eucalyptus-globulus-leaf-oil,eucalyptus-oil,MERGED
eucalyptus-gum,eucalyptus,MERGED
euphrasia-stricta,eyebright,MERGED
european-mistletoe,viscum-album-fruiting-top,MERGED
fagopyrum-esculentum-whole,fagopyrum-esculentum,MERGED
false-unicorn-root,chamaelirium-luteum-root,MERGED
fam-trastuzumab-deruxtecan-nxki,trastuzumab-deruxtecan,MERGED
fatty-acid-esters,calcium-formate,MERGED
fenugreek-seed,fenugreek,MERGED
ferric-ferrocyanide,sodium-nitroprusside,MERGED
ferric-hexacyanoferrate,sodium-nitroprusside,MERGED
ferric-picrate,picric-acid,MERGED
ferrosoferric,ferrum-phosphoricum,MERGED
ferrosoferric-oxide,ferumoxytol-non-stoichiometric-magnetite,MERGED
ferrous-asparto-glycinate,glycine,MERGED
ferrous-bisglycinate,glycine,MERGED
ferrous-cation,ferrous,MERGED
ferula-assa-foetida-resin,asafoetida,MERGED
ferumoxides,ferumoxytol-non-stoichiometric-magnetite,MERGED
flavin-mononucleotide,riboflavin-5-phosphate,MERGED
flotufolastat-f-18,flotufolastat-f-18-gallium,MERGED
fluoride-ion,fluoride,MERGED
folate,vitamin-b9,MERGED
fomitopsis-pinicola-fruiting-body,fomitopsis-pinicola,MERGED
formaldehyde-solution,formaldehyde,MERGED
formoterol,arformoterol,MERGED
fragaria-vesca-fruit,alpine-strawberry,MERGED
frangula-alnus-bark,frangula,MERGED
frangula-purshiana-bark,cascara-sagrada,MERGED
fructo-oligosaccharides,fructooligosaccharides,MERGED
gaba,gamma-aminobutyric-acid,MERGED
gabapentin-encarbil,gabapentin-enacarbil,MERGED
galium-aparine,galium-aparine-whole,MERGED
gallium-chloride,gallium-chloride-ga-67,MERGED
gallium-citrate-ga-67,gallium-chloride-ga-67,MERGED
gallium-dotatate-ga-68,lutetium-oxodotreotide-lu-177,MERGED
gallium-ga-68-edotreotide,edotreotide-gallium-ga-68,MERGED
garbanzo-bean,chickpea,MERGED
gardenia-jasminoides-fruit,gardenia,MERGED
gentian,gentian-root,MERGED
gentiana-lutea-root,gentian-root,MERGED
geranium-robertianum-whole,geranium-robertianum,MERGED
german-chamomile,chamomile,MERGED
gerovital-h3,procaine,MERGED
ghb,calcium-oxybate,MERGED
ginkgo-biloba-leaf,ginkgo,MERGED
ginseng-american,american-ginseng,MERGED
ginseng-oriental,ginseng,MERGED
ginseng-panax,ginseng,MERGED
ginseng-siberian,ginseng,MERGED
ginsenoside,ginsenosides,MERGED
glucanase,beta-glucanase,MERGED
gluconic-acid,calcium-gluconate,MERGED
glucono-delta-lactone,gluconolactone,MERGED
gluten,wheat-gluten,MERGED
glycamil,glycyrrhizin,MERGED
glyceryl,nitroglycerin,MERGED
glycopyrronium,glycopyrrolate,MERGED
glycyrrhiza-glabra-root-powder,glycyrrhiza-glabra,MERGED
glycyrrhizic-acid,glycyrrhizin,MERGED
gonadotropin-chorionic,chorionic-gonadotropin,MERGED
gozetotide,gallium-ga-68-gozetotide,MERGED
gratiola-officinalis-whole,gratiola-officinalis,MERGED
gravel-root,eutrochium-purpureum-root,MERGED
green-tea-leaf,green-tea,MERGED
grindelia,grindelia-hirsutula-flowering-top,MERGED
griseofulvin-microcrystalline,griseofulvin,MERGED
griseofulvin-microsize,griseofulvin,MERGED
griseofulvin-ultramicrocrystalline,griseofulvin,MERGED
griseofulvin-ultramicrosize,griseofulvin,MERGED
ground-ivy,glechoma-hederacea,MERGED
hard-fat,tallow,MERGED
hazelnut-unspecified,hazelnut,MERGED
heather,norethindrone,MERGED
helianthus-annuus-seed-oil,sunflower-oil,MERGED
helminthosporium-carbonum-toxin-i,peptide,MERGED
hemlock,pseudotsuga-menziesii-resin,MERGED
henbane,hyoscyamus-niger,MERGED
herring-sperm-dna,dna,MERGED
hesperocyparis-arizonica-pollen,cupressus-arizonica-pollen,MERGED
holarrhena-antidysenterica,holarrhena-pubescens-bark,MERGED
holy-basil-leaf,holy-basil,MERGED
homalolepis-cedron-seed,simaba-cedron-seed,MERGED
honey-bee,apis-mellifera,MERGED
human-chorionic-gonadotropin,chorionic-gonadotropin,MERGED
human-growth-hormone,somatropin,MERGED
hyacinthoides-non-scripta,hyacinthoides-non-scripta-whole,MERGED
hyaluronic-acid,hyaluronate,MERGED
hyaluronidase-recombinant-human,hyaluronidase,MERGED
hydrangea-arborescens-root,hydrangea,MERGED
hydrocodone-polistirex,hydrocodone,MERGED
hydrocotyle-asiatica-extract,centella-asiatica,MERGED
hydrofluoric-acid,fluoride,MERGED
hydrogen-cyanide,sodium-nitroprusside,MERGED
hydroxide-ion,sterile-water-for-irrigation,MERGED
hydroxyethylcellulose,hydroxyethyl-cellulose,MERGED
hydroxymethylbutyrate,calcium-hydroxymethylbutyrate,MERGED
hypericum-perforatum-whole,hypericum-perforatum,MERGED
hypothalamus,bos-taurus-hypothalamus,MERGED
hypromellose-unspecified,hypromelloses,MERGED
hyssopus-officinalis-flowering-top,hyssop,MERGED
ibuprofen-lysine,ibuprofen,MERGED
iceland-moss,cetraria-islandica-subsp-islandica,MERGED
incobotulinumtoxina,botulinum-toxin-type-a,MERGED
indian-frankincense,boswellia-serrata,MERGED
indian-ipecac,tylophora-indica-root,MERGED
indian-long-pepper,long-pepper,MERGED
indian-redwood,biancaea-sappan-wood,MERGED
indium-in-111,indium,MERGED
influenza-a-virus-whole,influenza-a-virus,MERGED
influenza-b-virus-whole,influenza-b-virus,MERGED
insulin,insulin-glargine,MERGED
insulin-aspart-protamine-recombinant,insulin-aspart-recombinant,MERGED
insulin-glargine-recombinant,insulin-glargine,MERGED
insulin-glulisine-recombinant,insulin-glulisine,MERGED
insulin-lispro-protamine-recombinant,insulin-lispro,MERGED
insulin-lispro-recombinant,insulin-lispro,MERGED
insulin-recombinant-human,insulin-human,MERGED
ip-6,calcium-phytate,MERGED
iris-germanica-root,iris-x-germanica-root,MERGED
irish-moss,chondrus-crispus,MERGED
iris-tenax-whole,iris-tenax,MERGED
iris-x-germanica-nothovar-florentina-root,iris-germanica-var-florentina-root,MERGED
iron,iron-powder,MERGED
iron-ascorbate,sodium-ascorbate,MERGED
isoflavones,isoflavone,MERGED
isopropanol,isopropyl-alcohol,MERGED
isopropyl,isopropyl-alcohol,MERGED
jacobaea-maritima-whole,jacobaea-maritima,MERGED
jasmine,jasminum-officinale-flower,MERGED
java-tea,clerodendranthus-spicatus-leaf,MERGED
jujube,jujube-fruit,MERGED
karaya-gum,sterculia,MERGED
ketamine,esketamine,MERGED
kola-nut,cola-nitida-seed,MERGED
konjac,glucomannan,MERGED
lachnanthes-caroliniana-whole,lachnanthes-caroliniana,MERGED
lactic-acid-l,lactic-acid,MERGED
lactobacillus-delbrueckii-bulgaricus,lactobacillus-bulgaricus,MERGED
lactobacillus-plantarum,lactiplantibacillus-plantarum,MERGED
lactuca-virosa-whole,lactuca-virosa,MERGED
lamivudine-nevirapine-and-stavudine,nevirapine,MERGED
larch-arabinogalactan,arabinogalactan,MERGED
