old_slug,new_slug,reason
garadacimab-gxii,garadacimab,MERGED into K1:32W6AJL0DY by the adjudicated identity decisions (3.4)
glofitamab-gxbm,glofitamab,MERGED into K1:06P3KLK2J8 by the adjudicated identity decisions (3.4)
glucuronolactone,glucurolactone,MERGED into K2:OGLCQHRZUSEXNB-UAPNVWQMSA-N by identity pass 3.2
glycolipids,sphingomyelin,MERGED into K1:25WE4JC35O by identity pass 3.2
ibalizumab-uiyk,ibalizumab,MERGED into K1:LT369U66CE by the adjudicated identity decisions (3.4)
imsapepimut,imsamotide,MERGED into K1:V74I849BP9 by identity pass 3.2
inebilizumab-cdon,inebilizumab,MERGED into K1:74T7185BMM by the adjudicated identity decisions (3.4)
insulin-detemir-recombinant,insulin-detemir,MERGED into K1:4FT78T86XV by identity pass 3.2
insulin-lispro-aabc,insulin-lispro,MERGED into K1:GFX7QIS1II by the adjudicated identity decisions (3.4)
iobenguane-sulfate-i-131,iobenguane-i-131,MERGED into HOLD:existing:iobenguane-i-131 by identity pass 3.2
isatuximab-irfc,isatuximab,MERGED into K1:R30772KCU0 by the adjudicated identity decisions (3.4)
lanadelumab-flyo,lanadelumab,MERGED into K1:2372V1TKXK by the adjudicated identity decisions (3.4)
lebrikizumab-lbkz,lebrikizumab,MERGED into K1:U9JLP7V031 by the adjudicated identity decisions (3.4)
lecanemab-irmb,lecanemab,MERGED into K1:12PYH0FTU9 by the adjudicated identity decisions (3.4)
lefamulin-2,lefamulin,MERGED: K2:KPVIXBKIJXZQJX-FCEONZPQSA-N adopted the unnumbered slug of a page it absorbed
lerodalcibep-liga,lerodalcibep,MERGED into K1:1PHP3QG5PZ by the adjudicated identity decisions (3.4)
letibotulinumtoxina-wlbg,letibotulinumtoxina,MERGED into K1:W5O50S8A59 by the adjudicated identity decisions (3.4)
linaclotide-2,linaclotide,MERGED into K1:N0TXR0XR5X by identity pass 3.2
linvoseltamab-gcpt,linvoseltamab,MERGED into K1:M3CPC50MZS by the adjudicated identity decisions (3.4)
liraglutide-2,liraglutide,MERGED into K1:839I73S42A by identity pass 3.2
lonapegsomatropin-tcgd,lonapegsomatropin,MERGED into K1:OP35X9610Y by the adjudicated identity decisions (3.4)
loncastuximab-tesirine-lpyl,loncastuximab-tesirine,MERGED into K1:7K5O7P6QIU by the adjudicated identity decisions (3.4)
luspatercept-aamt,luspatercept,MERGED into K1:AQK7UBA1LS by the adjudicated identity decisions (3.4)
magnesium-carbonate,magnesite,MERGED into K1:0IHC698356 by identity pass 3.2
magnesium-stearate,stearic-acid,MERGED into K1:4ELV7Z65AP by identity pass 3.2
margetuximab-cmkb,margetuximab,MERGED into K1:K911R84KEW by the adjudicated identity decisions (3.4)
marstacimab-hncq,marstacimab,MERGED into K1:0UB3OA67O7 by the adjudicated identity decisions (3.4)
methylphenidate-2,methylphenidate,MERGED into HOLD:existing:methylphenidate by identity pass 3.2
